År;Uge;Bekæftede tilfælde beboere;Dødsfald blandt bekæftede beboere;Bekræftede tilfælde blandt beboere med 2. stik;Bekræftede tilfælde blandt beboere med 3. stik;Plejehjem med bekæftede tilfælde;Testede beboere;Plejehjem med testede beboere
2021;2;   357;  110;    0;     0;101; 11.961;627
2021;3;   160;   81;    0;     0; 72; 10.237;661
2021;4;    85;   55;    0;     0; 54;  8.294;607
2021;5;    47;   38;    0;     0; 22;  7.126;593
2021;6;    13;   23;    4;     0;  8;  5.516;574
2021;7;     6;    7;    4;     0;  6;  4.116;559
2021;8;     8;    2;    8;     0;  5;  3.461;538
2021;9;     5;    0;    5;     0;  4;  3.100;565
2021;10;     1;    2;    1;     0;  1;  3.153;571
2021;11;     3;    0;    1;     0;  3;  3.044;569
2021;12;     4;    0;    3;     0;  4;  2.650;567
2021;13;     2;    0;    2;     0;  2;  1.708;492
2021;14;    14;    1;   12;     0;  8;  1.775;510
2021;15;    17;    3;   14;     0;  9;  2.844;552
2021;16;    15;    3;   13;     0;  8;  2.862;528
2021;17;     7;    3;    7;     0;  6;  2.569;535
2021;18;     7;    0;    6;     0;  4;  2.746;544
2021;19;     6;    1;    5;     0;  6;  2.131;465
2021;20;     1;    1;    0;     0;  1;  2.207;432
2021;21;     1;    0;    1;     0;  1;  1.509;380
2021;22;    14;    0;   14;     0;  2;  1.612;344
2021;23;     5;    1;    4;     0;  5;  1.436;324
2021;24;     3;    0;    2;     0;  2;  1.030;271
2021;25;     0;    0;    0;     0;  0;    790;247
2021;26;     0;    0;    0;     0;  0;  1.122;230
2021;27;     5;    0;    5;     0;  2;  1.348;247
2021;28;     5;    1;    5;     0;  4;  1.957;276
2021;29;     7;    0;    7;     0;  5;  2.206;254
2021;30;    11;    3;    8;     0;  7;  2.425;270
2021;31;     9;    3;    9;     0;  5;  2.571;265
2021;32;    15;    2;   14;     0;  8;  3.099;280
2021;33;    19;    0;   19;     0; 12;  2.776;287
2021;34;    32;    3;   30;     0; 15;  3.262;299
2021;35;    36;    1;   33;     0; 16;  3.963;316
2021;36;    45;   12;   45;     0; 18;  4.392;366
2021;37;    23;    6;   22;     0; 11;  2.908;300
2021;38;    15;    6;   14;     0;  8;  2.902;298
2021;39;     3;    6;    3;     0;  3;  2.739;297
2021;40;    14;    1;    7;     4;  6;  2.595;283
2021;41;     3;    4;    0;     3;  3;  3.189;324
2021;42;    16;    1;    5;     9;  8;  4.222;406
2021;43;    14;    3;    5;     5; 10;  5.542;468
2021;44;    26;    4;    7;    18; 18;  7.167;498
2021;45;    25;    4;    9;    13; 21;  7.274;526
2021;46;    52;    2;   10;    39; 28;  7.932;561
2021;47;    30;    8;    7;    21; 22;  8.640;597
2021;48;    54;    6;    8;    40; 30;  9.070;603
2021;49;    89;    6;   11;    71; 47; 10.185;646
2021;50;   137;    9;   17;   113; 62; 12.240;694
2021;51;   193;   11;   20;   165; 92; 14.805;702
2021;52;   608;   13;   53;   526;210; 21.373;754
2022;1;   656;   39;   43;   588;211; 25.069;782
2022;2;   622;   38;   40;   552;198; 23.717;785
2022;3;   831;   47;   52;   749;258; 26.633;808
2022;4; 1.207;   54;   64; 1.102;338; 27.968;799
2022;5; 1.678;   62;   76; 1.533;439; 29.622;848
2022;6; 2.069;   97;  100; 1.904;522; 30.410;873
2022;7; 2.320;  105;   92; 2.154;551; 27.158;853
2022;8; 2.012;  141;   74; 1.882;526; 22.471;829
2022;9; 1.713;  124;   51; 1.613;471; 18.885;815
2022;10; 1.295;  114;   39; 1.219;383; 15.985;752
2022;11;   976;   93;   36;   926;308; 12.970;687
I alt;;20.678;1.970;1.146;15.249;915;646.052;959
