Dato;Hovedstaden;Sjælland;Syddanmark;Midtjylland;Nordjylland;Ukendt Region;Total
2020-04-21;18;13;2;5;0;0;38
2020-04-22;14;8;3;2;0;0;27
2020-04-23;16;11;1;4;0;1;33
2020-04-24;8;8;1;2;1;0;20
2020-04-25;19;7;0;1;1;0;28
2020-04-26;20;2;1;3;0;0;26
2020-04-27;8;11;0;1;0;0;20
2020-04-28;12;2;1;0;0;0;15
2020-04-29;9;4;0;1;1;0;15
2020-04-30;10;5;0;1;0;1;17
2020-05-01;9;5;1;1;0;0;16
2020-05-02;14;5;0;5;0;0;24
2020-05-03;13;3;0;0;0;0;16
2020-05-04;8;3;0;3;0;1;15
2020-05-05;8;6;0;0;0;0;14
2020-05-06;3;2;0;0;0;0;5
2020-05-07;11;4;0;0;0;0;15
2020-05-08;6;3;1;0;0;0;10
2020-05-09;4;3;0;3;0;0;10
2020-05-10;7;2;1;0;0;0;10
2020-05-11;6;1;1;0;0;0;8
2020-05-12;6;0;0;1;0;0;7
2020-05-13;4;2;0;0;0;0;6
2020-05-14;9;2;1;0;0;0;12
2020-05-15;5;7;5;0;1;0;18
2020-05-16;1;1;2;1;0;0;5
2020-05-17;2;0;0;0;0;0;2
2020-05-18;9;2;2;1;0;0;14
2020-05-19;4;1;0;0;0;0;5
2020-05-20;2;3;0;1;0;0;6
2020-05-21;3;3;0;0;0;0;6
2020-05-22;9;3;0;2;0;0;14
2020-05-23;5;3;0;1;0;0;9
2020-05-24;1;0;0;0;0;0;1
2020-05-25;4;0;2;0;0;0;6
2020-05-26;7;0;3;0;1;0;11
2020-05-27;5;2;0;0;0;0;7
2020-05-28;5;0;0;0;0;0;5
2020-05-29;8;2;0;0;0;0;10
2020-05-30;5;1;0;1;0;0;7
2020-05-31;3;0;1;0;0;0;4
2020-06-01;3;0;1;1;0;0;5
2020-06-02;4;2;0;0;0;0;6
2020-06-03;1;2;0;0;0;0;3
2020-06-04;2;2;0;0;0;0;4
2020-06-05;7;1;1;0;0;0;9
2020-06-06;2;0;0;0;0;0;2
2020-06-07;3;0;0;0;0;0;3
2020-06-08;3;1;0;0;0;1;5
2020-06-09;0;1;0;0;0;0;1
2020-06-10;0;0;0;0;1;0;1
2020-06-11;0;0;0;0;1;0;1
2020-06-12;3;2;0;0;1;0;6
2020-06-13;3;1;0;0;0;0;4
2020-06-14;1;0;0;0;0;0;1
2020-06-15;1;1;0;0;0;0;2
2020-06-16;2;2;0;0;1;1;6
2020-06-17;2;0;1;0;2;0;5
2020-06-18;1;0;0;0;1;0;2
2020-06-19;2;2;0;0;0;0;4
2020-06-20;1;1;0;0;2;0;4
2020-06-21;2;0;0;1;1;0;4
2020-06-22;2;1;0;0;2;0;5
2020-06-23;1;0;0;2;1;0;4
2020-06-24;3;0;0;0;2;0;5
2020-06-25;2;1;0;0;1;0;4
2020-06-26;1;0;0;0;0;0;1
2020-06-27;1;1;0;1;1;0;4
2020-06-28;1;0;0;0;4;0;5
2020-06-29;0;1;0;0;2;0;3
2020-06-30;0;0;0;0;0;0;0
2020-07-01;1;1;0;0;0;0;2
2020-07-02;2;0;1;0;1;0;4
2020-07-03;0;0;0;1;0;0;1
2020-07-04;0;0;0;0;0;0;0
2020-07-05;1;0;1;0;0;0;2
2020-07-06;1;1;0;0;0;0;2
2020-07-07;1;0;0;0;1;0;2
2020-07-08;0;0;0;0;1;0;1
2020-07-09;1;1;1;0;0;0;3
2020-07-10;1;0;0;0;2;0;3
2020-07-11;4;0;0;0;1;0;5
2020-07-12;0;0;0;0;0;0;0
2020-07-13;0;0;0;0;0;0;0
2020-07-14;2;0;0;1;0;0;3
2020-07-15;2;1;0;0;0;0;3
2020-07-16;1;0;0;0;0;0;1
2020-07-17;2;1;0;0;0;0;3
2020-07-18;2;0;0;0;0;0;2
2020-07-19;1;1;0;0;0;0;2
2020-07-20;2;1;0;0;0;0;3
2020-07-21;2;0;0;0;0;0;2
2020-07-22;3;0;0;1;0;0;4
2020-07-23;0;0;0;0;1;0;1
2020-07-24;0;1;1;0;0;0;2
2020-07-25;2;2;1;0;0;0;5
2020-07-26;1;0;0;0;0;0;1
2020-07-27;2;1;0;0;0;0;3
2020-07-28;1;0;0;0;0;0;1
2020-07-29;2;2;0;2;0;0;6
2020-07-30;2;2;0;0;1;0;5
2020-07-31;0;0;1;2;0;0;3
2020-08-01;0;1;0;3;0;0;4
2020-08-02;0;3;0;0;0;0;3
2020-08-03;0;2;1;3;0;0;6
2020-08-04;2;3;0;1;0;0;6
2020-08-05;3;0;0;4;0;0;7
2020-08-06;0;1;1;0;1;0;3
2020-08-07;2;0;0;1;0;0;3
2020-08-08;0;1;0;2;0;0;3
2020-08-09;0;1;0;1;0;0;2
2020-08-10;1;1;0;1;0;0;3
2020-08-11;0;1;0;0;0;0;1
2020-08-12;1;1;0;0;1;0;3
2020-08-13;2;0;0;0;1;1;4
2020-08-14;1;1;0;2;0;0;4
2020-08-15;0;2;0;0;0;1;3
2020-08-16;1;0;0;2;1;0;4
2020-08-17;2;2;0;3;0;0;7
2020-08-18;1;0;0;0;1;0;2
2020-08-19;1;1;1;0;1;1;5
2020-08-20;1;1;0;4;0;0;6
2020-08-21;0;0;1;2;1;0;4
2020-08-22;1;0;0;0;2;0;3
2020-08-23;1;0;1;1;1;0;4
2020-08-24;1;0;0;0;0;1;2
2020-08-25;1;0;0;1;0;0;2
2020-08-26;2;3;0;0;1;2;8
2020-08-27;0;1;0;0;0;0;1
2020-08-28;2;0;0;1;1;0;4
2020-08-29;1;0;0;0;0;0;1
2020-08-30;2;0;0;1;0;0;3
2020-08-31;2;2;0;1;0;0;5
2020-09-01;1;0;1;0;0;0;2
2020-09-02;2;0;1;0;0;1;4
2020-09-03;2;0;1;1;0;1;5
2020-09-04;2;0;2;2;0;0;6
2020-09-05;5;0;1;4;2;0;12
2020-09-06;6;0;0;1;1;0;8
2020-09-07;4;0;1;1;0;0;6
2020-09-08;2;1;3;0;1;0;7
2020-09-09;8;1;1;1;1;0;12
2020-09-10;10;1;1;1;2;0;15
2020-09-11;4;3;0;2;1;0;10
2020-09-12;8;1;1;2;1;0;13
2020-09-13;5;2;4;1;0;0;12
2020-09-14;6;2;2;0;2;0;12
2020-09-15;9;0;0;3;1;1;14
2020-09-16;12;1;2;2;3;1;21
2020-09-17;3;3;0;1;3;1;11
2020-09-18;7;2;0;1;0;1;11
2020-09-19;10;2;3;4;5;0;24
2020-09-20;11;0;1;3;1;0;16
2020-09-21;10;1;3;1;4;1;20
2020-09-22;8;2;3;2;0;0;15
2020-09-23;13;4;2;2;3;0;24
2020-09-24;8;3;5;4;3;0;23
2020-09-25;11;1;1;1;2;0;16
2020-09-26;5;2;1;4;1;0;13
2020-09-27;10;3;2;2;1;0;18
2020-09-28;11;1;5;1;0;0;18
2020-09-29;6;0;3;4;1;0;14
2020-09-30;8;4;3;5;0;1;21
2020-10-01;7;2;4;8;2;0;23
2020-10-02;6;4;1;4;1;0;16
2020-10-03;10;0;0;2;0;0;12
2020-10-04;11;1;3;3;2;1;21
2020-10-05;14;2;2;7;2;1;28
2020-10-06;5;0;1;1;0;0;7
2020-10-07;10;2;2;3;0;0;17
2020-10-08;3;1;0;4;0;0;8
2020-10-09;3;2;2;4;3;1;15
2020-10-10;5;2;3;2;3;1;16
2020-10-11;6;1;2;3;2;0;14
2020-10-12;11;1;2;8;1;0;23
2020-10-13;8;1;3;4;1;2;19
2020-10-14;10;1;2;5;2;2;22
2020-10-15;11;0;1;4;5;0;21
2020-10-16;8;3;1;5;1;3;21
2020-10-17;8;2;1;3;1;0;15
2020-10-18;10;0;5;6;3;0;24
2020-10-19;10;5;2;5;1;1;24
2020-10-20;10;1;5;3;1;0;20
2020-10-21;13;2;2;4;1;0;22
2020-10-22;12;1;0;2;0;0;15
2020-10-23;10;5;3;3;4;2;27
2020-10-24;10;3;2;2;1;0;18
2020-10-25;13;1;7;2;4;1;28
2020-10-26;11;7;3;5;3;2;31
2020-10-27;14;1;3;9;3;1;31
2020-10-28;12;2;4;6;5;0;29
2020-10-29;18;2;8;5;4;0;37
2020-10-30;10;4;3;8;5;0;30
2020-10-31;17;4;7;4;3;0;35
2020-11-01;14;1;10;8;1;2;36
2020-11-02;21;4;8;3;3;0;39
2020-11-03;20;6;5;4;6;0;41
2020-11-04;22;11;5;7;6;0;51
2020-11-05;17;8;10;7;5;0;47
2020-11-06;15;1;5;8;2;0;31
2020-11-07;11;5;4;4;4;1;29
2020-11-08;14;7;6;6;4;1;38
2020-11-09;24;8;8;11;5;0;56
2020-11-10;12;6;5;6;2;1;32
2020-11-11;24;6;4;9;3;2;48
2020-11-12;14;3;5;9;0;3;34
2020-11-13;18;5;2;9;3;0;37
2020-11-14;15;6;2;5;2;1;31
2020-11-15;19;3;0;8;0;0;30
2020-11-16;25;6;4;9;4;0;48
2020-11-17;27;4;10;15;3;2;61
2020-11-18;19;5;7;9;2;0;42
2020-11-19;14;7;5;9;2;1;38
2020-11-20;14;4;7;11;3;1;40
2020-11-21;13;6;8;6;0;2;35
2020-11-22;23;3;5;4;4;1;40
2020-11-23;19;7;3;9;1;1;40
2020-11-24;14;5;9;11;4;0;43
2020-11-25;20;8;3;9;5;1;46
2020-11-26;19;5;11;3;3;2;43
2020-11-27;15;3;2;6;2;1;29
2020-11-28;7;5;5;8;3;1;29
2020-11-29;16;7;3;6;0;0;32
2020-11-30;25;4;11;5;1;1;47
2020-12-01;21;2;5;17;2;0;47
2020-12-02;22;5;8;10;2;4;51
2020-12-03;32;9;3;8;0;0;52
2020-12-04;25;10;4;12;2;0;53
2020-12-05;36;12;6;11;2;0;67
2020-12-06;42;13;5;10;0;0;70
2020-12-07;56;12;5;14;1;0;88
2020-12-08;40;8;3;7;2;0;60
2020-12-09;46;9;8;12;1;1;77
2020-12-10;54;17;11;14;1;1;98
2020-12-11;46;15;5;24;1;1;92
2020-12-12;55;7;4;10;3;2;81
2020-12-13;55;18;15;11;2;0;101
2020-12-14;71;25;9;17;2;0;124
2020-12-15;73;34;14;19;5;0;145
2020-12-16;91;19;12;11;6;1;140
2020-12-17;85;22;7;21;6;1;142
2020-12-18;86;27;11;16;7;2;149
2020-12-19;92;18;12;19;10;1;152
2020-12-20;67;25;10;20;7;0;129
2020-12-21;99;29;16;18;11;2;175
2020-12-22;78;30;15;19;8;0;150
2020-12-23;72;23;14;25;14;0;148
2020-12-24;68;21;9;21;6;1;126
2020-12-25;97;25;12;22;4;1;161
2020-12-26;82;17;14;19;8;1;141
2020-12-27;77;23;10;17;11;0;138
2020-12-28;86;38;31;40;7;1;203
2020-12-29;81;20;11;28;4;2;146
2020-12-30;70;24;12;18;2;0;126
2020-12-31;61;19;15;13;13;1;122
2021-01-01;78;21;14;21;9;2;145
2021-01-02;63;32;14;18;14;2;143
2021-01-03;54;27;14;10;11;1;117
2021-01-04;67;37;11;28;12;1;156
2021-01-05;42;20;11;21;7;0;101
2021-01-06;61;28;16;20;7;0;132
2021-01-07;73;22;16;16;9;1;137
2021-01-08;51;27;9;21;9;0;117
2021-01-09;62;17;14;13;7;0;113
2021-01-10;42;23;11;16;13;0;105
2021-01-11;50;24;18;23;5;1;121
2021-01-12;45;13;12;21;6;1;98
2021-01-13;57;25;6;12;4;1;105
2021-01-14;40;14;10;17;4;3;88
2021-01-15;36;20;20;15;6;0;97
2021-01-16;33;13;15;13;5;1;80
2021-01-17;41;15;14;5;6;0;81
2021-01-18;55;19;15;18;9;0;116
2021-01-19;40;21;13;11;15;0;100
2021-01-20;31;9;15;6;11;0;72
2021-01-21;47;16;9;8;8;1;89
2021-01-22;39;15;8;11;6;1;80
2021-01-23;35;14;2;4;3;1;59
2021-01-24;26;12;6;8;7;0;59
2021-01-25;39;14;7;7;5;0;72
2021-01-26;27;8;3;5;5;0;48
2021-01-27;28;15;8;5;3;0;59
2021-01-28;20;12;6;7;4;0;49
2021-01-29;18;12;4;5;6;1;46
2021-01-30;13;6;3;3;5;0;30
2021-01-31;21;5;6;7;2;1;42
2021-02-01;23;8;5;5;3;1;45
2021-02-02;18;3;8;2;6;0;37
2021-02-03;8;10;4;2;6;2;32
2021-02-04;17;7;3;5;1;0;33
2021-02-05;17;12;1;4;3;1;38
2021-02-06;6;2;5;2;2;3;20
2021-02-07;21;3;3;1;2;1;31
2021-02-08;13;9;5;4;4;0;35
2021-02-09;18;8;4;0;7;0;37
2021-02-10;17;7;5;4;1;0;34
2021-02-11;8;6;4;5;1;1;25
2021-02-12;11;3;3;2;1;0;20
2021-02-13;14;7;5;2;1;0;29
2021-02-14;6;9;3;3;0;0;21
2021-02-15;5;7;6;4;5;0;27
2021-02-16;9;4;2;2;1;0;18
2021-02-17;8;4;2;5;4;0;23
2021-02-18;11;6;6;4;5;0;32
2021-02-19;12;7;7;1;0;1;28
2021-02-20;12;2;4;1;2;1;22
2021-02-21;6;3;5;1;4;0;19
2021-02-22;9;7;5;4;2;0;27
2021-02-23;8;6;4;2;5;0;25
2021-02-24;15;4;4;3;4;0;30
2021-02-25;13;4;12;6;0;0;35
2021-02-26;8;4;11;3;1;0;27
2021-02-27;12;6;3;4;0;0;25
2021-02-28;12;3;5;1;1;0;22
2021-03-01;6;11;6;2;0;1;26
2021-03-02;16;8;6;2;2;1;35
2021-03-03;14;1;9;1;2;1;28
2021-03-04;14;2;8;3;0;1;28
2021-03-05;6;5;6;5;0;1;23
2021-03-06;17;6;9;5;3;1;41
2021-03-07;9;5;5;1;0;0;20
2021-03-08;12;3;5;2;0;0;22
2021-03-09;12;9;11;1;0;0;33
2021-03-10;12;7;9;1;0;0;29
2021-03-11;16;5;6;2;0;0;29
2021-03-12;6;1;2;2;1;1;13
2021-03-13;15;7;8;2;0;0;32
2021-03-14;10;4;7;2;1;0;24
2021-03-15;10;8;3;5;0;0;26
2021-03-16;15;4;6;4;1;1;31
2021-03-17;10;6;8;4;0;2;30
2021-03-18;9;6;9;0;0;1;25
2021-03-19;7;4;4;3;1;0;19
2021-03-20;10;4;3;3;1;0;21
2021-03-21;10;3;9;4;2;0;28
2021-03-22;27;5;5;4;1;1;43
2021-03-23;9;3;6;3;2;0;23
2021-03-24;10;4;9;3;2;0;28
2021-03-25;20;1;7;6;1;0;35
2021-03-26;18;0;8;4;3;1;34
2021-03-27;20;6;5;6;1;0;38
2021-03-28;15;7;5;4;1;0;32
2021-03-29;19;6;9;9;5;2;50
2021-03-30;26;4;2;1;2;1;36
2021-03-31;19;9;6;7;2;0;43
2021-04-01;17;0;7;8;0;1;33
2021-04-02;15;2;9;2;2;1;31
2021-04-03;20;3;5;2;2;0;32
2021-04-04;17;3;3;1;2;0;26
2021-04-05;15;3;6;2;0;0;26
2021-04-06;22;5;4;7;4;1;43
2021-04-07;16;3;3;4;5;1;32
2021-04-08;14;9;3;4;3;2;35
2021-04-09;17;3;2;4;3;0;29
2021-04-10;14;3;6;5;0;1;29
2021-04-11;13;3;3;4;0;0;23
2021-04-12;14;1;6;5;2;0;28
2021-04-13;12;6;7;4;3;3;35
2021-04-14;11;2;2;7;4;2;28
2021-04-15;16;9;3;5;1;0;34
2021-04-16;11;4;4;6;0;1;26
2021-04-17;17;1;6;6;1;0;31
2021-04-18;15;5;9;6;3;2;40
2021-04-19;26;8;4;4;2;0;44
2021-04-20;16;5;2;8;1;2;34
2021-04-21;21;2;2;7;0;1;33
2021-04-22;14;5;4;3;1;2;29
2021-04-23;11;3;4;8;0;0;26
2021-04-24;11;10;4;2;1;1;29
2021-04-25;5;3;3;2;1;1;15
2021-04-26;7;6;1;6;3;1;24
2021-04-27;17;2;4;6;4;1;34
2021-04-28;18;5;3;7;1;1;35
2021-04-29;19;4;3;8;3;2;39
2021-04-30;11;3;4;2;1;2;23
2021-05-01;13;3;1;5;2;0;24
2021-05-02;12;4;3;5;3;0;27
2021-05-03;9;6;1;3;7;1;27
2021-05-04;14;2;1;4;5;0;26
2021-05-05;10;3;2;4;1;0;20
2021-05-06;7;2;6;10;1;0;26
