År;Uge;Bekæftede tilfælde beboere;Dødsfald blandt bekæftede beboere;Bekræftede tilfælde blandt beboere med 2. stik;Bekræftede tilfælde blandt beboere med 3. stik;Plejehjem med bekæftede tilfælde;Testede beboere;Plejehjem med testede beboere
2021;2;   359;  110;    0;     0;102; 11.958;626
2021;3;   163;   81;    0;     0; 74; 10.236;660
2021;4;    85;   56;    0;     0; 54;  8.293;606
2021;5;    47;   39;    0;     0; 22;  7.126;594
2021;6;    16;   23;    5;     0; 10;  5.515;574
2021;7;     6;    7;    4;     0;  6;  4.114;557
2021;8;    12;    2;    9;     0;  8;  3.460;536
2021;9;     9;    0;    6;     0;  7;  3.099;565
2021;10;     4;    2;    1;     0;  4;  3.155;571
2021;11;     7;    0;    3;     0;  7;  3.044;569
2021;12;     7;    2;    5;     0;  7;  2.650;567
2021;13;     4;    0;    3;     0;  4;  1.708;492
2021;14;    14;    1;   12;     0;  8;  1.775;510
2021;15;    21;    3;   18;     0; 10;  2.844;552
2021;16;    19;    3;   16;     0; 11;  2.862;528
2021;17;     9;    3;    9;     0;  7;  2.568;533
2021;18;     9;    0;    7;     0;  6;  2.742;544
2021;19;     6;    1;    5;     0;  6;  2.131;465
2021;20;     2;    1;    1;     0;  2;  2.207;432
2021;21;     2;    0;    2;     0;  2;  1.509;380
2021;22;    15;    0;   15;     0;  3;  1.613;345
2021;23;     7;    0;    6;     0;  5;  1.435;323
2021;24;     3;    1;    2;     0;  2;  1.029;270
2021;25;     0;    0;    0;     0;  0;    790;247
2021;26;     1;    0;    1;     0;  1;  1.120;229
2021;27;     6;    0;    6;     0;  3;  1.348;247
2021;28;     7;    1;    7;     0;  6;  1.956;275
2021;29;     7;    0;    7;     0;  5;  2.205;253
2021;30;    11;    3;    8;     0;  7;  2.424;269
2021;31;     9;    3;    9;     0;  5;  2.571;265
2021;32;    16;    2;   15;     0;  8;  3.099;279
2021;33;    19;    0;   19;     0; 12;  2.776;287
2021;34;    33;    3;   31;     0; 16;  3.262;299
2021;35;    39;    1;   36;     0; 17;  3.962;316
2021;36;    45;   12;   45;     0; 18;  4.390;365
2021;37;    25;    6;   24;     0; 13;  2.906;298
2021;38;    15;    6;   14;     0;  8;  2.902;298
2021;39;     3;    6;    3;     0;  3;  2.739;297
2021;40;    17;    1;    8;     6;  9;  2.594;282
2021;41;     4;    4;    0;     4;  4;  3.189;324
2021;42;    16;    1;    5;     9;  8;  4.222;406
2021;43;    15;    3;    6;     5; 11;  5.542;467
2021;44;    30;    4;    8;    21; 22;  7.168;499
2021;45;    26;    4;   10;    13; 22;  7.283;526
2021;46;    54;    3;   11;    40; 30;  7.940;561
2021;47;    31;    9;    7;    22; 23;  8.646;597
2021;48;    58;    7;    8;    42; 32;  9.072;602
2021;49;    92;    6;   11;    74; 49; 10.189;646
2021;50;   145;    9;   17;   121; 66; 12.243;694
2021;51;   202;   11;   22;   172; 94; 14.810;701
2021;52;   643;   14;   55;   557;218; 21.379;753
2022;1;   682;   40;   45;   612;214; 25.115;782
2022;2;   660;   38;   45;   583;206; 23.715;783
2022;3;   874;   47;   54;   788;262; 26.651;806
2022;4; 1.266;   54;   65; 1.154;344; 27.999;799
2022;5; 1.757;   64;   80; 1.604;446; 29.656;848
2022;6; 2.144;   99;  104; 1.969;530; 30.436;873
2022;7; 2.410;  109;   98; 2.232;565; 27.185;853
2022;8; 2.107;  144;   79; 1.967;529; 22.492;831
2022;9; 1.797;  127;   56; 1.689;484; 18.933;815
2022;10; 1.388;  120;   47; 1.302;397; 16.025;752
2022;11; 1.031;   97;   39;   974;318; 13.019;689
2022;12;   668;   44;   27;   621;256; 10.267;646
I alt;;22.225;2.049;1.261;16.581;921;656.665;959
