uge;år;Klassifikation;Antal nyindlæggelser;Andel nyindlæggelser
17;2021;Luftvejs- eller obsdiagnose;4;0,0191
17;2021;Anden diagnose;27;0,1292
18;2021;Covid-19 diagnose;168;0,8358
18;2021;Luftvejs- eller obsdiagnose;7;0,0348
18;2021;Anden diagnose;26;0,1294
19;2021;Covid-19 diagnose;209;0,8360
19;2021;Luftvejs- eller obsdiagnose;10;0,0400
19;2021;Anden diagnose;31;0,1240
20;2021;Covid-19 diagnose;156;0,7959
20;2021;Luftvejs- eller obsdiagnose;6;0,0306
20;2021;Anden diagnose;34;0,1735
21;2021;Covid-19 diagnose;154;0,7857
21;2021;Luftvejs- eller obsdiagnose;7;0,0357
21;2021;Anden diagnose;35;0,1786
22;2021;Covid-19 diagnose;131;0,8137
22;2021;Luftvejs- eller obsdiagnose;1;0,0062
22;2021;Anden diagnose;29;0,1801
23;2021;Covid-19 diagnose;83;0,6748
23;2021;Luftvejs- eller obsdiagnose;5;0,0407
23;2021;Anden diagnose;35;0,2846
24;2021;Covid-19 diagnose;54;0,7200
24;2021;Luftvejs- eller obsdiagnose;2;0,0267
24;2021;Anden diagnose;19;0,2533
25;2021;Covid-19 diagnose;39;0,8667
25;2021;Luftvejs- eller obsdiagnose;1;0,0222
25;2021;Anden diagnose;5;0,1111
26;2021;Covid-19 diagnose;28;0,7368
26;2021;Luftvejs- eller obsdiagnose;2;0,0526
26;2021;Anden diagnose;8;0,2105
27;2021;Covid-19 diagnose;44;0,7333
27;2021;Luftvejs- eller obsdiagnose;1;0,0167
27;2021;Anden diagnose;15;0,2500
28;2021;Covid-19 diagnose;79;0,7822
28;2021;Luftvejs- eller obsdiagnose;5;0,0495
28;2021;Anden diagnose;17;0,1683
29;2021;Covid-19 diagnose;76;0,7917
29;2021;Luftvejs- eller obsdiagnose;5;0,0521
29;2021;Anden diagnose;15;0,1562
30;2021;Covid-19 diagnose;84;0,7636
30;2021;Luftvejs- eller obsdiagnose;3;0,0273
30;2021;Anden diagnose;23;0,2091
31;2021;Covid-19 diagnose;98;0,8033
31;2021;Luftvejs- eller obsdiagnose;6;0,0492
31;2021;Anden diagnose;18;0,1475
32;2021;Covid-19 diagnose;143;0,7772
32;2021;Luftvejs- eller obsdiagnose;10;0,0543
32;2021;Anden diagnose;31;0,1685
33;2021;Covid-19 diagnose;178;0,8054
33;2021;Luftvejs- eller obsdiagnose;7;0,0317
33;2021;Anden diagnose;36;0,1629
34;2021;Covid-19 diagnose;157;0,7889
34;2021;Luftvejs- eller obsdiagnose;8;0,0402
34;2021;Anden diagnose;34;0,1709
35;2021;Covid-19 diagnose;146;0,7892
35;2021;Luftvejs- eller obsdiagnose;2;0,0108
35;2021;Anden diagnose;37;0,2000
36;2021;Covid-19 diagnose;118;0,7763
36;2021;Luftvejs- eller obsdiagnose;5;0,0329
36;2021;Anden diagnose;29;0,1908
37;2021;Covid-19 diagnose;65;0,7303
37;2021;Luftvejs- eller obsdiagnose;3;0,0337
37;2021;Anden diagnose;21;0,2360
38;2021;Covid-19 diagnose;71;0,7889
38;2021;Luftvejs- eller obsdiagnose;4;0,0444
38;2021;Anden diagnose;15;0,1667
39;2021;Covid-19 diagnose;67;0,7976
39;2021;Luftvejs- eller obsdiagnose;2;0,0238
39;2021;Anden diagnose;15;0,1786
40;2021;Covid-19 diagnose;86;0,7890
40;2021;Luftvejs- eller obsdiagnose;2;0,0183
40;2021;Anden diagnose;21;0,1927
41;2021;Covid-19 diagnose;120;0,7453
41;2021;Luftvejs- eller obsdiagnose;12;0,0745
41;2021;Anden diagnose;29;0,1801
42;2021;Covid-19 diagnose;181;0,7605
42;2021;Luftvejs- eller obsdiagnose;12;0,0504
42;2021;Anden diagnose;45;0,1891
43;2021;Covid-19 diagnose;228;0,7651
43;2021;Luftvejs- eller obsdiagnose;10;0,0336
43;2021;Anden diagnose;60;0,2013
44;2021;Covid-19 diagnose;295;0,7888
44;2021;Luftvejs- eller obsdiagnose;8;0,0214
44;2021;Anden diagnose;71;0,1898
45;2021;Covid-19 diagnose;342;0,7703
45;2021;Luftvejs- eller obsdiagnose;14;0,0315
45;2021;Anden diagnose;88;0,1982
46;2021;Covid-19 diagnose;423;0,7719
46;2021;Luftvejs- eller obsdiagnose;13;0,0237
46;2021;Anden diagnose;112;0,2044
47;2021;Covid-19 diagnose;396;0,7110
47;2021;Luftvejs- eller obsdiagnose;21;0,0377
47;2021;Anden diagnose;140;0,2513
48;2021;Covid-19 diagnose;453;0,7414
48;2021;Luftvejs- eller obsdiagnose;17;0,0278
48;2021;Anden diagnose;141;0,2308
49;2021;Covid-19 diagnose;481;0,7136
49;2021;Luftvejs- eller obsdiagnose;30;0,0445
49;2021;Anden diagnose;163;0,2418
50;2021;Covid-19 diagnose;547;0,7113
50;2021;Luftvejs- eller obsdiagnose;31;0,0403
50;2021;Anden diagnose;191;0,2484
51;2021;Covid-19 diagnose;574;0,6974
51;2021;Luftvejs- eller obsdiagnose;30;0,0365
51;2021;Anden diagnose;219;0,2661
52;2021;Covid-19 diagnose;733;0,6539
52;2021;Luftvejs- eller obsdiagnose;45;0,0401
52;2021;Anden diagnose;343;0,3060
1;2022;Covid-19 diagnose;661;0,5987
1;2022;Luftvejs- eller obsdiagnose;39;0,0353
1;2022;Anden diagnose;404;0,3659
