"Country","Response_measure","date_start","date_end"
"Belgium","IndoorOver500",2020-07-01,2020-11-01
"Belgium","MasksMandatoryAllSpaces",2020-07-11,2020-09-30
"Belgium","MasksMandatoryAllSpacesPartial",2020-10-01,NA
"Belgium","MasksMandatoryClosedSpaces",2020-05-04,NA
"Belgium","MasksVoluntaryAllSpaces",2020-05-04,2020-07-10
"Belgium","MassGather50",2020-11-02,NA
"Belgium","MassGatherAll",2020-03-10,2020-03-17
"Belgium","MassGatherAll",2020-07-01,NA
"Belgium","NonEssentialShops",2020-03-13,2020-05-03
"Belgium","NonEssentialShops",2020-11-02,2020-11-30
"Belgium","NonEssentialShopsPartial",2020-05-04,2020-06-02
"Belgium","NonEssentialShopsPartial",2020-10-19,2020-11-01
"Belgium","NonEssentialShopsPartial",2020-12-01,NA
"Belgium","OutdoorOver500",2020-07-01,2020-11-01
"Belgium","PlaceOfWorship",2020-03-13,2020-06-07
"Belgium","PlaceOfWorshipPartial",2020-06-08,2020-10-05
"Belgium","PrivateGatheringRestrictions",2020-03-18,2020-06-30
"Belgium","PrivateGatheringRestrictions",2020-10-09,NA
"Belgium","RestaurantsCafes",2020-03-13,2020-06-08
"Belgium","RestaurantsCafes",2020-10-19,NA
"Belgium","RestaurantsCafesPartial",2020-10-09,2020-10-18
"Belgium","SocialCircle",2020-03-18,NA
"Belgium","StayHomeGenPartial",2020-05-10,2020-08-31
"Belgium","StayHomeOrder",2020-03-18,2020-05-09
"Belgium","StayHomeOrderPartial",2020-10-16,NA
"Belgium","Teleworking",2020-03-10,2020-06-07
"Belgium","Teleworking",2020-10-19,NA
"Belgium","TeleworkingPartial",2020-06-08,2020-10-18
"Bulgaria","AdaptationOfWorkplace",2020-10-01,NA
"Bulgaria","BanOnAllEvents",2020-03-08,2020-05-14
"Bulgaria","BanOnAllEventsPartial",2020-05-15,2020-06-30
"Bulgaria","ClosDaycare",2020-03-13,2020-05-21
"Bulgaria","ClosDaycare",2020-11-27,2021-01-03
"Bulgaria","ClosDaycarePartial",2020-05-22,2020-06-14
"Bulgaria","ClosHigh",2020-03-13,2020-05-31
"Bulgaria","ClosHighPartial",2020-06-01,NA
"Bulgaria","ClosPrim",2020-03-13,2020-09-14
"Bulgaria","ClosPrim",2020-11-27,2021-01-03
"Bulgaria","ClosPubAny",2020-03-13,2020-05-17
"Bulgaria","ClosPubAnyPartial",2020-05-18,2020-06-14
"Bulgaria","ClosPubAnyPartial",2020-10-29,NA
"Bulgaria","ClosSec",2020-03-13,2020-09-14
"Bulgaria","ClosSec",2020-12-01,2021-02-03
"Bulgaria","ClosSecPartial",2020-10-29,2020-11-30
"Bulgaria","ClosSecPartial",2021-02-04,NA
"Bulgaria","EntertainmentVenues",2020-03-13,2020-05-17
"Bulgaria","EntertainmentVenuesPartial",2020-11-14,NA
"Bulgaria","GymsSportsCentres",2020-03-13,2020-05-17
"Bulgaria","GymsSportsCentresPartial",2020-05-18,2020-06-14
"Bulgaria","GymsSportsCentresPartial",2020-11-27,NA
"Bulgaria","MasksMandatoryAllSpaces",2020-03-30,2020-03-31
"Bulgaria","MasksMandatoryAllSpaces",2020-04-12,2020-04-30
"Bulgaria","MasksMandatoryClosedSpaces",2020-05-01,NA
"Bulgaria","MassGather50",2020-03-08,2020-05-14
"Bulgaria","MassGather50Partial",2020-05-15,2020-06-30
"Bulgaria","MassGatherAll",2020-03-08,2020-03-12
"Bulgaria","MassGatherAllPartial",2020-03-13,2020-06-30
"Bulgaria","NonEssentialShops",2020-03-13,2020-05-17
"Bulgaria","NonEssentialShops",2020-11-27,2021-01-31
"Bulgaria","PrivateGatheringRestrictions",2020-03-08,2020-06-30
"Bulgaria","PrivateGatheringRestrictions",2020-11-27,NA
"Bulgaria","RestaurantsCafes",2020-03-13,2020-05-31
"Bulgaria","RestaurantsCafes",2020-12-01,NA
"Bulgaria","RestaurantsCafesPartial",2020-10-29,2020-11-30
"Bulgaria","Teleworking",2020-03-13,2020-03-29
"Bulgaria","Teleworking",2020-11-14,2020-11-26
"Bulgaria","TeleworkingPartial",2020-11-27,NA
"Croatia","AdaptationOfWorkplacePartial",2020-11-28,NA
"Croatia","BanOnAllEvents",2020-03-19,2020-04-18
"Croatia","ClosDaycare",2020-03-16,2020-05-11
"Croatia","ClosHigh",2020-03-16,2020-03-29
"Croatia","ClosPrim",2020-03-16,2020-05-10
"Croatia","ClosPrimPartial",2020-05-11,2020-05-25
"Croatia","ClosPubAny",2020-03-19,2020-05-28
"Croatia","ClosPubAnyPartial",2020-08-14,2020-09-22
"Croatia","ClosPubAnyPartial",2020-11-28,NA
"Croatia","ClosSec",2020-03-16,2020-03-29
"Croatia","ClosureOfPublicTransport",2020-03-22,2020-04-27
"Croatia","EntertainmentVenues",2020-03-19,2020-05-28
"Croatia","GymsSportsCentres",2020-03-19,2020-05-11
"Croatia","GymsSportsCentres",2020-11-28,NA
"Croatia","IndoorOver50",2020-07-13,NA
"Croatia","MasksMandatoryAllSpaces",2020-10-28,NA
"Croatia","MasksMandatoryAllSpacesPartial",2020-02-28,2020-10-27
"Croatia","MasksMandatoryClosedSpacesPartial",2020-06-25,NA
"Croatia","MassGather50",2020-03-19,2020-04-18
"Croatia","MassGather50",2020-05-18,2020-05-27
"Croatia","MassGather50",2020-07-13,NA
"Croatia","MassGatherAll",2020-03-19,2020-04-18
"Croatia","MassGatherAll",2020-05-18,2020-05-27
"Croatia","MassGatherAll",2020-07-13,NA
"Croatia","NonEssentialShops",2020-03-19,2020-04-27
"Croatia","OutdoorOver50",2020-05-18,2020-05-27
"Croatia","OutdoorOver50",2020-11-28,NA
"Croatia","PrivateGatheringRestrictions",2020-03-19,2020-05-17
"Croatia","PrivateGatheringRestrictions",2020-07-13,NA
"Croatia","RestaurantsCafes",2020-03-19,2020-05-11
"Croatia","RestaurantsCafesPartial",2020-08-14,2020-09-22
"Croatia","RestaurantsCafesPartial",2020-11-28,NA
"Croatia","StayHomeGen",2020-03-17,2020-05-05
"Croatia","StayHomeRiskG",2020-03-03,NA
"Croatia","Teleworking",2020-03-19,2020-05-27
"Croatia","TeleworkingPartial",2020-11-28,NA
"Cyprus","BanOnAllEvents",2020-03-10,2020-06-24
"Cyprus","BanOnAllEventsPartial",2020-11-05,NA
"Cyprus","ClosDaycare",2020-03-10,2020-06-09
"Cyprus","ClosHigh",2020-03-10,2020-05-11
"Cyprus","ClosHigh",2020-12-14,NA
"Cyprus","ClosPrim",2020-03-10,2020-05-21
"Cyprus","ClosPrim",2021-01-10,2021-02-07
"Cyprus","ClosPubAny",2020-03-13,2020-05-03
"Cyprus","ClosPubAnyPartial",2020-05-04,2020-06-29
"Cyprus","ClosPubAnyPartial",2020-11-05,NA
"Cyprus","ClosSec",2020-03-10,2020-05-10
"Cyprus","ClosSec",2020-12-14,2021-02-07
"Cyprus","ClosSecPartial",2020-05-11,2020-05-21
"Cyprus","ClosSecPartial",2021-02-08,NA
"Cyprus","EntertainmentVenues",2020-03-16,2020-05-20
"Cyprus","EntertainmentVenues",2020-12-11,2021-02-07
"Cyprus","EntertainmentVenuesPartial",2020-05-21,2020-06-29
"Cyprus","EntertainmentVenuesPartial",2021-02-08,NA
"Cyprus","GymsSportsCentres",2020-03-13,2020-05-03
"Cyprus","GymsSportsCentresPartial",2020-05-04,2020-06-13
"Cyprus","HotelsOtherAccommodation",2020-03-16,2020-05-03
"Cyprus","HotelsOtherAccommodationPartial",2020-05-04,2020-06-09
"Cyprus","IndoorOver100",2020-07-12,2020-11-04
"Cyprus","IndoorOver50",2020-06-25,2020-07-11
"Cyprus","MasksMandatoryAllSpaces",2020-11-05,NA
"Cyprus","MasksMandatoryClosedSpaces",2020-05-04,2020-11-04
"Cyprus","MassGather50",2020-03-10,2020-07-11
"Cyprus","MassGather50Partial",2020-11-05,NA
"Cyprus","MassGatherAll",2020-03-10,2020-11-04
"Cyprus","MassGatherAllPartial",2020-11-05,NA
"Cyprus","NonEssentialShops",2020-03-16,2020-05-03
"Cyprus","NonEssentialShopsPartial",2020-05-04,2020-06-09
"Cyprus","NonEssentialShopsPartial",2020-12-11,2021-02-07
"Cyprus","OutdoorOver100",2020-07-12,2020-11-04
"Cyprus","OutdoorOver50",2020-06-25,2020-07-11
"Cyprus","PlaceOfWorship",2020-03-16,2020-05-03
"Cyprus","PlaceOfWorshipPartial",2020-05-04,2020-06-01
"Cyprus","PlaceOfWorshipPartial",2021-02-08,NA
"Cyprus","PrivateGatheringRestrictions",2020-03-31,2020-05-03
"Cyprus","PrivateGatheringRestrictions",2020-11-05,NA
"Cyprus","RestaurantsCafes",2020-03-16,2020-05-20
"Cyprus","RestaurantsCafesPartial",2020-05-21,2020-06-09
"Cyprus","RestaurantsCafesPartial",2020-11-05,NA
"Cyprus","StayHomeOrder",2020-03-24,2020-05-03
"Cyprus","StayHomeOrder",2021-01-10,NA
"Cyprus","StayHomeOrderPartial",2020-05-04,2020-05-21
"Cyprus","StayHomeOrderPartial",2020-11-05,2021-01-09
"Cyprus","TeleworkingPartial",2021-01-21,NA
"Cyprus","WorkplaceClosures",2020-03-16,2020-04-14
"Cyprus","WorkplaceClosuresPartial",2020-04-15,2020-06-29
"Czechia","AdaptationOfWorkplace",2020-03-24,2020-05-11
"Czechia","AdaptationOfWorkplace",2020-12-27,2021-02-14
"Czechia","BanOnAllEvents",2020-10-22,2020-12-03
"Czechia","BanOnAllEvents",2020-12-18,2021-02-14
"Czechia","ClosDaycare",2020-03-11,2020-05-11
"Czechia","ClosHigh",2020-03-11,2020-05-10
"Czechia","ClosHigh",2020-10-14,2021-02-14
"Czechia","ClosHighPartial",2020-05-11,2020-08-31
"Czechia","ClosPrim",2020-03-11,2020-05-10
"Czechia","ClosPrim",2020-10-14,2020-11-17
"Czechia","ClosPrim",2020-12-21,2021-02-14
"Czechia","ClosPrimPartial",2020-05-11,2020-08-31
"Czechia","ClosPrimPartial",2020-11-18,2020-11-29
"Czechia","ClosPubAny",2020-03-17,2020-04-23
"Czechia","ClosPubAny",2020-10-14,2020-11-17
"Czechia","ClosPubAnyPartial",2020-03-10,2020-03-16
"Czechia","ClosPubAnyPartial",2020-04-24,2020-10-13
"Czechia","ClosPubAnyPartial",2020-11-18,NA
"Czechia","ClosSec",2020-03-11,2020-06-07
"Czechia","ClosSec",2020-10-14,2020-12-06
"Czechia","ClosSec",2020-12-21,2021-02-14
"Czechia","ClosSecPartial",2020-06-08,2020-08-31
"Czechia","ClosSecPartial",2020-12-07,2020-12-20
"Czechia","EntertainmentVenues",2020-03-17,2020-05-10
"Czechia","EntertainmentVenues",2020-10-14,2020-12-02
"Czechia","EntertainmentVenues",2020-12-18,2021-02-14
"Czechia","EntertainmentVenuesPartial",2020-03-13,2020-03-16
"Czechia","EntertainmentVenuesPartial",2020-05-11,2020-08-31
"Czechia","EntertainmentVenuesPartial",2020-10-05,2020-10-13
"Czechia","EntertainmentVenuesPartial",2020-12-03,2020-12-17
"Czechia","GymsSportsCentres",2020-03-13,2020-04-26
"Czechia","GymsSportsCentres",2020-10-14,2020-12-02
"Czechia","GymsSportsCentres",2020-12-18,2021-02-14
"Czechia","GymsSportsCentresPartial",2020-04-27,2020-10-13
"Czechia","GymsSportsCentresPartial",2020-12-03,2020-12-17
"Czechia","HotelsOtherAccommodation",2020-03-16,2020-05-25
"Czechia","HotelsOtherAccommodation",2020-10-22,2020-12-03
"Czechia","HotelsOtherAccommodation",2020-12-18,2021-02-14
"Czechia","IndoorOver100",2020-03-04,2020-03-12
"Czechia","IndoorOver100",2020-05-11,2020-05-25
"Czechia","IndoorOver1000",2020-06-22,2020-08-31
"Czechia","IndoorOver500",2020-05-26,2020-06-21
"Czechia","IndoorOver500",2020-09-01,2020-10-05
"Czechia","MasksMandatoryAllSpaces",2020-03-19,2020-07-24
"Czechia","MasksMandatoryAllSpaces",2020-09-01,NA
"Czechia","MasksMandatoryAllSpacesPartial",2020-07-25,2020-08-31
"Czechia","MassGather50",2020-10-22,2021-02-14
"Czechia","MassGatherAll",2020-03-04,2020-03-12
"Czechia","MassGatherAll",2020-05-11,2020-10-05
"Czechia","MassGatherAll",2020-10-22,2021-02-14
"Czechia","NonEssentialShops",2020-03-14,2020-05-11
"Czechia","NonEssentialShops",2020-10-22,2020-12-02
"Czechia","NonEssentialShops",2020-12-27,2021-02-14
"Czechia","NonEssentialShopsPartial",2020-12-03,2020-12-26
"Czechia","OutdoorOver100",2020-05-11,2020-05-25
"Czechia","OutdoorOver1000",2020-06-22,2020-10-05
"Czechia","OutdoorOver50",2020-12-04,2020-12-17
"Czechia","OutdoorOver500",2020-05-26,2020-06-21
"Czechia","PlaceOfWorship",2020-03-16,2020-04-23
"Czechia","PlaceOfWorship",2020-10-14,2020-11-17
"Czechia","PlaceOfWorshipPartial",2020-03-10,2020-03-15
"Czechia","PlaceOfWorshipPartial",2020-04-24,2020-10-13
"Czechia","PlaceOfWorshipPartial",2020-11-18,NA
"Czechia","PrivateGatheringRestrictions",2020-03-12,2020-05-11
"Czechia","PrivateGatheringRestrictions",2020-10-05,2020-12-02
"Czechia","PrivateGatheringRestrictions",2020-12-27,2021-02-14
"Czechia","PrivateGatheringRestrictionsPartial",2020-12-03,2020-12-26
"Czechia","RestaurantsCafes",2020-03-14,2020-05-10
"Czechia","RestaurantsCafes",2020-10-14,2020-12-02
"Czechia","RestaurantsCafes",2020-12-18,2021-02-14
"Czechia","RestaurantsCafesPartial",2020-05-11,2020-06-08
"Czechia","RestaurantsCafesPartial",2020-12-03,2020-12-17
"Czechia","SocialCircle",2021-01-30,2021-02-14
"Czechia","StayHomeOrder",2020-03-16,2020-04-24
"Czechia","StayHomeOrder",2020-10-22,2020-12-03
"Czechia","StayHomeOrder",2020-12-18,2021-02-14
"Czechia","Teleworking",2020-10-22,2021-02-14
"Denmark","AdaptationOfWorkplace",2020-05-08,2020-05-19
"Denmark","AdaptationOfWorkplacePartial",2020-05-20,NA
"Denmark","ClosDaycare",2020-03-16,2020-04-15
"Denmark","ClosHigh",2020-03-16,2020-07-31
"Denmark","ClosHigh",2020-12-16,NA
"Denmark","ClosPrim",2020-03-16,2020-04-15
"Denmark","ClosPrim",2020-12-21,2021-01-03
"Denmark","ClosPrim",2021-01-05,2021-02-07
"Denmark","ClosPubAny",2020-04-28,2020-05-17
"Denmark","ClosPubAny",2020-12-16,NA
"Denmark","ClosPubAnyPartial",2020-03-11,2020-04-27
"Denmark","ClosPubAnyPartial",2020-05-18,2020-12-15
"Denmark","ClosSec",2020-03-16,2020-05-18
"Denmark","ClosSec",2020-12-16,NA
"Denmark","EntertainmentVenues",2020-03-18,2020-06-08
"Denmark","EntertainmentVenues",2020-12-16,NA
"Denmark","GymsSportsCentres",2020-03-18,2020-06-08
"Denmark","IndoorOver50",2020-03-18,2020-06-14
"Denmark","IndoorOver500",2020-06-15,2020-08-31
"Denmark","MasksMandatoryClosedSpaces",2020-08-22,NA
"Denmark","MasksVoluntaryAllSpacesPartial",2020-07-09,NA
"Denmark","MassGather50",2020-03-18,2020-06-14
"Denmark","MassGatherAll",2020-03-18,2020-06-14
"Denmark","MassGatherAllPartial",2020-06-15,NA
"Denmark","NonEssentialShops",2020-04-28,2020-05-10
"Denmark","NonEssentialShopsPartial",2020-03-11,2020-04-27
"Denmark","OutdoorOver100",2020-09-05,NA
"Denmark","OutdoorOver1000",2020-06-15,2020-09-04
"Denmark","OutdoorOver500",2020-04-21,2020-06-14
"Denmark","PlaceOfWorship",2020-03-18,2020-05-18
"Denmark","PrivateGatheringRestrictions",2020-03-18,2020-06-14
"Denmark","PrivateGatheringRestrictions",2020-10-26,NA
"Denmark","RestaurantsCafes",2020-03-18,2020-05-17
"Denmark","RestaurantsCafes",2020-12-16,NA
"Denmark","RestaurantsCafesPartial",2020-05-18,2020-12-15
"Denmark","SocialCircle",2021-01-06,NA
"Denmark","StayHomeRiskG",2020-03-14,NA
"Denmark","Teleworking",2020-03-13,2020-06-14
"Denmark","Teleworking",2020-12-16,NA
"Denmark","TeleworkingPartial",2020-06-15,2020-12-15
"Denmark","WorkplaceClosures",2020-03-13,2020-05-10
"Estonia","AdaptationOfWorkplacePartial",2020-03-16,NA
"Estonia","ClosHigh",2020-03-16,2020-05-17
"Estonia","ClosHigh",2020-12-14,2020-12-31
"Estonia","ClosPrim",2020-03-16,2020-05-17
"Estonia","ClosPrim",2020-12-14,2020-12-31
"Estonia","ClosPubAny",2020-03-12,2020-05-16
"Estonia","ClosPubAnyPartial",2020-05-17,2020-07-01
"Estonia","ClosPubAnyPartial",2020-08-19,NA
"Estonia","ClosSec",2020-03-16,2020-05-17
"Estonia","ClosSec",2020-12-14,2021-01-10
"Estonia","EntertainmentVenues",2020-03-12,2020-05-16
"Estonia","EntertainmentVenuesPartial",2020-05-17,2020-07-01
"Estonia","EntertainmentVenuesPartial",2020-11-16,NA
"Estonia","GymsSportsCentres",2020-03-16,2020-05-17
"Estonia","GymsSportsCentresPartial",2020-08-19,NA
"Estonia","IndoorOver100",2020-06-01,2020-07-14
"Estonia","IndoorOver100",2020-11-28,NA
"Estonia","IndoorOver1000",2020-07-15,2020-11-27
"Estonia","IndoorOver50",2020-05-18,2020-05-31
"Estonia","MasksMandatoryClosedSpaces",2020-11-24,NA
"Estonia","MasksVoluntaryAllSpaces",2020-03-12,2020-05-16
"Estonia","MasksVoluntaryAllSpacesPartial",2020-05-17,2020-07-31
"Estonia","MasksVoluntaryClosedSpacesPartial",2020-10-12,2020-11-23
"Estonia","MassGather50",2020-05-18,2020-05-31
"Estonia","MassGatherAll",2020-05-18,2020-05-31
"Estonia","MassGatherAll",2020-07-15,NA
"Estonia","MassGatherAllPartial",2020-06-01,2020-07-14
"Estonia","NonEssentialShops",2020-03-27,2020-05-17
"Estonia","OutdoorOver100",2020-05-18,2020-06-30
"Estonia","OutdoorOver1000",2020-07-01,2020-11-23
"Estonia","OutdoorOver500",2020-11-24,NA
"Estonia","PlaceOfWorship",2020-03-12,2020-05-10
"Estonia","PlaceOfWorshipPartial",2020-12-24,NA
"Estonia","PrivateGatheringRestrictions",2020-03-12,2020-05-17
"Estonia","PrivateGatheringRestrictions",2020-11-16,2021-01-10
"Estonia","PrivateGatheringRestrictions",2021-02-01,NA
"Estonia","PrivateGatheringRestrictionsPartial",2021-01-11,2021-01-31
"Estonia","RestaurantsCafesPartial",2020-11-16,NA
"Estonia","StayHomeGen",2020-03-12,2020-05-17
"Estonia","TeleworkingPartial",2020-03-16,NA
"Finland","ClosHigh",2020-03-18,2020-08-04
"Finland","ClosPrim",2020-03-18,2020-05-14
"Finland","ClosPubAny",2020-03-18,2020-05-31
"Finland","ClosPubAnyPartial",2020-06-01,NA
"Finland","ClosSec",2020-03-18,2020-08-04
"Finland","EntertainmentVenues",2020-03-18,2020-05-31
"Finland","EntertainmentVenuesPartial",2020-06-01,NA
"Finland","GymsSportsCentres",2020-03-18,2020-06-01
"Finland","IndoorOver50",2020-03-18,2020-07-31
"Finland","IndoorOver50",2020-10-15,NA
"Finland","IndoorOver500",2020-03-12,2020-03-17
"Finland","IndoorOver500",2020-08-01,2020-10-14
"Finland","MasksVoluntaryClosedSpaces",2020-09-18,NA
"Finland","MasksVoluntaryClosedSpacesPartial",2020-08-13,2020-09-17
"Finland","MassGather50",2020-03-18,2020-06-30
"Finland","MassGather50Partial",2020-07-01,2020-07-31
"Finland","MassGather50Partial",2020-10-15,NA
"Finland","MassGatherAll",2020-03-12,2020-06-30
"Finland","MassGatherAllPartial",2020-07-01,NA
"Finland","OutdoorOver50",2020-03-18,2020-07-01
"Finland","OutdoorOver50",2020-10-15,NA
"Finland","OutdoorOver500",2020-03-12,2020-03-17
"Finland","OutdoorOver500",2020-07-02,2020-10-14
"Finland","RestaurantsCafes",2020-03-18,2020-05-31
"Finland","RestaurantsCafesPartial",2020-06-01,2020-07-13
"Finland","RestaurantsCafesPartial",2020-10-01,NA
"Finland","StayHomeRiskG",2020-03-16,2020-06-22
"Finland","StayHomeRiskGPartial",2020-06-23,NA
"Finland","Teleworking",2020-03-18,2020-08-01
"Finland","TeleworkingPartial",2020-08-13,NA
"France","BanOnAllEvents",2020-10-19,NA
"France","ClosDaycare",2020-03-16,2020-06-01
"France","ClosDaycarePartial",2020-06-02,2020-06-22
"France","ClosHigh",2020-10-27,2021-01-24
"France","ClosHighPartial",2020-03-16,2020-06-22
"France","ClosHighPartial",2021-01-25,NA
"France","ClosPrimPartial",2020-03-16,2020-06-22
"France","ClosPubAny",2020-03-16,2020-05-10
"France","ClosPubAnyPartial",2020-05-11,2020-06-22
"France","ClosPubAnyPartial",2020-10-28,NA
"France","ClosSec",2020-03-16,2020-05-10
"France","ClosSecPartial",2020-05-11,2020-06-22
"France","EntertainmentVenues",2020-03-16,2020-06-01
"France","EntertainmentVenues",2020-10-28,NA
"France","EntertainmentVenuesPartial",2020-06-02,2020-06-22
"France","GymsSportsCentres",2020-03-16,2020-06-22
"France","GymsSportsCentres",2020-10-28,NA
"France","IndoorOver1000",2020-02-29,2020-10-18
"France","MasksMandatoryAllSpaces",2020-10-28,NA
"France","MasksMandatoryClosedSpaces",2020-05-18,NA
"France","MasksVoluntaryAllSpaces",2020-05-11,2020-07-25
"France","MasksVoluntaryClosedSpaces",2020-05-11,2020-05-17
"France","MassGather50",2020-10-19,NA
"France","MassGather50Partial",2020-09-18,2020-10-18
"France","MassGatherAll",2020-02-29,2020-09-17
"France","MassGatherAll",2020-10-19,NA
"France","MassGatherAllPartial",2020-09-18,2020-10-18
"France","NonEssentialShops",2020-03-16,2020-05-10
"France","NonEssentialShops",2020-10-29,2020-11-27
"France","NonEssentialShopsPartial",2020-05-11,2020-06-02
"France","NonEssentialShopsPartial",2020-11-28,NA
"France","OutdoorOver1000",2020-03-13,2020-07-11
"France","OutdoorOver50",2020-09-18,2020-10-18
"France","PlaceOfWorshipPartial",2020-10-28,NA
"France","PrivateGatheringRestrictions",2020-03-17,2020-06-15
"France","PrivateGatheringRestrictionsPartial",2020-09-23,2020-10-28
"France","RegionalStayHomeOrderPartial",2020-10-17,2020-10-28
"France","RestaurantsCafes",2020-03-16,2020-06-01
"France","RestaurantsCafes",2020-10-28,NA
"France","RestaurantsCafesPartial",2020-06-02,2020-06-15
"France","SocialCircle",2020-10-28,NA
"France","StayHomeOrder",2020-03-17,2020-05-11
"France","StayHomeOrder",2020-10-28,2020-12-14
"France","StayHomeOrderPartial",2020-05-12,2020-06-02
"France","StayHomeOrderPartial",2020-12-15,NA
"France","Teleworking",2020-03-17,2020-05-10
"France","Teleworking",2020-10-29,NA
"France","TeleworkingPartial",2020-05-11,2020-10-28
"France","WorkplaceClosures",2020-03-17,2020-05-11
"Germany","BanOnAllEvents",2020-03-23,2020-05-10
"Germany","BanOnAllEvents",2020-11-02,NA
"Germany","BanOnAllEventsPartial",2020-05-11,2020-06-29
"Germany","ClosDaycare",2020-03-13,2020-05-14
"Germany","ClosDaycarePartial",2020-05-15,2020-07-01
