Week;Year;Age;Vax_status;Type;Variable;Group;Value
 1;2022;0-5;Fuld effekt efter revaccination;antal;cases;prevpos;0,000000e+00
 1;2022;0-5;Fuld effekt efter revaccination;antal;personer;alle;NA
 1;2022;0-5;Fuld effekt efter revaccination;antal;personer;notprevpos;NA
 1;2022;0-5;Fuld effekt efter revaccination;antal;personer;prevpos;NA
 1;2022;0-5;Fuld effekt efter revaccination;antal;tests;alle;0,000000e+00
 1;2022;0-5;Fuld effekt efter revaccination;antal;tests;notprevpos;0,000000e+00
 1;2022;0-5;Fuld effekt efter revaccination;antal;tests;prevpos;0,000000e+00
 1;2022;0-5;Fuld effekt efter revaccination;incidence;cases;alle;0,000000e+00
 1;2022;0-5;Fuld effekt efter revaccination;incidence;cases;notprevpos;0,000000e+00
 1;2022;0-5;Fuld effekt efter revaccination;incidence;tac;notprevpos;NA
 1;2022;0-5;Fuld effekt efter revaccination;incidence;tests;alle;0,000000e+00
 1;2022;0-5;Fuld effekt efter revaccination;incidence;tests;notprevpos;NA
 1;2022;0-5;Fuld effekt efter revaccination;incidence;tests;prevpos;NA
 1;2022;0-5;Første vaccination;antal;cases;notprevpos;3,480000e+02
 1;2022;0-5;Første vaccination;antal;cases;prevpos;4,000000e+00
 1;2022;0-5;Første vaccination;antal;personer;alle;1,481703e+04
 1;2022;0-5;Første vaccination;antal;personer;notprevpos;1,420292e+04
 1;2022;0-5;Første vaccination;antal;personer;prevpos;6,141071e+02
 1;2022;0-5;Første vaccination;antal;tests;alle;2,825000e+03
 1;2022;0-5;Første vaccination;antal;tests;notprevpos;2,750000e+03
 1;2022;0-5;Første vaccination;antal;tests;prevpos;7,500000e+01
 1;2022;0-5;Første vaccination;incidence;cases;alle;2,375600e+03
 1;2022;0-5;Første vaccination;incidence;cases;notprevpos;2,450200e+03
 1;2022;0-5;Første vaccination;incidence;tac;notprevpos;5,568318e+03
 1;2022;0-5;Første vaccination;incidence;tests;alle;1,906590e+04
 1;2022;0-5;Første vaccination;incidence;tests;notprevpos;1,936221e+04
 1;2022;0-5;Første vaccination;incidence;tests;prevpos;1,221285e+04
 1;2022;0-5;Ingen vaccination;antal;cases;notprevpos;7,109000e+03
 1;2022;0-5;Ingen vaccination;antal;cases;prevpos;1,870000e+02
 1;2022;0-5;Ingen vaccination;antal;personer;alle;3,685088e+05
 1;2022;0-5;Ingen vaccination;antal;personer;notprevpos;3,509404e+05
 1;2022;0-5;Ingen vaccination;antal;personer;prevpos;1,756835e+04
 1;2022;0-5;Ingen vaccination;antal;tests;alle;3,714900e+04
 1;2022;0-5;Ingen vaccination;antal;tests;notprevpos;3,547100e+04
 1;2022;0-5;Ingen vaccination;antal;tests;prevpos;1,678000e+03
 1;2022;0-5;Ingen vaccination;incidence;cases;alle;1,979900e+03
 1;2022;0-5;Ingen vaccination;incidence;cases;notprevpos;2,025700e+03
 1;2022;0-5;Ingen vaccination;incidence;tac;notprevpos;6,371697e+03
 1;2022;0-5;Ingen vaccination;incidence;tests;alle;1,008090e+04
 1;2022;0-5;Ingen vaccination;incidence;tests;notprevpos;1,010741e+04
 1;2022;0-5;Ingen vaccination;incidence;tests;prevpos;9,551268e+03
 2;2022;0-5;Anden vaccination;antal;cases;notprevpos;3,760000e+02
 2;2022;0-5;Anden vaccination;antal;cases;prevpos;4,000000e+00
 2;2022;0-5;Anden vaccination;antal;personer;alle;5,315007e+03
 2;2022;0-5;Anden vaccination;antal;personer;notprevpos;5,105990e+03
 2;2022;0-5;Anden vaccination;antal;personer;prevpos;2,090173e+02
 2;2022;0-5;Anden vaccination;antal;tests;alle;1,768000e+03
 2;2022;0-5;Anden vaccination;antal;tests;notprevpos;1,710000e+03
 2;2022;0-5;Anden vaccination;antal;tests;prevpos;5,800000e+01
 2;2022;0-5;Anden vaccination;incidence;cases;alle;7,149600e+03
 2;2022;0-5;Anden vaccination;incidence;cases;notprevpos;7,363900e+03
 2;2022;0-5;Anden vaccination;incidence;tac;notprevpos;1,272477e+04
 2;2022;0-5;Anden vaccination;incidence;tests;alle;3,326430e+04
 2;2022;0-5;Anden vaccination;incidence;tests;notprevpos;3,349008e+04
 2;2022;0-5;Anden vaccination;incidence;tests;prevpos;2,774889e+04
 2;2022;0-5;Fuld effekt efter primært forløb;antal;cases;notprevpos;2,000000e+01
 2;2022;0-5;Fuld effekt efter primært forløb;antal;cases;prevpos;0,000000e+00
 2;2022;0-5;Fuld effekt efter primært forløb;antal;personer;alle;3,200000e+01
 2;2022;0-5;Fuld effekt efter primært forløb;antal;personer;notprevpos;3,200000e+01
 2;2022;0-5;Fuld effekt efter primært forløb;antal;personer;prevpos;0,000000e+00
 2;2022;0-5;Fuld effekt efter primært forløb;antal;tests;alle;1,400000e+01
 2;2022;0-5;Fuld effekt efter primært forløb;antal;tests;notprevpos;1,400000e+01
 2;2022;0-5;Fuld effekt efter primært forløb;antal;tests;prevpos;0,000000e+00
 2;2022;0-5;Fuld effekt efter primært forløb;incidence;cases;alle;6,250000e+04
 2;2022;0-5;Fuld effekt efter primært forløb;incidence;cases;notprevpos;6,250000e+04
 2;2022;0-5;Fuld effekt efter primært forløb;incidence;tac;notprevpos;9,449112e+04
 2;2022;0-5;Fuld effekt efter primært forløb;incidence;tests;alle;4,375000e+04
 2;2022;0-5;Fuld effekt efter primært forløb;incidence;tests;notprevpos;4,375000e+04
 2;2022;0-5;Fuld effekt efter primært forløb;incidence;tests;prevpos;NA
 2;2022;0-5;Fuld effekt efter revaccination;antal;cases;notprevpos;0,000000e+00
 2;2022;0-5;Fuld effekt efter revaccination;antal;cases;prevpos;0,000000e+00
 2;2022;0-5;Fuld effekt efter revaccination;antal;personer;alle;NA
 2;2022;0-5;Fuld effekt efter revaccination;antal;personer;notprevpos;NA
 2;2022;0-5;Fuld effekt efter revaccination;antal;personer;prevpos;NA
 2;2022;0-5;Fuld effekt efter revaccination;antal;tests;alle;0,000000e+00
 2;2022;0-5;Fuld effekt efter revaccination;antal;tests;notprevpos;0,000000e+00
 2;2022;0-5;Fuld effekt efter revaccination;antal;tests;prevpos;0,000000e+00
 2;2022;0-5;Fuld effekt efter revaccination;incidence;cases;alle;0,000000e+00
 2;2022;0-5;Fuld effekt efter revaccination;incidence;cases;notprevpos;0,000000e+00
 2;2022;0-5;Fuld effekt efter revaccination;incidence;tac;notprevpos;NA
 2;2022;0-5;Fuld effekt efter revaccination;incidence;tests;alle;0,000000e+00
 2;2022;0-5;Fuld effekt efter revaccination;incidence;tests;notprevpos;NA
 2;2022;0-5;Fuld effekt efter revaccination;incidence;tests;prevpos;NA
 2;2022;0-5;Første vaccination;antal;cases;notprevpos;6,820000e+02
 2;2022;0-5;Første vaccination;antal;cases;prevpos;5,000000e+00
 2;2022;0-5;Første vaccination;antal;personer;alle;1,181601e+04
 2;2022;0-5;Første vaccination;antal;personer;notprevpos;1,122597e+04
 2;2022;0-5;Første vaccination;antal;personer;prevpos;5,900429e+02
 2;2022;0-5;Første vaccination;antal;tests;alle;3,498000e+03
 2;2022;0-5;Første vaccination;antal;tests;notprevpos;3,403000e+03
 2;2022;0-5;Første vaccination;antal;tests;prevpos;9,500000e+01
 2;2022;0-5;Første vaccination;incidence;cases;alle;5,814200e+03
 2;2022;0-5;Første vaccination;incidence;cases;notprevpos;6,075200e+03
 2;2022;0-5;Første vaccination;incidence;tac;notprevpos;1,103422e+04
 2;2022;0-5;Første vaccination;incidence;tests;alle;2,960390e+04
 2;2022;0-5;Første vaccination;incidence;tests;notprevpos;3,031364e+04
 2;2022;0-5;Første vaccination;incidence;tests;prevpos;1,610053e+04
 2;2022;0-5;Ingen vaccination;antal;cases;notprevpos;1,507100e+04
 2;2022;0-5;Ingen vaccination;antal;cases;prevpos;4,890000e+02
 2;2022;0-5;Ingen vaccination;antal;personer;alle;3,668863e+05
 2;2022;0-5;Ingen vaccination;antal;personer;notprevpos;3,471941e+05
 2;2022;0-5;Ingen vaccination;antal;personer;prevpos;1,969225e+04
 2;2022;0-5;Ingen vaccination;antal;tests;alle;6,219200e+04
 2;2022;0-5;Ingen vaccination;antal;tests;notprevpos;5,923500e+04
 2;2022;0-5;Ingen vaccination;antal;tests;prevpos;2,957000e+03
 2;2022;0-5;Ingen vaccination;incidence;cases;alle;4,241100e+03
 2;2022;0-5;Ingen vaccination;incidence;cases;notprevpos;4,340800e+03
 2;2022;0-5;Ingen vaccination;incidence;tac;notprevpos;1,050913e+04
 2;2022;0-5;Ingen vaccination;incidence;tests;alle;1,695130e+04
 2;2022;0-5;Ingen vaccination;incidence;tests;notprevpos;1,706106e+04
 2;2022;0-5;Ingen vaccination;incidence;tests;prevpos;1,501606e+04
 3;2022;0-5;Anden vaccination;antal;cases;notprevpos;6,830000e+02
 3;2022;0-5;Anden vaccination;antal;cases;prevpos;5,000000e+00
 3;2022;0-5;Anden vaccination;antal;personer;alle;8,496002e+03
 3;2022;0-5;Anden vaccination;antal;personer;notprevpos;8,142973e+03
 3;2022;0-5;Anden vaccination;antal;personer;prevpos;3,530293e+02
 3;2022;0-5;Anden vaccination;antal;tests;alle;3,310000e+03
 3;2022;0-5;Anden vaccination;antal;tests;notprevpos;3,197000e+03
 3;2022;0-5;Anden vaccination;antal;tests;prevpos;1,130000e+02
 3;2022;0-5;Anden vaccination;incidence;cases;alle;8,097900e+03
 3;2022;0-5;Anden vaccination;incidence;cases;notprevpos;8,387600e+03
 3;2022;0-5;Anden vaccination;incidence;tac;notprevpos;1,338622e+04
 3;2022;0-5;Anden vaccination;incidence;tests;alle;3,895950e+04
 3;2022;0-5;Anden vaccination;incidence;tests;notprevpos;3,926085e+04
 3;2022;0-5;Anden vaccination;incidence;tests;prevpos;3,200867e+04
 3;2022;0-5;Fuld effekt efter primært forløb;antal;cases;notprevpos;2,530000e+02
 3;2022;0-5;Fuld effekt efter primært forløb;antal;cases;prevpos;1,000000e+00
 3;2022;0-5;Fuld effekt efter primært forløb;antal;personer;alle;1,244001e+03
 3;2022;0-5;Fuld effekt efter primært forløb;antal;personer;notprevpos;1,215003e+03
 3;2022;0-5;Fuld effekt efter primært forløb;antal;personer;prevpos;2,899866e+01
 3;2022;0-5;Fuld effekt efter primært forløb;antal;tests;alle;5,340000e+02
 3;2022;0-5;Fuld effekt efter primært forløb;antal;tests;notprevpos;5,260000e+02
 3;2022;0-5;Fuld effekt efter primært forløb;antal;tests;prevpos;8,000000e+00
 3;2022;0-5;Fuld effekt efter primært forløb;incidence;cases;alle;2,041800e+04
 3;2022;0-5;Fuld effekt efter primært forløb;incidence;cases;notprevpos;2,082300e+04
 3;2022;0-5;Fuld effekt efter primært forløb;incidence;tac;notprevpos;3,164747e+04
 3;2022;0-5;Fuld effekt efter primært forløb;incidence;tests;alle;4,292600e+04
 3;2022;0-5;Fuld effekt efter primært forløb;incidence;tests;notprevpos;4,329209e+04
 3;2022;0-5;Fuld effekt efter primært forløb;incidence;tests;prevpos;2,758748e+04
 3;2022;0-5;Fuld effekt efter revaccination;antal;cases;notprevpos;0,000000e+00
 3;2022;0-5;Fuld effekt efter revaccination;antal;cases;prevpos;0,000000e+00
 3;2022;0-5;Fuld effekt efter revaccination;antal;personer;alle;NA
 3;2022;0-5;Fuld effekt efter revaccination;antal;personer;notprevpos;NA
 3;2022;0-5;Fuld effekt efter revaccination;antal;personer;prevpos;NA
 3;2022;0-5;Fuld effekt efter revaccination;antal;tests;alle;0,000000e+00
 3;2022;0-5;Fuld effekt efter revaccination;antal;tests;notprevpos;0,000000e+00
 3;2022;0-5;Fuld effekt efter revaccination;antal;tests;prevpos;0,000000e+00
 3;2022;0-5;Fuld effekt efter revaccination;incidence;cases;alle;0,000000e+00
 3;2022;0-5;Fuld effekt efter revaccination;incidence;cases;notprevpos;0,000000e+00
 3;2022;0-5;Fuld effekt efter revaccination;incidence;tac;notprevpos;NA
 3;2022;0-5;Fuld effekt efter revaccination;incidence;tests;alle;0,000000e+00
 3;2022;0-5;Fuld effekt efter revaccination;incidence;tests;notprevpos;NA
 3;2022;0-5;Fuld effekt efter revaccination;incidence;tests;prevpos;NA
 3;2022;0-5;Første vaccination;antal;cases;notprevpos;7,700000e+02
 3;2022;0-5;Første vaccination;antal;cases;prevpos;5,000000e+00
 3;2022;0-5;Første vaccination;antal;personer;alle;9,301989e+03
 3;2022;0-5;Første vaccination;antal;personer;notprevpos;8,662002e+03
 3;2022;0-5;Første vaccination;antal;personer;prevpos;6,399871e+02
 3;2022;0-5;Første vaccination;antal;tests;alle;2,957000e+03
 3;2022;0-5;Første vaccination;antal;tests;notprevpos;2,845000e+03
 3;2022;0-5;Første vaccination;antal;tests;prevpos;1,120000e+02
 3;2022;0-5;Første vaccination;incidence;cases;alle;8,331500e+03
 3;2022;0-5;Første vaccination;incidence;cases;notprevpos;8,889400e+03
 3;2022;0-5;Første vaccination;incidence;tac;notprevpos;1,551102e+04
 3;2022;0-5;Første vaccination;incidence;tests;alle;3,178890e+04
 3;2022;0-5;Første vaccination;incidence;tests;notprevpos;3,284460e+04
 3;2022;0-5;Første vaccination;incidence;tests;prevpos;1,750035e+04
 3;2022;0-5;Ingen vaccination;antal;cases;notprevpos;2,043700e+04
 3;2022;0-5;Ingen vaccination;antal;cases;prevpos;7,020000e+02
 3;2022;0-5;Ingen vaccination;antal;personer;alle;3,659548e+05
 3;2022;0-5;Ingen vaccination;antal;personer;notprevpos;3,434386e+05
 3;2022;0-5;Ingen vaccination;antal;personer;prevpos;2,251617e+04
 3;2022;0-5;Ingen vaccination;antal;tests;alle;7,133300e+04
 3;2022;0-5;Ingen vaccination;antal;tests;notprevpos;6,770700e+04
 3;2022;0-5;Ingen vaccination;antal;tests;prevpos;3,626000e+03
 3;2022;0-5;Ingen vaccination;incidence;cases;alle;5,776400e+03
 3;2022;0-5;Ingen vaccination;incidence;cases;notprevpos;5,950700e+03
 3;2022;0-5;Ingen vaccination;incidence;tac;notprevpos;1,340219e+04
 3;2022;0-5;Ingen vaccination;incidence;tests;alle;1,949230e+04
 3;2022;0-5;Ingen vaccination;incidence;tests;notprevpos;1,971444e+04
 3;2022;0-5;Ingen vaccination;incidence;tests;prevpos;1,610398e+04
 4;2022;0-5;Anden vaccination;antal;cases;notprevpos;8,090000e+02
 4;2022;0-5;Anden vaccination;antal;cases;prevpos;4,000000e+00
 4;2022;0-5;Anden vaccination;antal;personer;alle;1,022500e+04
 4;2022;0-5;Anden vaccination;antal;personer;notprevpos;9,733033e+03
 4;2022;0-5;Anden vaccination;antal;personer;prevpos;4,919658e+02
 4;2022;0-5;Anden vaccination;antal;tests;alle;3,327000e+03
 4;2022;0-5;Anden vaccination;antal;tests;notprevpos;3,218000e+03
 4;2022;0-5;Anden vaccination;antal;tests;prevpos;1,090000e+02
 4;2022;0-5;Anden vaccination;incidence;cases;alle;7,951100e+03
 4;2022;0-5;Anden vaccination;incidence;cases;notprevpos;8,311900e+03
 4;2022;0-5;Anden vaccination;incidence;tac;notprevpos;1,445544e+04
 4;2022;0-5;Anden vaccination;incidence;tests;alle;3,253790e+04
 4;2022;0-5;Anden vaccination;incidence;tests;notprevpos;3,306266e+04
 4;2022;0-5;Anden vaccination;incidence;tests;prevpos;2,215601e+04
 4;2022;0-5;Fuld effekt efter primært forløb;antal;cases;notprevpos;5,230000e+02
 4;2022;0-5;Fuld effekt efter primært forløb;antal;cases;prevpos;2,000000e+00
 4;2022;0-5;Fuld effekt efter primært forløb;antal;personer;alle;5,662992e+03
 4;2022;0-5;Fuld effekt efter primært forløb;antal;personer;notprevpos;5,427000e+03
 4;2022;0-5;Fuld effekt efter primært forløb;antal;personer;prevpos;2,359922e+02
 4;2022;0-5;Fuld effekt efter primært forløb;antal;tests;alle;1,851000e+03
 4;2022;0-5;Fuld effekt efter primært forløb;antal;tests;notprevpos;1,793000e+03
 4;2022;0-5;Fuld effekt efter primært forløb;antal;tests;prevpos;5,800000e+01
 4;2022;0-5;Fuld effekt efter primært forløb;incidence;cases;alle;9,270700e+03
 4;2022;0-5;Fuld effekt efter primært forløb;incidence;cases;notprevpos;9,637000e+03
 4;2022;0-5;Fuld effekt efter primært forløb;incidence;tac;notprevpos;1,676608e+04
 4;2022;0-5;Fuld effekt efter primært forløb;incidence;tests;alle;3,268590e+04
 4;2022;0-5;Fuld effekt efter primært forløb;incidence;tests;notprevpos;3,303851e+04
 4;2022;0-5;Fuld effekt efter primært forløb;incidence;tests;prevpos;2,457708e+04
 4;2022;0-5;Fuld effekt efter revaccination;antal;cases;notprevpos;0,000000e+00
 4;2022;0-5;Fuld effekt efter revaccination;antal;cases;prevpos;0,000000e+00
 4;2022;0-5;Fuld effekt efter revaccination;antal;personer;alle;NA
 4;2022;0-5;Fuld effekt efter revaccination;antal;personer;notprevpos;NA
 4;2022;0-5;Fuld effekt efter revaccination;antal;personer;prevpos;NA
 4;2022;0-5;Fuld effekt efter revaccination;antal;tests;alle;0,000000e+00
 4;2022;0-5;Fuld effekt efter revaccination;antal;tests;notprevpos;0,000000e+00
 4;2022;0-5;Fuld effekt efter revaccination;antal;tests;prevpos;0,000000e+00
 4;2022;0-5;Fuld effekt efter revaccination;incidence;cases;alle;0,000000e+00
 4;2022;0-5;Fuld effekt efter revaccination;incidence;cases;notprevpos;0,000000e+00
 4;2022;0-5;Fuld effekt efter revaccination;incidence;tac;notprevpos;NA
 4;2022;0-5;Fuld effekt efter revaccination;incidence;tests;alle;0,000000e+00
 4;2022;0-5;Fuld effekt efter revaccination;incidence;tests;notprevpos;NA
 4;2022;0-5;Fuld effekt efter revaccination;incidence;tests;prevpos;NA
 4;2022;0-5;Første vaccination;antal;cases;notprevpos;6,020000e+02
 4;2022;0-5;Første vaccination;antal;cases;prevpos;6,000000e+00
 4;2022;0-5;Første vaccination;antal;personer;alle;7,624008e+03
 4;2022;0-5;Første vaccination;antal;personer;notprevpos;6,941001e+03
 4;2022;0-5;Første vaccination;antal;personer;prevpos;6,830064e+02
 4;2022;0-5;Første vaccination;antal;tests;alle;1,780000e+03
 4;2022;0-5;Første vaccination;antal;tests;notprevpos;1,719000e+03
 4;2022;0-5;Første vaccination;antal;tests;prevpos;6,100000e+01
 4;2022;0-5;Første vaccination;incidence;cases;alle;7,974800e+03
 4;2022;0-5;Første vaccination;incidence;cases;notprevpos;8,673100e+03
 4;2022;0-5;Første vaccination;incidence;tac;notprevpos;1,742800e+04
 4;2022;0-5;Første vaccination;incidence;tests;alle;2,334730e+04
 4;2022;0-5;Første vaccination;incidence;tests;notprevpos;2,476588e+04
 4;2022;0-5;Første vaccination;incidence;tests;prevpos;8,931102e+03
 4;2022;0-5;Ingen vaccination;antal;cases;notprevpos;1,848400e+04
 4;2022;0-5;Ingen vaccination;antal;cases;prevpos;5,570000e+02
 4;2022;0-5;Ingen vaccination;antal;personer;alle;3,652766e+05
 4;2022;0-5;Ingen vaccination;antal;personer;notprevpos;3,398231e+05
 4;2022;0-5;Ingen vaccination;antal;personer;prevpos;2,545345e+04
 4;2022;0-5;Ingen vaccination;antal;tests;alle;5,644400e+04
 4;2022;0-5;Ingen vaccination;antal;tests;notprevpos;5,356100e+04
 4;2022;0-5;Ingen vaccination;antal;tests;prevpos;2,883000e+03
 4;2022;0-5;Ingen vaccination;incidence;cases;alle;5,212800e+03
 4;2022;0-5;Ingen vaccination;incidence;cases;notprevpos;5,439300e+03
 4;2022;0-5;Ingen vaccination;incidence;tac;notprevpos;1,370078e+04
 4;2022;0-5;Ingen vaccination;incidence;tests;alle;1,545240e+04
 4;2022;0-5;Ingen vaccination;incidence;tests;notprevpos;1,576143e+04
 4;2022;0-5;Ingen vaccination;incidence;tests;prevpos;1,132656e+04
 5;2022;0-5;Anden vaccination;antal;cases;notprevpos;9,050000e+02
 5;2022;0-5;Anden vaccination;antal;cases;prevpos;9,000000e+00
 5;2022;0-5;Anden vaccination;antal;personer;alle;1,123801e+04
 5;2022;0-5;Anden vaccination;antal;personer;notprevpos;1,060402e+04
 5;2022;0-5;Anden vaccination;antal;personer;prevpos;6,339903e+02
 5;2022;0-5;Anden vaccination;antal;tests;alle;3,012000e+03
 5;2022;0-5;Anden vaccination;antal;tests;notprevpos;2,898000e+03
 5;2022;0-5;Anden vaccination;antal;tests;prevpos;1,140000e+02
 5;2022;0-5;Anden vaccination;incidence;cases;alle;8,133100e+03
 5;2022;0-5;Anden vaccination;incidence;cases;notprevpos;8,534500e+03
 5;2022;0-5;Anden vaccination;incidence;tac;notprevpos;1,632541e+04
 5;2022;0-5;Anden vaccination;incidence;tests;alle;2,680190e+04
 5;2022;0-5;Anden vaccination;incidence;tests;notprevpos;2,732926e+04
 5;2022;0-5;Anden vaccination;incidence;tests;prevpos;1,798135e+04
 5;2022;0-5;Fuld effekt efter primært forløb;antal;cases;notprevpos;7,100000e+02
 5;2022;0-5;Fuld effekt efter primært forløb;antal;cases;prevpos;6,000000e+00
 5;2022;0-5;Fuld effekt efter primært forløb;antal;personer;alle;8,503000e+03
 5;2022;0-5;Fuld effekt efter primært forløb;antal;personer;notprevpos;8,136976e+03
 5;2022;0-5;Fuld effekt efter primært forløb;antal;personer;prevpos;3,660236e+02
 5;2022;0-5;Fuld effekt efter primært forløb;antal;tests;alle;2,269000e+03
 5;2022;0-5;Fuld effekt efter primært forløb;antal;tests;notprevpos;2,187000e+03
 5;2022;0-5;Fuld effekt efter primært forløb;antal;tests;prevpos;8,200000e+01
 5;2022;0-5;Fuld effekt efter primært forløb;incidence;cases;alle;8,420600e+03
 5;2022;0-5;Fuld effekt efter primært forløb;incidence;cases;notprevpos;8,725600e+03
 5;2022;0-5;Fuld effekt efter primært forløb;incidence;tac;notprevpos;1,683071e+04
 5;2022;0-5;Fuld effekt efter primært forløb;incidence;tests;alle;2,668470e+04
 5;2022;0-5;Fuld effekt efter primært forløb;incidence;tests;notprevpos;2,687731e+04
 5;2022;0-5;Fuld effekt efter primært forløb;incidence;tests;prevpos;2,240293e+04
 5;2022;0-5;Fuld effekt efter revaccination;antal;cases;notprevpos;0,000000e+00
 5;2022;0-5;Fuld effekt efter revaccination;antal;cases;prevpos;0,000000e+00
 5;2022;0-5;Fuld effekt efter revaccination;antal;personer;alle;NA
 5;2022;0-5;Fuld effekt efter revaccination;antal;personer;notprevpos;NA
 5;2022;0-5;Fuld effekt efter revaccination;antal;personer;prevpos;NA
 5;2022;0-5;Fuld effekt efter revaccination;antal;tests;alle;0,000000e+00
 5;2022;0-5;Fuld effekt efter revaccination;antal;tests;notprevpos;0,000000e+00
 5;2022;0-5;Fuld effekt efter revaccination;antal;tests;prevpos;0,000000e+00
 5;2022;0-5;Fuld effekt efter revaccination;incidence;cases;alle;0,000000e+00
 5;2022;0-5;Fuld effekt efter revaccination;incidence;cases;notprevpos;0,000000e+00
 5;2022;0-5;Fuld effekt efter revaccination;incidence;tac;notprevpos;NA
 5;2022;0-5;Fuld effekt efter revaccination;incidence;tests;alle;0,000000e+00
 5;2022;0-5;Fuld effekt efter revaccination;incidence;tests;notprevpos;NA
 5;2022;0-5;Fuld effekt efter revaccination;incidence;tests;prevpos;NA
 5;2022;0-5;Første vaccination;antal;cases;notprevpos;4,030000e+02
 5;2022;0-5;Første vaccination;antal;cases;prevpos;5,000000e+00
 5;2022;0-5;Første vaccination;antal;personer;alle;6,516000e+03
 5;2022;0-5;Første vaccination;antal;personer;notprevpos;5,727035e+03
 5;2022;0-5;Første vaccination;antal;personer;prevpos;7,889648e+02
 5;2022;0-5;Første vaccination;antal;tests;alle;1,044000e+03
 5;2022;0-5;Første vaccination;antal;tests;notprevpos;9,960000e+02
 5;2022;0-5;Første vaccination;antal;tests;prevpos;4,800000e+01
 5;2022;0-5;Første vaccination;incidence;cases;alle;6,261500e+03
 5;2022;0-5;Første vaccination;incidence;cases;notprevpos;7,036800e+03
 5;2022;0-5;Første vaccination;incidence;tac;notprevpos;1,687371e+04
 5;2022;0-5;Første vaccination;incidence;tests;alle;1,602210e+04
 5;2022;0-5;Første vaccination;incidence;tests;notprevpos;1,739120e+04
 5;2022;0-5;Første vaccination;incidence;tests;prevpos;6,083922e+03
 5;2022;0-5;Ingen vaccination;antal;cases;notprevpos;1,818900e+04
 5;2022;0-5;Ingen vaccination;antal;cases;prevpos;5,190000e+02
 5;2022;0-5;Ingen vaccination;antal;personer;alle;3,648071e+05
 5;2022;0-5;Ingen vaccination;antal;personer;notprevpos;3,350649e+05
 5;2022;0-5;Ingen vaccination;antal;personer;prevpos;2,974214e+04
 5;2022;0-5;Ingen vaccination;antal;tests;alle;4,512700e+04
 5;2022;0-5;Ingen vaccination;antal;tests;notprevpos;4,297400e+04
 5;2022;0-5;Ingen vaccination;antal;tests;prevpos;2,153000e+03
 5;2022;0-5;Ingen vaccination;incidence;cases;alle;5,128200e+03
 5;2022;0-5;Ingen vaccination;incidence;cases;notprevpos;5,428500e+03
 5;2022;0-5;Ingen vaccination;incidence;tac;notprevpos;1,515798e+04
 5;2022;0-5;Ingen vaccination;incidence;tests;alle;1,237010e+04
 5;2022;0-5;Ingen vaccination;incidence;tests;notprevpos;1,282557e+04
 5;2022;0-5;Ingen vaccination;incidence;tests;prevpos;7,238887e+03
42;2021;0-5;Anden vaccination;antal;cases;notprevpos;0,000000e+00
42;2021;0-5;Anden vaccination;antal;cases;prevpos;0,000000e+00
42;2021;0-5;Anden vaccination;antal;personer;alle;NA
42;2021;0-5;Anden vaccination;antal;personer;notprevpos;NA
