Date;name;daily;ra
2020-02-28;Percent;1,61290322580645e+00;1,84957158359052e+00
2020-02-28;Index;5,56321465451767e-02;6,26139011493148e-02
2020-02-28;Admitted;NA;NA
2020-02-28;Deaths;NA;NA
2020-02-29;Positive;0,00000000000000e+00;1,85714285714286e+00
2020-02-29;Tested;7,30000000000000e+01;6,62857142857143e+01
2020-02-29;Percent;0,00000000000000e+00;3,00164531630942e+00
2020-02-29;Index;0,00000000000000e+00;1,02351148681584e-01
2020-02-29;Admitted;NA;NA
2020-02-29;Deaths;NA;NA
2020-03-01;Positive;1,00000000000000e+00;2,14285714285714e+00
2020-03-01;Tested;4,80000000000000e+01;7,44285714285714e+01
2020-03-01;Percent;2,08333333333333e+00;3,01806567755737e+00
2020-03-01;Index;6,65474063644824e-02;1,07949456309024e-01
2020-03-01;Admitted;1,00000000000000e+00;NA
2020-03-01;Deaths;NA;NA
2020-03-02;Positive;4,00000000000000e+00;3,42857142857143e+00
2020-03-02;Tested;8,00000000000000e+01;7,41428571428571e+01
2020-03-02;Percent;5,00000000000000e+00;4,22211756325205e+00
2020-03-02;Index;1,86164556663607e-01;1,56836850450069e-01
2020-03-02;Admitted;0,00000000000000e+00;NA
2020-03-02;Deaths;NA;NA
2020-03-03;Positive;5,00000000000000e+00;3,57142857142857e+00
2020-03-03;Tested;6,20000000000000e+01;8,32857142857143e+01
2020-03-03;Percent;8,06451612903226e+00;4,21846018632279e+00
2020-03-03;Index;2,78160732725883e-01;1,58564882158202e-01
2020-03-03;Admitted;1,00000000000000e+00;NA
2020-03-03;Deaths;NA;NA
2020-03-04;Positive;3,00000000000000e+00;4,85714285714286e+00
2020-03-04;Tested;8,70000000000000e+01;8,78571428571429e+01
2020-03-04;Percent;3,44827586206897e+00;5,44294998224115e+00
2020-03-04;Index;1,31661190547820e-01;2,08031470671931e-01
2020-03-04;Admitted;0,00000000000000e+00;1,00000000000000e+00
2020-03-04;Deaths;NA;NA
2020-03-05;Positive;1,00000000000000e+01;1,15714285714286e+01
2020-03-05;Tested;1,07000000000000e+02;1,13571428571429e+02
2020-03-05;Percent;9,34579439252336e+00;8,15284973161459e+00
2020-03-05;Index;3,79691920303516e-01;3,51841165890360e-01
2020-03-05;Admitted;1,00000000000000e+00;1,28571428571429e+00
2020-03-05;Deaths;NA;NA
2020-03-06;Positive;2,00000000000000e+00;4,10000000000000e+01
2020-03-06;Tested;1,26000000000000e+02;1,84142857142857e+02
2020-03-06;Percent;1,58730158730159e+00;1,26650448535658e+01
2020-03-06;Index;6,77283685021070e-02;6,76711914646601e-01
2020-03-06;Admitted;4,00000000000000e+00;2,57142857142857e+00
2020-03-06;Deaths;NA;NA
2020-03-07;Positive;9,00000000000000e+00;7,68571428571429e+01
2020-03-07;Tested;1,05000000000000e+02;2,90000000000000e+02
2020-03-07;Percent;8,57142857142857e+00;1,60673208806761e+01
2020-03-07;Index;3,46266119596101e-01;9,75694825383693e-01
2020-03-07;Admitted;0,00000000000000e+00;4,57142857142857e+00
2020-03-07;Deaths;NA;NA
2020-03-08;Positive;4,80000000000000e+01;1,06000000000000e+02
2020-03-08;Tested;2,28000000000000e+02;4,02857142857143e+02
2020-03-08;Percent;2,10526315789474e+01;1,89465947150083e+01
2020-03-08;Index;1,07321527289348e+00;1,21438333081176e+00
2020-03-08;Admitted;3,00000000000000e+00;6,00000000000000e+00
2020-03-08;Deaths;NA;NA
2020-03-09;Positive;2,10000000000000e+02;1,10857142857143e+02
2020-03-09;Tested;5,74000000000000e+02;4,82714285714286e+02
2020-03-09;Percent;3,65853658536585e+01;1,85552821741631e+01
2020-03-09;Index;2,46025979795730e+00;1,22650411839202e+00
2020-03-09;Admitted;9,00000000000000e+00;8,42857142857143e+00
2020-03-09;Deaths;NA;NA
2020-03-10;Positive;2,56000000000000e+02;1,15285714285714e+02
2020-03-10;Tested;8,03000000000000e+02;5,65571428571429e+02
2020-03-10;Percent;3,18804483188045e+01;1,89962706564304e+01
2020-03-10;Index;2,37104110788553e+00;1,26460934830443e+00
2020-03-10;Admitted;1,50000000000000e+01;1,15714285714286e+01
2020-03-10;Deaths;NA;NA
2020-03-11;Positive;2,07000000000000e+02;1,19285714285714e+02
2020-03-11;Tested;8,77000000000000e+02;6,33285714285714e+02
2020-03-11;Percent;2,36031927023945e+01;1,86846848822244e+01
2020-03-11;Index;1,80248072854426e+00;1,27669284938538e+00
2020-03-11;Admitted;1,00000000000000e+01;1,50000000000000e+01
2020-03-11;Deaths;1,00000000000000e+00;NA
2020-03-12;Positive;4,40000000000000e+01;1,18857142857143e+02
2020-03-12;Tested;6,66000000000000e+02;7,03857142857143e+02
2020-03-12;Percent;6,60660660660661e+00;1,65675499396046e+01
2020-03-12;Index;4,64537433365363e-01;1,18751778190565e+00
2020-03-12;Admitted;1,80000000000000e+01;1,92857142857143e+01
2020-03-12;Deaths;0,00000000000000e+00;NA
2020-03-13;Positive;3,30000000000000e+01;9,94285714285714e+01
2020-03-13;Tested;7,06000000000000e+02;7,66142857142857e+02
2020-03-13;Percent;4,67422096317280e+00;1,23877451995488e+01
2020-03-13;Index;3,34464977888963e-01;9,19441087315797e-01
2020-03-13;Admitted;2,60000000000000e+01;2,44285714285714e+01
2020-03-13;Deaths;0,00000000000000e+00;NA
2020-03-14;Positive;3,70000000000000e+01;7,37142857142857e+01
2020-03-14;Tested;5,79000000000000e+02;7,85000000000000e+02
2020-03-14;Percent;6,39032815198618e+00;8,99458718914660e+00
2020-03-14;Index;4,30850627162730e-01;6,71116556713267e-01
2020-03-14;Admitted;2,40000000000000e+01;2,90000000000000e+01
2020-03-14;Deaths;1,00000000000000e+00;8,57142857142857e-01
2020-03-15;Positive;4,50000000000000e+01;5,60000000000000e+01
2020-03-15;Tested;7,22000000000000e+02;8,33428571428571e+02
2020-03-15;Percent;6,23268698060942e+00;6,59779650233836e+00
2020-03-15;Index;4,48989800535413e-01;4,95753986081852e-01
2020-03-15;Admitted;3,30000000000000e+01;3,42857142857143e+01
2020-03-15;Deaths;2,00000000000000e+00;1,28571428571429e+00
2020-03-16;Positive;7,40000000000000e+01;6,50000000000000e+01
2020-03-16;Tested;1,01000000000000e+03;1,00014285714286e+03
2020-03-16;Percent;7,32673267326733e+00;6,48791341373186e+00
2020-03-16;Index;5,83722935828319e-01;5,08837491256602e-01
2020-03-16;Admitted;4,50000000000000e+01;3,88571428571429e+01
2020-03-16;Deaths;1,00000000000000e+00;2,00000000000000e+00
2020-03-17;Positive;7,60000000000000e+01;7,50000000000000e+01
2020-03-17;Tested;9,35000000000000e+02;1,06657142857143e+03
2020-03-17;Percent;8,12834224598931e+00;7,07672483890261e+00
2020-03-17;Index;6,32769393667815e-01;5,65709220046224e-01
2020-03-17;Admitted;4,70000000000000e+01;4,42857142857143e+01
2020-03-17;Deaths;1,00000000000000e+00;2,57142857142857e+00
2020-03-18;Positive;8,30000000000000e+01;7,65714285714286e+01
2020-03-18;Tested;1,21600000000000e+03;1,06914285714286e+03
2020-03-18;Percent;6,82565789473684e+00;7,31242096076532e+00
2020-03-18;Index;5,74942734124361e-01;5,82314921940031e-01
2020-03-18;Admitted;4,70000000000000e+01;4,57142857142857e+01
2020-03-18;Deaths;4,00000000000000e+00;2,85714285714286e+00
2020-03-19;Positive;1,07000000000000e+02;7,90000000000000e+01
2020-03-19;Tested;1,83300000000000e+03;1,04071428571429e+03
2020-03-19;Percent;5,83742498636116e+00;8,11556346531087e+00
2020-03-19;Index;5,56121969588615e-01;6,28923198607050e-01
2020-03-19;Admitted;5,00000000000000e+01;4,70000000000000e+01
2020-03-19;Deaths;5,00000000000000e+00;3,00000000000000e+00
2020-03-20;Positive;1,03000000000000e+02;8,72857142857143e+01
2020-03-20;Tested;1,17100000000000e+03;1,05614285714286e+03
2020-03-20;Percent;8,79590093936806e+00;8,75557277674547e+00
2020-03-20;Index;7,32567079416318e-01;6,84071478884474e-01
2020-03-20;Admitted;6,40000000000000e+01;5,27142857142857e+01
2020-03-20;Deaths;4,00000000000000e+00;3,71428571428571e+00
2020-03-21;Positive;4,80000000000000e+01;9,62857142857143e+01
2020-03-21;Tested;5,97000000000000e+02;1,08228571428571e+03
2020-03-21;Percent;8,04020100502512e+00;9,37051187321671e+00
2020-03-21;Index;5,47090540419374e-01;7,39559795795641e-01
2020-03-21;Admitted;3,40000000000000e+01;5,75714285714286e+01
2020-03-21;Deaths;3,00000000000000e+00;4,42857142857143e+00
2020-03-22;Positive;6,20000000000000e+01;1,06000000000000e+02
2020-03-22;Tested;5,23000000000000e+02;1,10285714285714e+03
2020-03-22;Percent;1,18546845124283e+01;9,98155234203582e+00
2020-03-22;Index;7,75247737204552e-01;7,95591274352230e-01
2020-03-22;Admitted;4,20000000000000e+01;6,37142857142857e+01
2020-03-22;Deaths;3,00000000000000e+00;4,71428571428571e+00
2020-03-23;Positive;1,32000000000000e+02;1,15142857142857e+02
2020-03-23;Tested;1,11800000000000e+03;1,06900000000000e+03
2020-03-23;Percent;1,18067978533095e+01;1,06782467317393e+01
2020-03-23;Index;9,69760897770284e-01;8,56031535616940e-01
2020-03-23;Admitted;8,50000000000000e+01;6,78571428571428e+01
2020-03-23;Deaths;6,00000000000000e+00;5,71428571428571e+00
2020-03-24;Positive;1,39000000000000e+02;1,31428571428571e+02
2020-03-24;Tested;1,11800000000000e+03;1,20114285714286e+03
2020-03-24;Percent;1,24329159212880e+01;1,09006970882745e+01
2020-03-24;Index;1,02118761204598e+00;8,98064802903605e-01
2020-03-24;Admitted;8,10000000000000e+01;7,11428571428571e+01
2020-03-24;Deaths;6,00000000000000e+00;6,85714285714286e+00
2020-03-25;Positive;1,51000000000000e+02;1,53142857142857e+02
2020-03-25;Tested;1,36000000000000e+03;1,31157142857143e+03
2020-03-25;Percent;1,11029411764706e+01;1,18376026798403e+01
2020-03-25;Index;9,67163084020489e-01;1,00197446969620e+00
2020-03-25;Admitted;9,00000000000000e+01;7,81428571428571e+01
2020-03-25;Deaths;6,00000000000000e+00;7,71428571428571e+00
2020-03-26;Positive;1,71000000000000e+02;1,62571428571429e+02
2020-03-26;Tested;1,59600000000000e+03;1,41942857142857e+03
2020-03-26;Percent;1,07142857142857e+01;1,15748833855318e+01
2020-03-26;Index;9,79203798441581e-01;1,01355686503632e+00
2020-03-26;Admitted;7,90000000000000e+01;7,95714285714286e+01
2020-03-26;Deaths;1,20000000000000e+01;8,42857142857143e+00
2020-03-27;Positive;2,17000000000000e+02;1,88428571428571e+02
2020-03-27;Tested;2,09600000000000e+03;1,71557142857143e+03
2020-03-27;Percent;1,03530534351145e+01;1,12894604572106e+01
2020-03-27;Index;1,02679995042297e+00;1,03267088604376e+00
2020-03-27;Admitted;8,70000000000000e+01;7,72857142857143e+01
2020-03-27;Deaths;1,20000000000000e+01;9,14285714285714e+00
2020-03-28;Positive;2,00000000000000e+02;2,05000000000000e+02
2020-03-28;Tested;1,37000000000000e+03;2,01185714285714e+03
2020-03-28;Percent;1,45985401459854e+01;1,06545755833854e+01
2020-03-28;Index;1,27445820796751e+00;1,01519672756612e+00
2020-03-28;Admitted;8,30000000000000e+01;7,30000000000000e+01
2020-03-28;Deaths;9,00000000000000e+00;1,04285714285714e+01
2020-03-29;Positive;1,28000000000000e+02;2,23714285714286e+02
2020-03-29;Tested;1,27800000000000e+03;2,32057142857143e+03
2020-03-29;Percent;1,00156494522692e+01;1,02125966049153e+01
2020-03-29;Index;8,56324504585386e-01;1,00961265961695e+00
2020-03-29;Admitted;5,20000000000000e+01;6,88571428571429e+01
2020-03-29;Deaths;8,00000000000000e+00;1,27142857142857e+01
2020-03-30;Positive;3,13000000000000e+02;2,53857142857143e+02
2020-03-30;Tested;3,19100000000000e+03;2,90985714285714e+03
2020-03-30;Percent;9,80883735506111e+00;9,63586355196678e+00
2020-03-30;Index;1,10355904482240e+00;9,97586479055610e-01
2020-03-30;Admitted;6,90000000000000e+01;6,78571428571428e+01
2020-03-30;Deaths;1,10000000000000e+01;1,35714285714286e+01
2020-03-31;Positive;2,55000000000000e+02;2,90428571428571e+02
2020-03-31;Tested;3,19200000000000e+03;3,54828571428571e+03
2020-03-31;Percent;7,98872180451128e+00;9,18612368032002e+00
2020-03-31;Index;8,98868502702502e-01;9,94680874532450e-01
2020-03-31;Admitted;5,10000000000000e+01;6,57142857142857e+01
2020-03-31;Deaths;1,50000000000000e+01;1,47142857142857e+01
2020-04-01;Positive;2,82000000000000e+02;3,06428571428571e+02
2020-04-01;Tested;3,52100000000000e+03;3,87614285714286e+03
2020-04-01;Percent;8,00908832717978e+00;8,31675515040240e+00
2020-04-01;Index;9,28074608376259e-01;9,55243408488165e-01
2020-04-01;Admitted;6,10000000000000e+01;6,01428571428571e+01
2020-04-01;Deaths;2,20000000000000e+01;1,55714285714286e+01
2020-04-02;Positive;3,82000000000000e+02;3,10714285714286e+02
2020-04-02;Tested;5,72100000000000e+03;4,00342857142857e+03
2020-04-02;Percent;6,67715434364622e+00;7,92658564095290e+00
2020-04-02;Index;8,95020534512233e-01;9,37185655000085e-01
2020-04-02;Admitted;7,20000000000000e+01;5,78571428571428e+01
2020-04-02;Deaths;1,80000000000000e+01;1,61428571428571e+01
2020-04-03;Positive;4,73000000000000e+02;3,26571428571429e+02
2020-04-03;Tested;6,56500000000000e+03;4,47342857142857e+03
2020-04-03;Percent;7,20487433358721e+00;7,45992320133487e+00
2020-04-03;Index;1,00646071876085e+00;9,09586771998544e-01
2020-04-03;Admitted;7,20000000000000e+01;5,52857142857143e+01
2020-04-03;Deaths;2,00000000000000e+01;1,70000000000000e+01
2020-04-04;Positive;3,12000000000000e+02;3,39714285714286e+02
2020-04-04;Tested;3,66500000000000e+03;4,91685714285714e+03
2020-04-04;Percent;8,51296043656207e+00;7,10602520530104e+00
2020-04-04;Index;9,98395945657519e-01;8,89791066725559e-01
2020-04-04;Admitted;4,40000000000000e+01;5,60000000000000e+01
2020-04-04;Deaths;1,50000000000000e+01;1,65714285714286e+01
2020-04-05;Positive;1,58000000000000e+02;3,42428571428571e+02
2020-04-05;Tested;2,16900000000000e+03;5,20714285714286e+03
2020-04-05;Percent;7,28446288612264e+00;6,73622593384342e+00
2020-04-05;Index;7,29920230168826e-01;8,60081430069774e-01
2020-04-05;Admitted;3,60000000000000e+01;5,12857142857143e+01
2020-04-05;Deaths;1,20000000000000e+01;1,55714285714286e+01
2020-04-06;Positive;4,24000000000000e+02;3,07857142857143e+02
2020-04-06;Tested;6,48100000000000e+03;4,74500000000000e+03
2020-04-06;Percent;6,54220027773492e+00;6,58685197117795e+00
2020-04-06;Index;9,10366863811618e-01;8,16201999253401e-01
2020-04-06;Admitted;5,10000000000000e+01;4,58571428571429e+01
2020-04-06;Deaths;1,70000000000000e+01;1,48571428571429e+01
2020-04-07;Positive;3,47000000000000e+02;2,60571428571428e+02
2020-04-07;Tested;6,29600000000000e+03;4,13185714285714e+03
2020-04-07;Percent;5,51143583227446e+00;6,45004854208840e+00
2020-04-07;Index;7,60298565791610e-01;7,63114255756655e-01
2020-04-07;Admitted;5,60000000000000e+01;4,04285714285714e+01
2020-04-07;Deaths;1,20000000000000e+01;1,42857142857143e+01
2020-04-08;Positive;3,01000000000000e+02;2,36000000000000e+02
2020-04-08;Tested;5,55300000000000e+03;3,91742857142857e+03
2020-04-08;Percent;5,42049342697641e+00;6,15812575461017e+00
2020-04-08;Index;7,20107151785763e-01;7,13030614952989e-01
2020-04-08;Admitted;2,80000000000000e+01;3,85714285714286e+01
2020-04-08;Deaths;1,50000000000000e+01;1,37142857142857e+01
2020-04-09;Positive;1,40000000000000e+02;2,35857142857143e+02
2020-04-09;Tested;2,48600000000000e+03;3,90514285714286e+03
2020-04-09;Percent;5,63153660498793e+00;6,19423190701443e+00
2020-04-09;Index;5,87864518797617e-01;7,15346949510071e-01
2020-04-09;Admitted;3,40000000000000e+01;3,72857142857143e+01
2020-04-09;Deaths;1,30000000000000e+01;1,35714285714286e+01
2020-04-10;Positive;1,42000000000000e+02;1,97571428571429e+02
2020-04-10;Tested;2,27300000000000e+03;3,27571428571429e+03
2020-04-10;Percent;6,24725032996040e+00;6,33364219436039e+00
2020-04-10;Index;6,34846514283633e-01;6,91491941234368e-01
2020-04-10;Admitted;3,40000000000000e+01;3,42857142857143e+01
2020-04-10;Deaths;1,60000000000000e+01;1,34285714285714e+01
2020-04-11;Positive;1,40000000000000e+02;1,84857142857143e+02
2020-04-11;Tested;2,16400000000000e+03;3,24471428571428e+03
2020-04-11;Percent;6,46950092421442e+00;6,15259694668346e+00
2020-04-11;Index;6,47810460031856e-01;6,65641420864050e-01
2020-04-11;Admitted;3,10000000000000e+01;3,27142857142857e+01
2020-04-11;Deaths;1,10000000000000e+01;1,34285714285714e+01
2020-04-12;Positive;1,57000000000000e+02;1,70285714285714e+02
2020-04-12;Tested;2,08300000000000e+03;3,23800000000000e+03
2020-04-12;Percent;7,53720595295247e+00;5,89456060168496e+00
2020-04-12;Index;7,46134572068397e-01;6,31186862970835e-01
2020-04-12;Admitted;2,70000000000000e+01;3,30000000000000e+01
2020-04-12;Deaths;1,10000000000000e+01;1,27142857142857e+01
2020-04-13;Positive;1,56000000000000e+02;1,75714285714286e+02
2020-04-13;Tested;2,07500000000000e+03;3,62714285714286e+03
2020-04-13;Percent;7,51807228915663e+00;5,57812776066530e+00
2020-04-13;Index;7,43381805881699e-01;6,10817705614717e-01
2020-04-13;Admitted;3,00000000000000e+01;3,28571428571429e+01
2020-04-13;Deaths;1,60000000000000e+01;1,25714285714286e+01
2020-04-14;Positive;2,58000000000000e+02;1,79428571428571e+02
2020-04-14;Tested;6,07900000000000e+03;3,97128571428571e+03
2020-04-14;Percent;4,24411909853594e+00;5,19826488018459e+00
2020-04-14;Index;5,79344923199385e-01;5,84826087521525e-01
2020-04-14;Admitted;4,50000000000000e+01;3,18571428571429e+01
2020-04-14;Deaths;1,20000000000000e+01;1,15714285714286e+01
2020-04-15;Positive;1,99000000000000e+02;1,74571428571429e+02
2020-04-15;Tested;5,50600000000000e+03;3,97800000000000e+03
2020-04-15;Percent;3,61423901198692e+00;4,95893771449111e+00
2020-04-15;Index;4,78925246533258e-01;5,61305033926831e-01
2020-04-15;Admitted;3,00000000000000e+01;3,12857142857143e+01
2020-04-15;Deaths;1,00000000000000e+01;1,14285714285714e+01
2020-04-16;Positive;1,78000000000000e+02;1,68428571428571e+02
2020-04-16;Tested;5,21000000000000e+03;3,93814285714286e+03
2020-04-16;Percent;3,41650671785029e+00;4,78494978773103e+00
2020-04-16;Index;4,45280417304791e-01;5,40307969979833e-01
2020-04-16;Admitted;3,30000000000000e+01;3,22857142857143e+01
2020-04-16;Deaths;1,20000000000000e+01;1,07142857142857e+01
2020-04-17;Positive;1,68000000000000e+02;1,76857142857143e+02
2020-04-17;Tested;4,68200000000000e+03;4,57414285714286e+03
2020-04-17;Percent;3,58821016659547e+00;4,18151224628067e+00
2020-04-17;Index;4,52905187631287e-01;4,99731273999088e-01
2020-04-17;Admitted;2,70000000000000e+01;3,27142857142857e+01
2020-04-17;Deaths;9,00000000000000e+00;9,42857142857143e+00
2020-04-18;Positive;1,06000000000000e+02;1,68857142857143e+02
2020-04-18;Tested;2,21100000000000e+03;5,08314285714286e+03
2020-04-18;Percent;4,79421076436002e+00;3,87449538036543e+00
2020-04-18;Index;4,83163084868999e-01;4,63885373187020e-01
2020-04-18;Admitted;2,70000000000000e+01;3,17142857142857e+01
2020-04-18;Deaths;1,00000000000000e+01;9,42857142857143e+00
2020-04-19;Positive;1,14000000000000e+02;1,73142857142857e+02
2020-04-19;Tested;1,80400000000000e+03;5,93171428571429e+03
2020-04-19;Percent;6,31929046563193e+00;3,64398965495665e+00
2020-04-19;Index;5,99155124439409e-01;4,42638995671856e-01
2020-04-19;Admitted;3,40000000000000e+01;3,15714285714286e+01
2020-04-19;Deaths;6,00000000000000e+00;1,00000000000000e+01
2020-04-20;Positive;2,15000000000000e+02;1,80857142857143e+02
2020-04-20;Tested;6,52700000000000e+03;6,94614285714286e+03
2020-04-20;Percent;3,29400949900414e+00;3,42513062988668e+00
2020-04-20;Index;4,59344934016489e-01;4,24440969722608e-01
2020-04-20;Admitted;3,30000000000000e+01;3,15714285714286e+01
2020-04-20;Deaths;7,00000000000000e+00;9,71428571428571e+00
2020-04-21;Positive;2,02000000000000e+02;1,80428571428571e+02
2020-04-21;Tested;9,64200000000000e+03;8,37100000000000e+03
2020-04-21;Percent;2,09500103712923e+00;3,07336043141483e+00
2020-04-21;Index;3,28423617514909e-01;3,88327656696038e-01
2020-04-21;Admitted;3,80000000000000e+01;3,08571428571429e+01
2020-04-21;Deaths;1,20000000000000e+01;9,28571428571428e+00
2020-04-22;Positive;2,29000000000000e+02;1,84714285714286e+02
2020-04-22;Tested;1,14460000000000e+04;9,81657142857143e+03
2020-04-22;Percent;2,00069893412546e+00;2,54604472379626e+00
2020-04-22;Index;3,30200603927112e-01;3,45897320965037e-01
2020-04-22;Admitted;2,90000000000000e+01;3,08571428571429e+01
2020-04-22;Deaths;1,40000000000000e+01;8,57142857142857e+00
2020-04-23;Positive;2,32000000000000e+02;1,85714285714286e+02
2020-04-23;Tested;1,23110000000000e+04;1,10174285714286e+04
2020-04-23;Percent;1,88449354236049e+00;1,81259074794483e+00
2020-04-23;Index;3,17894235660052e-01;2,87304076597729e-01
2020-04-23;Admitted;3,30000000000000e+01;2,97142857142857e+01
2020-04-23;Deaths;1,00000000000000e+01;8,42857142857143e+00
2020-04-24;Positive;1,65000000000000e+02;1,86285714285714e+02
2020-04-24;Tested;1,46560000000000e+04;1,25388571428571e+04
2020-04-24;Percent;1,12581877729258e+00;1,52415520569652e+00
2020-04-24;Index;2,00111996445296e-01;2,55636747034822e-01
2020-04-24;Admitted;2,20000000000000e+01;2,80000000000000e+01
2020-04-24;Deaths;6,00000000000000e+00;8,71428571428571e+00
2020-04-25;Positive;1,36000000000000e+02;1,76857142857143e+02
2020-04-25;Tested;1,23300000000000e+04;1,34640000000000e+04
2020-04-25;Percent;1,10300081103001e+00;1,34540893518752e+00
2020-04-25;Index;1,86150734751991e-01;2,30764745214378e-01
2020-04-25;Admitted;2,70000000000000e+01;2,47142857142857e+01
2020-04-25;Deaths;5,00000000000000e+00;8,42857142857143e+00
2020-04-26;Positive;1,21000000000000e+02;1,64142857142857e+02
2020-04-26;Tested;1,02100000000000e+04;1,41010000000000e+04
2020-04-26;Percent;1,18511263467189e+00;1,18534142230060e+00
2020-04-26;Index;1,89002413868253e-01;2,06499608425876e-01
2020-04-26;Admitted;2,60000000000000e+01;2,27142857142857e+01
2020-04-26;Deaths;5,00000000000000e+00;7,71428571428571e+00
2020-04-27;Positive;2,19000000000000e+02;1,52285714285714e+02
2020-04-27;Tested;1,71770000000000e+04;1,45981428571429e+04
2020-04-27;Percent;1,27496070326600e+00;1,05092455258806e+00
2020-04-27;Index;2,37673627076140e-01;1,85588143333597e-01
2020-04-27;Admitted;2,10000000000000e+01;2,04285714285714e+01
2020-04-27;Deaths;9,00000000000000e+00;7,57142857142857e+00
2020-04-28;Positive;1,36000000000000e+02;1,50428571428571e+02
2020-04-28;Tested;1,61180000000000e+04;1,45504285714286e+04
2020-04-28;Percent;8,43777143566199e-01;1,04170819684780e+00
2020-04-28;Index;1,54319604771800e-01;1,83764219684398e-01
2020-04-28;Admitted;1,50000000000000e+01;1,95714285714286e+01
2020-04-28;Deaths;1,00000000000000e+01;8,28571428571428e+00
2020-04-29;Positive;1,40000000000000e+02;1,47714285714286e+02
2020-04-29;Tested;1,59050000000000e+04;1,43704285714286e+04
2020-04-29;Percent;8,80226343917007e-01;1,03512387657290e+00
2020-04-29;Index;1,60344646407596e-01;1,81842128842799e-01
2020-04-29;Admitted;1,50000000000000e+01;1,91428571428571e+01
2020-04-29;Deaths;9,00000000000000e+00;8,71428571428571e+00
2020-04-30;Positive;1,49000000000000e+02;1,41571428571429e+02
2020-04-30;Tested;1,57910000000000e+04;1,41841428571429e+04
