Variable;Date;Daily
hospitalized;2020-06-12; 12
hospitalized;2020-06-13;  9
hospitalized;2020-06-14;  9
hospitalized;2020-06-15;  9
hospitalized;2020-06-16;  8
hospitalized;2020-06-17;  6
hospitalized;2020-06-18;  6
hospitalized;2020-06-19;  6
hospitalized;2020-06-20;  6
hospitalized;2020-06-21;  6
hospitalized;2020-06-22;  7
hospitalized;2020-06-23;  8
hospitalized;2020-06-24;  8
hospitalized;2020-06-25;  9
hospitalized;2020-06-26; 11
hospitalized;2020-06-27; 11
hospitalized;2020-06-28; 10
hospitalized;2020-06-29;  9
hospitalized;2020-06-30; 10
hospitalized;2020-07-01; 11
hospitalized;2020-07-02;  9
hospitalized;2020-07-03;  6
hospitalized;2020-07-04;  6
hospitalized;2020-07-05;  6
hospitalized;2020-07-06;  7
hospitalized;2020-07-07;  5
hospitalized;2020-07-08;  5
hospitalized;2020-07-09;  5
hospitalized;2020-07-10;  4
hospitalized;2020-07-11;  5
hospitalized;2020-07-12;  6
hospitalized;2020-07-13;  6
hospitalized;2020-07-14;  6
hospitalized;2020-07-15;  6
hospitalized;2020-07-16;  5
hospitalized;2020-07-17;  5
hospitalized;2020-07-18;  2
hospitalized;2020-07-19;  3
hospitalized;2020-07-20;  3
hospitalized;2020-07-21;  4
hospitalized;2020-07-22;  4
hospitalized;2020-07-23;  3
hospitalized;2020-07-24;  3
hospitalized;2020-07-25;  3
hospitalized;2020-07-26;  3
hospitalized;2020-07-27;  3
hospitalized;2020-07-28;  3
hospitalized;2020-07-29;  3
hospitalized;2020-07-30;  3
hospitalized;2020-07-31;  3
hospitalized;2020-08-01;  2
hospitalized;2020-08-02;  2
hospitalized;2020-08-03;  2
hospitalized;2020-08-04;  3
hospitalized;2020-08-05;  2
hospitalized;2020-08-06;  2
hospitalized;2020-08-07;  2
hospitalized;2020-08-08;  2
hospitalized;2020-08-09;  2
hospitalized;2020-08-10;  2
hospitalized;2020-08-11;  2
hospitalized;2020-08-12;  1
hospitalized;2020-08-13;  1
hospitalized;2020-08-14;  1
hospitalized;2020-08-15;  0
hospitalized;2020-08-16;  0
hospitalized;2020-08-17;  1
hospitalized;2020-08-18;  1
hospitalized;2020-08-19;  1
hospitalized;2020-08-20;  1
hospitalized;2020-08-21;  1
hospitalized;2020-08-22;  1
hospitalized;2020-08-23;  2
hospitalized;2020-08-24;  3
hospitalized;2020-08-25;  3
hospitalized;2020-08-26;  3
hospitalized;2020-08-27;  2
hospitalized;2020-08-28;  2
hospitalized;2020-08-29;  4
hospitalized;2020-08-30;  4
hospitalized;2020-08-31;  4
hospitalized;2020-09-01;  4
hospitalized;2020-09-02;  4
hospitalized;2020-09-03;  3
hospitalized;2020-09-04;  3
hospitalized;2020-09-05;  3
hospitalized;2020-09-06;  4
hospitalized;2020-09-07;  3
hospitalized;2020-09-08;  3
hospitalized;2020-09-09;  5
hospitalized;2020-09-10;  5
hospitalized;2020-09-11;  7
hospitalized;2020-09-12;  4
hospitalized;2020-09-13;  4
hospitalized;2020-09-14;  4
hospitalized;2020-09-15;  3
hospitalized;2020-09-16;  2
hospitalized;2020-09-17;  3
hospitalized;2020-09-18;  3
hospitalized;2020-09-19;  4
hospitalized;2020-09-20;  9
hospitalized;2020-09-21; 12
hospitalized;2020-09-22; 14
hospitalized;2020-09-23; 15
hospitalized;2020-09-24; 14
hospitalized;2020-09-25; 16
hospitalized;2020-09-26; 17
hospitalized;2020-09-27; 17
hospitalized;2020-09-28; 17
hospitalized;2020-09-29; 15
hospitalized;2020-09-30; 15
hospitalized;2020-10-01; 13
hospitalized;2020-10-02; 17
hospitalized;2020-10-03; 17
hospitalized;2020-10-04; 18
hospitalized;2020-10-05; 17
hospitalized;2020-10-06; 15
hospitalized;2020-10-07; 15
hospitalized;2020-10-08; 17
hospitalized;2020-10-09; 18
hospitalized;2020-10-10; 20
hospitalized;2020-10-11; 19
hospitalized;2020-10-12; 19
hospitalized;2020-10-13; 19
hospitalized;2020-10-14; 17
hospitalized;2020-10-15; 17
hospitalized;2020-10-16; 16
hospitalized;2020-10-17; 16
hospitalized;2020-10-18; 17
hospitalized;2020-10-19; 18
hospitalized;2020-10-20; 15
hospitalized;2020-10-21; 16
hospitalized;2020-10-22; 17
hospitalized;2020-10-23; 18
hospitalized;2020-10-24; 17
hospitalized;2020-10-25; 18
hospitalized;2020-10-26; 17
hospitalized;2020-10-27; 19
hospitalized;2020-10-28; 18
hospitalized;2020-10-29; 17
hospitalized;2020-10-30; 17
hospitalized;2020-10-31; 19
hospitalized;2020-11-01; 19
hospitalized;2020-11-02; 23
hospitalized;2020-11-03; 22
hospitalized;2020-11-04; 24
hospitalized;2020-11-05; 24
hospitalized;2020-11-06; 23
hospitalized;2020-11-07; 29
hospitalized;2020-11-08; 30
hospitalized;2020-11-09; 33
hospitalized;2020-11-10; 33
hospitalized;2020-11-11; 40
hospitalized;2020-11-12; 44
hospitalized;2020-11-13; 40
hospitalized;2020-11-14; 41
hospitalized;2020-11-15; 45
hospitalized;2020-11-16; 44
hospitalized;2020-11-17; 41
hospitalized;2020-11-18; 43
hospitalized;2020-11-19; 41
hospitalized;2020-11-20; 39
hospitalized;2020-11-21; 40
hospitalized;2020-11-22; 39
hospitalized;2020-11-23; 41
hospitalized;2020-11-24; 40
hospitalized;2020-11-25; 42
hospitalized;2020-11-26; 42
hospitalized;2020-11-27; 46
hospitalized;2020-11-28; 42
hospitalized;2020-11-29; 43
hospitalized;2020-11-30; 44
hospitalized;2020-12-01; 38
hospitalized;2020-12-02; 36
hospitalized;2020-12-03; 38
hospitalized;2020-12-04; 40
hospitalized;2020-12-05; 39
hospitalized;2020-12-06; 42
hospitalized;2020-12-07; 43
hospitalized;2020-12-08; 42
hospitalized;2020-12-09; 39
hospitalized;2020-12-10; 40
hospitalized;2020-12-11; 48
hospitalized;2020-12-12; 54
hospitalized;2020-12-13; 58
hospitalized;2020-12-14; 61
hospitalized;2020-12-15; 68
hospitalized;2020-12-16; 68
hospitalized;2020-12-17; 76
hospitalized;2020-12-18; 79
hospitalized;2020-12-19; 86
hospitalized;2020-12-20; 87
hospitalized;2020-12-21; 87
hospitalized;2020-12-22; 83
hospitalized;2020-12-23; 91
hospitalized;2020-12-24; 97
hospitalized;2020-12-25; 98
hospitalized;2020-12-26; 96
hospitalized;2020-12-27;102
hospitalized;2020-12-28;113
hospitalized;2020-12-29;128
hospitalized;2020-12-30;136
hospitalized;2020-12-31;132
hospitalized;2021-01-01;129
hospitalized;2021-01-02;136
hospitalized;2021-01-03;136
hospitalized;2021-01-04;140
hospitalized;2021-01-05;141
hospitalized;2021-01-06;137
hospitalized;2021-01-07;134
hospitalized;2021-01-08;138
hospitalized;2021-01-09;132
hospitalized;2021-01-10;138
hospitalized;2021-01-11;138
hospitalized;2021-01-12;135
hospitalized;2021-01-13;137
hospitalized;2021-01-14;128
hospitalized;2021-01-15;129
hospitalized;2021-01-16;137
hospitalized;2021-01-17;131
hospitalized;2021-01-18;132
hospitalized;2021-01-19;132
hospitalized;2021-01-20;132
hospitalized;2021-01-21;136
hospitalized;2021-01-22;130
hospitalized;2021-01-23;125
hospitalized;2021-01-24;124
hospitalized;2021-01-25;123
hospitalized;2021-01-26;119
hospitalized;2021-01-27;112
hospitalized;2021-01-28;113
hospitalized;2021-01-29;103
hospitalized;2021-01-30;102
hospitalized;2021-01-31; 97
hospitalized;2021-02-01; 94
hospitalized;2021-02-02; 93
hospitalized;2021-02-03; 90
hospitalized;2021-02-04; 86
hospitalized;2021-02-05; 82
hospitalized;2021-02-06; 78
hospitalized;2021-02-07; 76
hospitalized;2021-02-08; 73
hospitalized;2021-02-09; 74
hospitalized;2021-02-10; 74
hospitalized;2021-02-11; 69
hospitalized;2021-02-12; 68
hospitalized;2021-02-13; 64
hospitalized;2021-02-14; 65
hospitalized;2021-02-15; 68
hospitalized;2021-02-16; 63
hospitalized;2021-02-17; 57
hospitalized;2021-02-18; 57
hospitalized;2021-02-19; 51
hospitalized;2021-02-20; 51
hospitalized;2021-02-21; 53
hospitalized;2021-02-22; 51
hospitalized;2021-02-23; 48
hospitalized;2021-02-24; 47
hospitalized;2021-02-25; 45
hospitalized;2021-02-26; 43
hospitalized;2021-02-27; 44
hospitalized;2021-02-28; 41
hospitalized;2021-03-01; 44
hospitalized;2021-03-02; 39
hospitalized;2021-03-03; 34
hospitalized;2021-03-04; 30
hospitalized;2021-03-05; 31
hospitalized;2021-03-06; 33
hospitalized;2021-03-07; 37
hospitalized;2021-03-08; 38
hospitalized;2021-03-09; 38
hospitalized;2021-03-10; 43
hospitalized;2021-03-11; 44
hospitalized;2021-03-12; 38
hospitalized;2021-03-13; 39
hospitalized;2021-03-14; 39
hospitalized;2021-03-15; 40
hospitalized;2021-03-16; 43
hospitalized;2021-03-17; 41
hospitalized;2021-03-18; 38
hospitalized;2021-03-19; 38
hospitalized;2021-03-20; 40
hospitalized;2021-03-21; 40
hospitalized;2021-03-22; 42
hospitalized;2021-03-23; 46
hospitalized;2021-03-24; 46
hospitalized;2021-03-25; 44
hospitalized;2021-03-26; 40
hospitalized;2021-03-27; 41
hospitalized;2021-03-28; 43
hospitalized;2021-03-29; 41
hospitalized;2021-03-30; 41
hospitalized;2021-03-31; 43
hospitalized;2021-04-01; 39
hospitalized;2021-04-02; 41
hospitalized;2021-04-03; 39
hospitalized;2021-04-04; 39
hospitalized;2021-04-05; 40
hospitalized;2021-04-06; 38
hospitalized;2021-04-07; 34
hospitalized;2021-04-08; 37
hospitalized;2021-04-09; 37
hospitalized;2021-04-10; 38
hospitalized;2021-04-11; 38
hospitalized;2021-04-12; 40
hospitalized;2021-04-13; 39
hospitalized;2021-04-14; 41
hospitalized;2021-04-15; 37
hospitalized;2021-04-16; 36
hospitalized;2021-04-17; 40
hospitalized;2021-04-18; 35
hospitalized;2021-04-19; 36
hospitalized;2021-04-20; 38
hospitalized;2021-04-21; 41
hospitalized;2021-04-22; 44
hospitalized;2021-04-23; 42
hospitalized;2021-04-24; 40
hospitalized;2021-04-25; 40
hospitalized;2021-04-26; 39
hospitalized;2021-04-27; 36
hospitalized;2021-04-28; 32
hospitalized;2021-04-29; 30
hospitalized;2021-04-30; 35
hospitalized;2021-05-01; 37
hospitalized;2021-05-02; 37
hospitalized;2021-05-03; 42
hospitalized;2021-05-04; 43
hospitalized;2021-05-05; 40
hospitalized;2021-05-06; 34
hospitalized;2021-05-07; 31
hospitalized;2021-05-08; 30
hospitalized;2021-05-09; 31
hospitalized;2021-05-10; 27
hospitalized;2021-05-11; 32
hospitalized;2021-05-12; 29
hospitalized;2021-05-13; 36
hospitalized;2021-05-14; 33
hospitalized;2021-05-15; 33
hospitalized;2021-05-16; 32
hospitalized;2021-05-17; 29
hospitalized;2021-05-18; 31
hospitalized;2021-05-19; 33
hospitalized;2021-05-20; 33
hospitalized;2021-05-21; 31
hospitalized;2021-05-22; 32
hospitalized;2021-05-23; 35
hospitalized;2021-05-24; 37
hospitalized;2021-05-25; 36
hospitalized;2021-05-26; 36
hospitalized;2021-05-27; 36
hospitalized;2021-05-28; 33
hospitalized;2021-05-29; 33
hospitalized;2021-05-30; 32
hospitalized;2021-05-31; 34
hospitalized;2021-06-01; 36
hospitalized;2021-06-02; 37
hospitalized;2021-06-03; 34
hospitalized;2021-06-04; 32
hospitalized;2021-06-05; 30
hospitalized;2021-06-06; 29
hospitalized;2021-06-07; 27
hospitalized;2021-06-08; 27
hospitalized;2021-06-09; 27
hospitalized;2021-06-10; 22
hospitalized;2021-06-11; 23
hospitalized;2021-06-12; 20
hospitalized;2021-06-13; 20
hospitalized;2021-06-14; 20
hospitalized;2021-06-15; 19
hospitalized;2021-06-16; 20
hospitalized;2021-06-17; 19
hospitalized;2021-06-18; 20
hospitalized;2021-06-19; 20
hospitalized;2021-06-20; 19
hospitalized;2021-06-21; 17
hospitalized;2021-06-22; 18
hospitalized;2021-06-23; 15
hospitalized;2021-06-24; 16
hospitalized;2021-06-25; 17
hospitalized;2021-06-26; 17
hospitalized;2021-06-27; 17
hospitalized;2021-06-28; 14
hospitalized;2021-06-29; 14
hospitalized;2021-06-30; 12
hospitalized;2021-07-01; 12
hospitalized;2021-07-02; 11
hospitalized;2021-07-03; 10
hospitalized;2021-07-04;  9
hospitalized;2021-07-05;  9
hospitalized;2021-07-06;  8
hospitalized;2021-07-07;  9
hospitalized;2021-07-08;  8
hospitalized;2021-07-09;  9
hospitalized;2021-07-10;  9
hospitalized;2021-07-11;  9
hospitalized;2021-07-12;  9
hospitalized;2021-07-13; 10
hospitalized;2021-07-14; 12
hospitalized;2021-07-15; 11
hospitalized;2021-07-16; 11
hospitalized;2021-07-17; 10
hospitalized;2021-07-18; 10
hospitalized;2021-07-19;  9
hospitalized;2021-07-20; 10
hospitalized;2021-07-21; 12
hospitalized;2021-07-22; 13
hospitalized;2021-07-23; 11
hospitalized;2021-07-24; 10
hospitalized;2021-07-25; 10
hospitalized;2021-07-26; 10
hospitalized;2021-07-27; 10
hospitalized;2021-07-28; 10
hospitalized;2021-07-29; 10
hospitalized;2021-07-30;  8
hospitalized;2021-07-31;  8
hospitalized;2021-08-01;  8
hospitalized;2021-08-02;  8
hospitalized;2021-08-03;  8
hospitalized;2021-08-04;  8
hospitalized;2021-08-05;  9
hospitalized;2021-08-06; 12
hospitalized;2021-08-07; 12
hospitalized;2021-08-08; 13
hospitalized;2021-08-09; 13
hospitalized;2021-08-10; 14
hospitalized;2021-08-11; 18
hospitalized;2021-08-12; 16
hospitalized;2021-08-13; 14
hospitalized;2021-08-14; 16
hospitalized;2021-08-15; 15
hospitalized;2021-08-16; 15
hospitalized;2021-08-17; 15
hospitalized;2021-08-18; 16
hospitalized;2021-08-19; 15
hospitalized;2021-08-20; 16
hospitalized;2021-08-21; 15
hospitalized;2021-08-22; 20
hospitalized;2021-08-23; 18
hospitalized;2021-08-24; 20
hospitalized;2021-08-25; 21
hospitalized;2021-08-26; 19
hospitalized;2021-08-27; 19
hospitalized;2021-08-28; 19
hospitalized;2021-08-29; 19
hospitalized;2021-08-30; 22
hospitalized;2021-08-31; 21
hospitalized;2021-09-01; 25
hospitalized;2021-09-02; 25
hospitalized;2021-09-03; 26
hospitalized;2021-09-04; 26
hospitalized;2021-09-05; 26
hospitalized;2021-09-06; 26
hospitalized;2021-09-07; 26
hospitalized;2021-09-08; 28
hospitalized;2021-09-09; 28
hospitalized;2021-09-10; 29
hospitalized;2021-09-11; 32
hospitalized;2021-09-12; 32
hospitalized;2021-09-13; 30
hospitalized;2021-09-14; 30
hospitalized;2021-09-15; 28
hospitalized;2021-09-16; 26
hospitalized;2021-09-17; 24
hospitalized;2021-09-18; 23
hospitalized;2021-09-19; 23
hospitalized;2021-09-20; 22
hospitalized;2021-09-21; 22
hospitalized;2021-09-22; 22
hospitalized;2021-09-23; 18
hospitalized;2021-09-24; 17
hospitalized;2021-09-25; 18
hospitalized;2021-09-26; 17
hospitalized;2021-09-27; 18
hospitalized;2021-09-28; 15
hospitalized;2021-09-29; 16
hospitalized;2021-09-30; 18
hospitalized;2021-10-01; 15
hospitalized;2021-10-02; 12
hospitalized;2021-10-03; 12
hospitalized;2021-10-04; 12
hospitalized;2021-10-05; 13
hospitalized;2021-10-06; 11
hospitalized;2021-10-07; 11
hospitalized;2021-10-08; 14
hospitalized;2021-10-09; 17
hospitalized;2021-10-10; 15
hospitalized;2021-10-11; 17
hospitalized;2021-10-12; 17
hospitalized;2021-10-13; 18
hospitalized;2021-10-14; 16
hospitalized;2021-10-15; 14
hospitalized;2021-10-16; 15
hospitalized;2021-10-17; 15
hospitalized;2021-10-18; 13
hospitalized;2021-10-19; 15
hospitalized;2021-10-20; 11
hospitalized;2021-10-21; 14
hospitalized;2021-10-22; 16
hospitalized;2021-10-23; 16
hospitalized;2021-10-24; 19
hospitalized;2021-10-25; 20
hospitalized;2021-10-26; 22
hospitalized;2021-10-27; 23
hospitalized;2021-10-28; 24
hospitalized;2021-10-29; 28
hospitalized;2021-10-30; 26
hospitalized;2021-10-31; 24
hospitalized;2021-11-01; 29
hospitalized;2021-11-02; 32
hospitalized;2021-11-03; 30
hospitalized;2021-11-04; 31
hospitalized;2021-11-05; 35
hospitalized;2021-11-06; 36
hospitalized;2021-11-07; 40
hospitalized;2021-11-08; 36
hospitalized;2021-11-09; 39
hospitalized;2021-11-10; 39
hospitalized;2021-11-11; 41
hospitalized;2021-11-12; 43
hospitalized;2021-11-13; 38
hospitalized;2021-11-14; 40
hospitalized;2021-11-15; 40
hospitalized;2021-11-16; 44
hospitalized;2021-11-17; 47
hospitalized;2021-11-18; 50
hospitalized;2021-11-19; 48
hospitalized;2021-11-20; 50
hospitalized;2021-11-21; 51
hospitalized;2021-11-22; 50
hospitalized;2021-11-23; 49
hospitalized;2021-11-24; 49
hospitalized;2021-11-25; 48
hospitalized;2021-11-26; 53
hospitalized;2021-11-27; 50
hospitalized;2021-11-28; 51
hospitalized;2021-11-29; 60
hospitalized;2021-11-30; 60
hospitalized;2021-12-01; 61
hospitalized;2021-12-02; 57
hospitalized;2021-12-03; 57
hospitalized;2021-12-04; 58
hospitalized;2021-12-05; 58
hospitalized;2021-12-06; 65
hospitalized;2021-12-07; 66
hospitalized;2021-12-08; 66
hospitalized;2021-12-09; 67
hospitalized;2021-12-10; 65
hospitalized;2021-12-11; 60
hospitalized;2021-12-12; 65
hospitalized;2021-12-13; 67
hospitalized;2021-12-14; 70
hospitalized;2021-12-15; 66
hospitalized;2021-12-16; 61
hospitalized;2021-12-17; 63
hospitalized;2021-12-18; 65
hospitalized;2021-12-19; 63
hospitalized;2021-12-20; 66
hospitalized;2021-12-21; 67
hospitalized;2021-12-22; 66
hospitalized;2021-12-23; 72
hospitalized;2021-12-24; 74
hospitalized;2021-12-25; 73
hospitalized;2021-12-26; 71
hospitalized;2021-12-27; 70
hospitalized;2021-12-28; 71
hospitalized;2021-12-29; 77
hospitalized;2021-12-30; 75
hospitalized;2021-12-31; 73
hospitalized;2022-01-01; 73
hospitalized;2022-01-02; 76
hospitalized;2022-01-03; 73
hospitalized;2022-01-04; 77
hospitalized;2022-01-05; 80
hospitalized;2022-01-06; 82
hospitalized;2022-01-07; 78
hospitalized;2022-01-08; 78
hospitalized;2022-01-09; 77
hospitalized;2022-01-10; 74
hospitalized;2022-01-11; 73
hospitalized;2022-01-12; 73
hospitalized;2022-01-13; 64
hospitalized;2022-01-14; 60
hospitalized;2022-01-15; 59
hospitalized;2022-01-16; 59
hospitalized;2022-01-17; 52
hospitalized;2022-01-18; 49
hospitalized;2022-01-19; 50
hospitalized;2022-01-20; 49
hospitalized;2022-01-21; 44
hospitalized;2022-01-22; 45
hospitalized;2022-01-23; 42
hospitalized;2022-01-24; 43
hospitalized;2022-01-25; 44
icu;2020-03-21;206
icu;2020-03-22;232
icu;2020-03-23;254
icu;2020-03-24;301
icu;2020-03-25;350
icu;2020-03-26;386
icu;2020-03-27;430
icu;2020-03-28;459
icu;2020-03-29;499
icu;2020-03-30;533
icu;2020-03-31;529
icu;2020-04-01;535
icu;2020-04-02;527
icu;2020-04-03;511
icu;2020-04-04;498
icu;2020-04-05;490
icu;2020-04-06;488
icu;2020-04-07;466
icu;2020-04-08;446
icu;2020-04-09;427
icu;2020-04-10;398
icu;2020-04-11;402
icu;2020-04-12;391
icu;2020-04-13;381
icu;2020-04-14;374
icu;2020-04-15;355
icu;2020-04-16;341
icu;2020-04-17;337
icu;2020-04-18;304
icu;2020-04-19;303
icu;2020-04-20;321
icu;2020-04-21;315
icu;2020-04-22;309
icu;2020-04-23;303
icu;2020-04-24;303
icu;2020-04-25;276
icu;2020-04-26;273
icu;2020-04-27;293
icu;2020-04-28;271
icu;2020-04-29;254
icu;2020-04-30;236
icu;2020-05-01;229
icu;2020-05-02;214
icu;2020-05-03;225
icu;2020-05-04;228
icu;2020-05-05;209
icu;2020-05-06;190
icu;2020-05-07;178
icu;2020-05-08;183
icu;2020-05-09;169
icu;2020-05-10;174
icu;2020-05-11;173
icu;2020-05-12;151
icu;2020-05-13;138
icu;2020-05-14;128
icu;2020-05-15;120
icu;2020-05-16;115
icu;2020-05-17;113
icu;2020-05-18;118
icu;2020-05-19;115
icu;2020-05-20;103
icu;2020-05-21;100
icu;2020-05-22;100
icu;2020-05-23;102
icu;2020-05-24;100
icu;2020-05-25;102
icu;2020-05-26; 97
icu;2020-05-27; 91
icu;2020-05-28; 96
icu;2020-05-29; 93
icu;2020-05-30; 87
icu;2020-05-31; 85
icu;2020-06-01; 88
icu;2020-06-02; 86
icu;2020-06-03; 82
icu;2020-06-04; 76
icu;2020-06-05; 66
icu;2020-06-06; 68
icu;2020-06-07; 65
icu;2020-06-08; 66
icu;2020-06-09; 59
icu;2020-06-10; 57
icu;2020-06-11; 51
icu;2020-06-12; 51
icu;2020-06-13; 47
icu;2020-06-14; 49
icu;2020-06-15; 46
icu;2020-06-16; 43
icu;2020-06-17; 39
icu;2020-06-18; 38
icu;2020-06-19; 37
icu;2020-06-20; 39
icu;2020-06-21; 38
icu;2020-06-22; 37
icu;2020-06-23; 32
icu;2020-06-24; 33
icu;2020-06-25; 36
icu;2020-06-26; 31
icu;2020-06-27; 29
icu;2020-06-28; 30
icu;2020-06-29; 35
icu;2020-06-30; 32
icu;2020-07-01; 29
icu;2020-07-02; 29
icu;2020-07-03; 27
icu;2020-07-04; 26
icu;2020-07-05; 24
icu;2020-07-06; 23
icu;2020-07-07; 17
icu;2020-07-08; 18
icu;2020-07-09; 18
icu;2020-07-10; 17
icu;2020-07-11; 15
icu;2020-07-12; 18
icu;2020-07-13; 18
icu;2020-07-14; 17
icu;2020-07-15; 19
icu;2020-07-16; 17
icu;2020-07-17; 20
icu;2020-07-18; 16
icu;2020-07-19; 19
icu;2020-07-20; 18
icu;2020-07-21; 18
icu;2020-07-22; 16
icu;2020-07-23; 19
icu;2020-07-24; 16
icu;2020-07-25; 17
icu;2020-07-26; 23
icu;2020-07-27; 23
icu;2020-07-28; 22
icu;2020-07-29; 21
icu;2020-07-30; 18
icu;2020-07-31; 18
icu;2020-08-01; 16
icu;2020-08-02; 20
icu;2020-08-03; 24
icu;2020-08-04; 24
icu;2020-08-05; 23
icu;2020-08-06; 24
icu;2020-08-07; 25
icu;2020-08-08; 21
icu;2020-08-09; 20
icu;2020-08-10; 23
icu;2020-08-11; 20
icu;2020-08-12; 16
icu;2020-08-13; 13
icu;2020-08-14; 14
icu;2020-08-15; 14
icu;2020-08-16; 12
icu;2020-08-17; 16
icu;2020-08-18; 18
icu;2020-08-19; 16
icu;2020-08-20; 20
icu;2020-08-21; 22
icu;2020-08-22; 22
icu;2020-08-23; 19
icu;2020-08-24; 20
icu;2020-08-25; 21
icu;2020-08-26; 19
icu;2020-08-27; 19
icu;2020-08-28; 21
icu;2020-08-29; 21
icu;2020-08-30; 21
icu;2020-08-31; 23
icu;2020-09-01; 20
icu;2020-09-02; 15
icu;2020-09-03; 17
icu;2020-09-04; 18
icu;2020-09-05; 16
icu;2020-09-06; 27
icu;2020-09-07; 29
icu;2020-09-08; 28
icu;2020-09-09; 30
icu;2020-09-10; 35
icu;2020-09-11; 44
icu;2020-09-12; 43
icu;2020-09-13; 47
icu;2020-09-14; 50
icu;2020-09-15; 55
icu;2020-09-16; 51
icu;2020-09-17; 60
icu;2020-09-18; 58
icu;2020-09-19; 62
icu;2020-09-20; 67
icu;2020-09-21; 75
icu;2020-09-22; 79
icu;2020-09-23; 78
icu;2020-09-24; 95
icu;2020-09-25;101
icu;2020-09-26; 97
icu;2020-09-27; 95
icu;2020-09-28;110
icu;2020-09-29;107
icu;2020-09-30;102
icu;2020-10-01;109
icu;2020-10-02;106
icu;2020-10-03;105
icu;2020-10-04;105
icu;2020-10-05;120
icu;2020-10-06;124
icu;2020-10-07;116
icu;2020-10-08;115
icu;2020-10-09;106
icu;2020-10-10;103
icu;2020-10-11;102
icu;2020-10-12;107
icu;2020-10-13;103
icu;2020-10-14;104
icu;2020-10-15;104
icu;2020-10-16;110
icu;2020-10-17;110
icu;2020-10-18;119
icu;2020-10-19;129
icu;2020-10-20;128
icu;2020-10-21;122
icu;2020-10-22;124
icu;2020-10-23;125
icu;2020-10-24;120
icu;2020-10-25;127
icu;2020-10-26;145
icu;2020-10-27;137
icu;2020-10-28;136
icu;2020-10-29;139
icu;2020-10-30;144
icu;2020-10-31;147
icu;2020-11-01;156
icu;2020-11-02;174
icu;2020-11-03;169
icu;2020-11-04;184
icu;2020-11-05;182
icu;2020-11-06;191
icu;2020-11-07;187
icu;2020-11-08;188
icu;2020-11-09;196
icu;2020-11-10;211
icu;2020-11-11;216
icu;2020-11-12;239
icu;2020-11-13;236
icu;2020-11-14;243
icu;2020-11-15;259
icu;2020-11-16;267
icu;2020-11-17;259
icu;2020-11-18;248
icu;2020-11-19;255
icu;2020-11-20;244
icu;2020-11-21;237
icu;2020-11-22;254
icu;2020-11-23;261
icu;2020-11-24;255
icu;2020-11-25;251
icu;2020-11-26;244
icu;2020-11-27;254
icu;2020-11-28;249
icu;2020-11-29;256
icu;2020-11-30;259
icu;2020-12-01;254
icu;2020-12-02;266
