Date;Region;Admitted
2020-04-01;Syddanmark; 13
2020-04-01;Midtjylland;  6
2020-04-01;Nordjylland;  4
2020-04-01;Ukendt_region;  1
2020-04-02;Hovedstaden; 38
2020-04-02;Sjælland; 13
2020-04-02;Syddanmark;  6
2020-04-02;Midtjylland; 10
2020-04-02;Nordjylland;  5
2020-04-02;Ukendt_region;  0
2020-04-03;Hovedstaden; 33
2020-04-03;Sjælland;  8
2020-04-03;Syddanmark;  8
2020-04-03;Midtjylland; 11
2020-04-03;Nordjylland; 12
2020-04-03;Ukendt_region;  0
2020-04-04;Hovedstaden; 26
2020-04-04;Sjælland;  7
2020-04-04;Syddanmark;  0
2020-04-04;Midtjylland;  7
2020-04-04;Nordjylland;  3
2020-04-04;Ukendt_region;  1
2020-04-05;Hovedstaden; 23
2020-04-05;Sjælland;  5
2020-04-05;Syddanmark;  4
2020-04-05;Midtjylland;  2
2020-04-05;Nordjylland;  1
2020-04-05;Ukendt_region;  1
2020-04-06;Hovedstaden; 28
2020-04-06;Sjælland; 10
2020-04-06;Syddanmark;  7
2020-04-06;Midtjylland;  4
2020-04-06;Nordjylland;  1
2020-04-06;Ukendt_region;  1
2020-04-07;Hovedstaden; 36
2020-04-07;Sjælland;  8
2020-04-07;Syddanmark;  6
2020-04-07;Midtjylland;  6
2020-04-07;Nordjylland;  0
2020-04-07;Ukendt_region;  0
2020-04-08;Hovedstaden; 14
2020-04-08;Sjælland;  5
2020-04-08;Syddanmark;  5
2020-04-08;Midtjylland;  3
2020-04-08;Nordjylland;  1
2020-04-08;Ukendt_region;  0
2020-04-09;Hovedstaden; 18
2020-04-09;Sjælland;  7
2020-04-09;Syddanmark;  1
2020-04-09;Midtjylland;  8
2020-04-09;Nordjylland;  0
2020-04-09;Ukendt_region;  0
2020-04-10;Hovedstaden; 16
2020-04-10;Sjælland;  7
2020-04-10;Syddanmark;  1
2020-04-10;Midtjylland;  6
2020-04-10;Nordjylland;  3
2020-04-10;Ukendt_region;  1
2020-04-11;Hovedstaden; 17
2020-04-11;Sjælland;  5
2020-04-11;Syddanmark;  5
2020-04-11;Midtjylland;  3
2020-04-11;Nordjylland;  1
2020-04-11;Ukendt_region;  0
2020-04-12;Hovedstaden; 13
2020-04-12;Sjælland;  5
2020-04-12;Syddanmark;  3
2020-04-12;Midtjylland;  4
2020-04-12;Nordjylland;  2
2020-04-12;Ukendt_region;  0
2020-04-13;Hovedstaden; 18
2020-04-13;Sjælland;  7
2020-04-13;Syddanmark;  1
2020-04-13;Midtjylland;  4
2020-04-13;Nordjylland;  0
2020-04-13;Ukendt_region;  0
2020-04-14;Hovedstaden; 22
2020-04-14;Sjælland;  8
2020-04-14;Syddanmark;  3
2020-04-14;Midtjylland; 10
2020-04-14;Nordjylland;  1
2020-04-14;Ukendt_region;  1
2020-04-15;Hovedstaden; 12
2020-04-15;Sjælland; 11
2020-04-15;Syddanmark;  1
2020-04-15;Midtjylland;  5
2020-04-15;Nordjylland;  1
2020-04-15;Ukendt_region;  0
2020-04-16;Hovedstaden; 17
2020-04-16;Sjælland;  6
2020-04-16;Syddanmark;  1
2020-04-16;Midtjylland;  9
2020-04-16;Nordjylland;  0
2020-04-16;Ukendt_region;  0
2020-04-17;Hovedstaden; 13
2020-04-17;Sjælland; 10
2020-04-17;Syddanmark;  2
2020-04-17;Midtjylland;  2
2020-04-17;Nordjylland;  0
2020-04-17;Ukendt_region;  0
2020-04-18;Hovedstaden; 15
2020-04-18;Sjælland;  9
2020-04-18;Syddanmark;  1
2020-04-18;Midtjylland;  2
2020-04-18;Nordjylland;  0
2020-04-18;Ukendt_region;  0
2020-04-19;Hovedstaden; 20
2020-04-19;Sjælland;  9
2020-04-19;Syddanmark;  0
2020-04-19;Midtjylland;  4
2020-04-19;Nordjylland;  0
2020-04-19;Ukendt_region;  1
2020-04-20;Hovedstaden; 16
2020-04-20;Sjælland; 11
2020-04-20;Syddanmark;  2
2020-04-20;Midtjylland;  4
2020-04-20;Nordjylland;  0
2020-04-20;Ukendt_region;  0
2020-04-21;Hovedstaden; 18
2020-04-21;Sjælland; 13
2020-04-21;Syddanmark;  2
2020-04-21;Midtjylland;  5
2020-04-21;Nordjylland;  0
2020-04-21;Ukendt_region;  0
2020-04-22;Hovedstaden; 15
2020-04-22;Sjælland;  9
2020-04-22;Syddanmark;  3
2020-04-22;Midtjylland;  2
2020-04-22;Nordjylland;  0
2020-04-22;Ukendt_region;  0
2020-04-23;Hovedstaden; 16
2020-04-23;Sjælland; 11
2020-04-23;Syddanmark;  1
2020-04-23;Midtjylland;  4
2020-04-23;Nordjylland;  0
2020-04-23;Ukendt_region;  1
2020-04-24;Hovedstaden;  9
2020-04-24;Sjælland;  9
2020-04-24;Syddanmark;  1
2020-04-24;Midtjylland;  2
2020-04-24;Nordjylland;  1
2020-04-24;Ukendt_region;  0
2020-04-25;Hovedstaden; 18
2020-04-25;Sjælland;  7
2020-04-25;Syddanmark;  0
2020-04-25;Midtjylland;  1
2020-04-25;Nordjylland;  1
2020-04-25;Ukendt_region;  0
2020-04-26;Hovedstaden; 20
2020-04-26;Sjælland;  2
2020-04-26;Syddanmark;  1
2020-04-26;Midtjylland;  3
2020-04-26;Nordjylland;  0
2020-04-26;Ukendt_region;  0
2020-04-27;Hovedstaden;  8
2020-04-27;Sjælland; 11
2020-04-27;Syddanmark;  0
2020-04-27;Midtjylland;  2
2020-04-27;Nordjylland;  0
2020-04-27;Ukendt_region;  0
2020-04-28;Hovedstaden; 12
2020-04-28;Sjælland;  2
2020-04-28;Syddanmark;  1
2020-04-28;Midtjylland;  0
2020-04-28;Nordjylland;  0
2020-04-28;Ukendt_region;  0
2020-04-29;Hovedstaden;  9
2020-04-29;Sjælland;  4
2020-04-29;Syddanmark;  0
2020-04-29;Midtjylland;  1
2020-04-29;Nordjylland;  1
2020-04-29;Ukendt_region;  0
2020-04-30;Hovedstaden; 10
2020-04-30;Sjælland;  5
2020-04-30;Syddanmark;  0
2020-04-30;Midtjylland;  1
2020-04-30;Nordjylland;  0
2020-04-30;Ukendt_region;  1
2020-05-01;Hovedstaden;  9
2020-05-01;Sjælland;  5
2020-05-01;Syddanmark;  1
2020-05-01;Midtjylland;  1
2020-05-01;Nordjylland;  0
2020-05-01;Ukendt_region;  0
2020-05-02;Hovedstaden; 14
2020-05-02;Sjælland;  5
2020-05-02;Syddanmark;  0
2020-05-02;Midtjylland;  5
2020-05-02;Nordjylland;  0
2020-05-02;Ukendt_region;  0
2020-05-03;Hovedstaden; 13
2020-05-03;Sjælland;  3
2020-05-03;Syddanmark;  0
2020-05-03;Midtjylland;  0
2020-05-03;Nordjylland;  0
2020-05-03;Ukendt_region;  0
2020-05-04;Hovedstaden;  8
2020-05-04;Sjælland;  3
2020-05-04;Syddanmark;  0
2020-05-04;Midtjylland;  3
2020-05-04;Nordjylland;  0
2020-05-04;Ukendt_region;  1
2020-05-05;Hovedstaden;  8
2020-05-05;Sjælland;  8
2020-05-05;Syddanmark;  0
2020-05-05;Midtjylland;  0
2020-05-05;Nordjylland;  0
2020-05-05;Ukendt_region;  0
2020-05-06;Hovedstaden;  4
2020-05-06;Sjælland;  2
2020-05-06;Syddanmark;  0
2020-05-06;Midtjylland;  0
2020-05-06;Nordjylland;  0
2020-05-06;Ukendt_region;  0
2020-05-07;Hovedstaden; 11
2020-05-07;Sjælland;  4
2020-05-07;Syddanmark;  0
2020-05-07;Midtjylland;  0
2020-05-07;Nordjylland;  0
2020-05-07;Ukendt_region;  0
2020-05-08;Hovedstaden;  6
2020-05-08;Sjælland;  2
2020-05-08;Syddanmark;  1
2020-05-08;Midtjylland;  0
2020-05-08;Nordjylland;  0
2020-05-08;Ukendt_region;  0
2020-05-09;Hovedstaden;  4
2020-05-09;Sjælland;  3
2020-05-09;Syddanmark;  0
2020-05-09;Midtjylland;  3
2020-05-09;Nordjylland;  0
2020-05-09;Ukendt_region;  0
2020-05-10;Hovedstaden;  7
2020-05-10;Sjælland;  2
2020-05-10;Syddanmark;  1
2020-05-10;Midtjylland;  0
2020-05-10;Nordjylland;  0
2020-05-10;Ukendt_region;  0
2020-05-11;Hovedstaden;  6
2020-05-11;Sjælland;  1
2020-05-11;Syddanmark;  1
2020-05-11;Midtjylland;  0
2020-05-11;Nordjylland;  0
2020-05-11;Ukendt_region;  0
2020-05-12;Hovedstaden;  6
2020-05-12;Sjælland;  0
2020-05-12;Syddanmark;  0
2020-05-12;Midtjylland;  2
2020-05-12;Nordjylland;  0
2020-05-12;Ukendt_region;  0
2020-05-13;Hovedstaden;  4
2020-05-13;Sjælland;  2
2020-05-13;Syddanmark;  0
2020-05-13;Midtjylland;  0
2020-05-13;Nordjylland;  0
2020-05-13;Ukendt_region;  0
2020-05-14;Hovedstaden;  9
2020-05-14;Sjælland;  2
2020-05-14;Syddanmark;  2
2020-05-14;Midtjylland;  0
2020-05-14;Nordjylland;  0
2020-05-14;Ukendt_region;  0
2020-05-15;Hovedstaden;  5
2020-05-15;Sjælland;  7
2020-05-15;Syddanmark;  4
2020-05-15;Midtjylland;  0
2020-05-15;Nordjylland;  1
2020-05-15;Ukendt_region;  0
2020-05-16;Hovedstaden;  1
2020-05-16;Sjælland;  1
2020-05-16;Syddanmark;  2
2020-05-16;Midtjylland;  1
2020-05-16;Nordjylland;  0
2020-05-16;Ukendt_region;  0
2020-05-17;Hovedstaden;  2
2020-05-17;Sjælland;  0
2020-05-17;Syddanmark;  0
2020-05-17;Midtjylland;  2
2020-05-17;Nordjylland;  0
2020-05-17;Ukendt_region;  0
2020-05-18;Hovedstaden;  9
2020-05-18;Sjælland;  2
2020-05-18;Syddanmark;  2
2020-05-18;Midtjylland;  1
2020-05-18;Nordjylland;  0
2020-05-18;Ukendt_region;  0
2020-05-19;Hovedstaden;  4
2020-05-19;Sjælland;  2
2020-05-19;Syddanmark;  0
2020-05-19;Midtjylland;  1
2020-05-19;Nordjylland;  0
2020-05-19;Ukendt_region;  0
2020-05-20;Hovedstaden;  2
2020-05-20;Sjælland;  3
2020-05-20;Syddanmark;  0
2020-05-20;Midtjylland;  2
2020-05-20;Nordjylland;  0
2020-05-20;Ukendt_region;  0
2020-05-21;Hovedstaden;  3
2020-05-21;Sjælland;  3
2020-05-21;Syddanmark;  0
2020-05-21;Midtjylland;  0
2020-05-21;Nordjylland;  0
2020-05-21;Ukendt_region;  0
2020-05-22;Hovedstaden;  9
2020-05-22;Sjælland;  2
2020-05-22;Syddanmark;  0
2020-05-22;Midtjylland;  2
2020-05-22;Nordjylland;  0
2020-05-22;Ukendt_region;  0
2020-05-23;Hovedstaden;  5
2020-05-23;Sjælland;  3
2020-05-23;Syddanmark;  0
2020-05-23;Midtjylland;  1
2020-05-23;Nordjylland;  0
2020-05-23;Ukendt_region;  0
2020-05-24;Hovedstaden;  1
2020-05-24;Sjælland;  1
2020-05-24;Syddanmark;  0
2020-05-24;Midtjylland;  0
2020-05-24;Nordjylland;  0
2020-05-24;Ukendt_region;  0
2020-05-25;Hovedstaden;  4
2020-05-25;Sjælland;  0
2020-05-25;Syddanmark;  2
2020-05-25;Midtjylland;  0
2020-05-25;Nordjylland;  0
2020-05-25;Ukendt_region;  0
2020-05-26;Hovedstaden;  7
2020-05-26;Sjælland;  0
2020-05-26;Syddanmark;  3
2020-05-26;Midtjylland;  0
2020-05-26;Nordjylland;  1
2020-05-26;Ukendt_region;  0
2020-05-27;Hovedstaden;  5
2020-05-27;Sjælland;  2
2020-05-27;Syddanmark;  0
2020-05-27;Midtjylland;  0
2020-05-27;Nordjylland;  0
2020-05-27;Ukendt_region;  0
2020-05-28;Hovedstaden;  5
2020-05-28;Sjælland;  0
2020-05-28;Syddanmark;  0
2020-05-28;Midtjylland;  0
2020-05-28;Nordjylland;  0
2020-05-28;Ukendt_region;  0
2020-05-29;Hovedstaden;  8
2020-05-29;Sjælland;  1
2020-05-29;Syddanmark;  0
2020-05-29;Midtjylland;  0
2020-05-29;Nordjylland;  0
2020-05-29;Ukendt_region;  0
2020-05-30;Hovedstaden;  5
2020-05-30;Sjælland;  1
2020-05-30;Syddanmark;  0
2020-05-30;Midtjylland;  1
2020-05-30;Nordjylland;  0
2020-05-30;Ukendt_region;  0
2020-05-31;Hovedstaden;  3
2020-05-31;Sjælland;  0
2020-05-31;Syddanmark;  1
2020-05-31;Midtjylland;  0
2020-05-31;Nordjylland;  0
2020-05-31;Ukendt_region;  0
2020-06-01;Hovedstaden;  3
2020-06-01;Sjælland;  0
2020-06-01;Syddanmark;  1
2020-06-01;Midtjylland;  1
2020-06-01;Nordjylland;  0
2020-06-01;Ukendt_region;  0
2020-06-02;Hovedstaden;  4
2020-06-02;Sjælland;  2
2020-06-02;Syddanmark;  0
2020-06-02;Midtjylland;  0
2020-06-02;Nordjylland;  0
2020-06-02;Ukendt_region;  0
2020-06-03;Hovedstaden;  1
2020-06-03;Sjælland;  2
2020-06-03;Syddanmark;  0
2020-06-03;Midtjylland;  0
2020-06-03;Nordjylland;  0
2020-06-03;Ukendt_region;  0
2020-06-04;Hovedstaden;  2
2020-06-04;Sjælland;  2
2020-06-04;Syddanmark;  1
2020-06-04;Midtjylland;  0
2020-06-04;Nordjylland;  0
2020-06-04;Ukendt_region;  0
2020-06-05;Hovedstaden;  7
2020-06-05;Sjælland;  1
2020-06-05;Syddanmark;  1
2020-06-05;Midtjylland;  0
2020-06-05;Nordjylland;  0
2020-06-05;Ukendt_region;  0
2020-06-06;Hovedstaden;  2
2020-06-06;Sjælland;  0
2020-06-06;Syddanmark;  0
2020-06-06;Midtjylland;  0
2020-06-06;Nordjylland;  0
2020-06-06;Ukendt_region;  0
2020-06-07;Hovedstaden;  3
2020-06-07;Sjælland;  0
2020-06-07;Syddanmark;  1
2020-06-07;Midtjylland;  0
2020-06-07;Nordjylland;  0
2020-06-07;Ukendt_region;  0
2020-06-08;Hovedstaden;  3
2020-06-08;Sjælland;  1
2020-06-08;Syddanmark;  0
2020-06-08;Midtjylland;  0
2020-06-08;Nordjylland;  0
2020-06-08;Ukendt_region;  1
2020-06-09;Hovedstaden;  0
2020-06-09;Sjælland;  1
2020-06-09;Syddanmark;  0
2020-06-09;Midtjylland;  0
2020-06-09;Nordjylland;  0
2020-06-09;Ukendt_region;  0
2020-06-10;Hovedstaden;  0
2020-06-10;Sjælland;  0
2020-06-10;Syddanmark;  0
2020-06-10;Midtjylland;  0
2020-06-10;Nordjylland;  1
2020-06-10;Ukendt_region;  0
2020-06-11;Hovedstaden;  0
2020-06-11;Sjælland;  0
2020-06-11;Syddanmark;  0
2020-06-11;Midtjylland;  0
2020-06-11;Nordjylland;  1
2020-06-11;Ukendt_region;  0
2020-06-12;Hovedstaden;  3
2020-06-12;Sjælland;  2
2020-06-12;Syddanmark;  0
2020-06-12;Midtjylland;  0
2020-06-12;Nordjylland;  1
2020-06-12;Ukendt_region;  0
2020-06-13;Hovedstaden;  3
2020-06-13;Sjælland;  1
2020-06-13;Syddanmark;  0
2020-06-13;Midtjylland;  0
2020-06-13;Nordjylland;  0
2020-06-13;Ukendt_region;  0
2020-06-14;Hovedstaden;  1
2020-06-14;Sjælland;  0
2020-06-14;Syddanmark;  0
2020-06-14;Midtjylland;  0
2020-06-14;Nordjylland;  0
2020-06-14;Ukendt_region;  0
2020-06-15;Hovedstaden;  1
2020-06-15;Sjælland;  1
2020-06-15;Syddanmark;  0
2020-06-15;Midtjylland;  0
2020-06-15;Nordjylland;  0
2020-06-15;Ukendt_region;  0
2020-06-16;Hovedstaden;  2
2020-06-16;Sjælland;  3
2020-06-16;Syddanmark;  0
2020-06-16;Midtjylland;  0
2020-06-16;Nordjylland;  1
2020-06-16;Ukendt_region;  1
2020-06-17;Hovedstaden;  2
2020-06-17;Sjælland;  0
2020-06-17;Syddanmark;  1
2020-06-17;Midtjylland;  0
2020-06-17;Nordjylland;  2
2020-06-17;Ukendt_region;  0
2020-06-18;Hovedstaden;  1
2020-06-18;Sjælland;  0
2020-06-18;Syddanmark;  0
2020-06-18;Midtjylland;  0
2020-06-18;Nordjylland;  1
2020-06-18;Ukendt_region;  0
2020-06-19;Hovedstaden;  2
2020-06-19;Sjælland;  2
2020-06-19;Syddanmark;  0
2020-06-19;Midtjylland;  0
2020-06-19;Nordjylland;  0
2020-06-19;Ukendt_region;  0
2020-06-20;Hovedstaden;  1
2020-06-20;Sjælland;  1
2020-06-20;Syddanmark;  0
2020-06-20;Midtjylland;  0
2020-06-20;Nordjylland;  2
2020-06-20;Ukendt_region;  0
2020-06-21;Hovedstaden;  2
2020-06-21;Sjælland;  0
2020-06-21;Syddanmark;  0
2020-06-21;Midtjylland;  1
2020-06-21;Nordjylland;  1
2020-06-21;Ukendt_region;  0
2020-06-22;Hovedstaden;  2
2020-06-22;Sjælland;  1
2020-06-22;Syddanmark;  0
2020-06-22;Midtjylland;  0
2020-06-22;Nordjylland;  2
2020-06-22;Ukendt_region;  0
2020-06-23;Hovedstaden;  1
2020-06-23;Sjælland;  0
2020-06-23;Syddanmark;  0
2020-06-23;Midtjylland;  2
2020-06-23;Nordjylland;  1
2020-06-23;Ukendt_region;  0
2020-06-24;Hovedstaden;  3
2020-06-24;Sjælland;  0
2020-06-24;Syddanmark;  0
2020-06-24;Midtjylland;  0
2020-06-24;Nordjylland;  3
2020-06-24;Ukendt_region;  0
2020-06-25;Hovedstaden;  3
2020-06-25;Sjælland;  1
2020-06-25;Syddanmark;  0
2020-06-25;Midtjylland;  0
2020-06-25;Nordjylland;  1
2020-06-25;Ukendt_region;  0
2020-06-26;Hovedstaden;  1
2020-06-26;Sjælland;  0
2020-06-26;Syddanmark;  0
2020-06-26;Midtjylland;  0
2020-06-26;Nordjylland;  0
2020-06-26;Ukendt_region;  0
2020-06-27;Hovedstaden;  1
2020-06-27;Sjælland;  1
2020-06-27;Syddanmark;  0
2020-06-27;Midtjylland;  1
2020-06-27;Nordjylland;  1
2020-06-27;Ukendt_region;  0
2020-06-28;Hovedstaden;  1
2020-06-28;Sjælland;  1
2020-06-28;Syddanmark;  0
2020-06-28;Midtjylland;  0
2020-06-28;Nordjylland;  4
2020-06-28;Ukendt_region;  0
2020-06-29;Hovedstaden;  1
2020-06-29;Sjælland;  0
2020-06-29;Syddanmark;  0
2020-06-29;Midtjylland;  0
2020-06-29;Nordjylland;  2
2020-06-29;Ukendt_region;  0
2020-06-30;Hovedstaden;  0
2020-06-30;Sjælland;  0
2020-06-30;Syddanmark;  0
2020-06-30;Midtjylland;  0
2020-06-30;Nordjylland;  0
2020-06-30;Ukendt_region;  0
2020-07-01;Hovedstaden;  1
2020-07-01;Sjælland;  1
2020-07-01;Syddanmark;  0
2020-07-01;Midtjylland;  0
2020-07-01;Nordjylland;  0
2020-07-01;Ukendt_region;  0
2020-07-02;Hovedstaden;  2
2020-07-02;Sjælland;  0
2020-07-02;Syddanmark;  1
2020-07-02;Midtjylland;  0
2020-07-02;Nordjylland;  1
2020-07-02;Ukendt_region;  0
2020-07-03;Hovedstaden;  0
2020-07-03;Sjælland;  0
2020-07-03;Syddanmark;  0
2020-07-03;Midtjylland;  1
2020-07-03;Nordjylland;  0
2020-07-03;Ukendt_region;  0
2020-07-04;Hovedstaden;  0
2020-07-04;Sjælland;  0
2020-07-04;Syddanmark;  0
2020-07-04;Midtjylland;  0
2020-07-04;Nordjylland;  0
2020-07-04;Ukendt_region;  0
2020-07-05;Hovedstaden;  1
2020-07-05;Sjælland;  0
2020-07-05;Syddanmark;  1
2020-07-05;Midtjylland;  0
2020-07-05;Nordjylland;  0
2020-07-05;Ukendt_region;  0
2020-07-06;Hovedstaden;  1
2020-07-06;Sjælland;  1
2020-07-06;Syddanmark;  0
2020-07-06;Midtjylland;  0
2020-07-06;Nordjylland;  0
2020-07-06;Ukendt_region;  0
2020-07-07;Hovedstaden;  1
2020-07-07;Sjælland;  0
2020-07-07;Syddanmark;  0
2020-07-07;Midtjylland;  0
2020-07-07;Nordjylland;  1
2020-07-07;Ukendt_region;  0
2020-07-08;Hovedstaden;  0
2020-07-08;Sjælland;  0
2020-07-08;Syddanmark;  0
2020-07-08;Midtjylland;  0
2020-07-08;Nordjylland;  1
2020-07-08;Ukendt_region;  0
2020-07-09;Hovedstaden;  1
2020-07-09;Sjælland;  1
2020-07-09;Syddanmark;  1
2020-07-09;Midtjylland;  0
2020-07-09;Nordjylland;  0
2020-07-09;Ukendt_region;  0
2020-07-10;Hovedstaden;  1
2020-07-10;Sjælland;  0
2020-07-10;Syddanmark;  0
2020-07-10;Midtjylland;  0
2020-07-10;Nordjylland;  2
2020-07-10;Ukendt_region;  0
2020-07-11;Hovedstaden;  4
2020-07-11;Sjælland;  0
2020-07-11;Syddanmark;  0
2020-07-11;Midtjylland;  0
2020-07-11;Nordjylland;  1
2020-07-11;Ukendt_region;  0
2020-07-12;Hovedstaden;  0
2020-07-12;Sjælland;  0
2020-07-12;Syddanmark;  0
2020-07-12;Midtjylland;  0
2020-07-12;Nordjylland;  0
2020-07-12;Ukendt_region;  0
2020-07-13;Hovedstaden;  0
2020-07-13;Sjælland;  0
2020-07-13;Syddanmark;  0
2020-07-13;Midtjylland;  0
2020-07-13;Nordjylland;  0
2020-07-13;Ukendt_region;  0
2020-07-14;Hovedstaden;  2
2020-07-14;Sjælland;  0
2020-07-14;Syddanmark;  0
2020-07-14;Midtjylland;  1
