"Indlæggelsesdato";"Indlæggelser"
2020-12-07;90
2020-12-08;62
2020-12-09;76
2020-12-10;100
2020-12-11;94
2020-12-12;85
2020-12-13;103
2020-12-14;126
2020-12-15;145
2020-12-16;141
2020-12-17;147
2020-12-18;149
2020-12-19;153
2020-12-20;128
2020-12-21;183
2020-12-22;147
2020-12-23;152
2020-12-24;122
2020-12-25;167
2020-12-26;144
2020-12-27;138
2020-12-28;210
2020-12-29;144
2020-12-30;126
2020-12-31;122
2021-01-01;150
2021-01-02;139
2021-01-03;116
2021-01-04;158
2021-01-05;105
2021-01-06;128
2021-01-07;139
2021-01-08;117
2021-01-09;113
2021-01-10;107
2021-01-11;123
2021-01-12;97
2021-01-13;106
2021-01-14;88
2021-01-15;99
2021-01-16;79
2021-01-17;80
2021-01-18;125
2021-01-19;105
2021-01-20;66
2021-01-21;89
2021-01-22;81
2021-01-23;59
2021-01-24;60
2021-01-25;73
2021-01-26;50
2021-01-27;58
2021-01-28;51
2021-01-29;48
2021-01-30;29
2021-01-31;41
2021-02-01;47
2021-02-02;36
2021-02-03;32
2021-02-04;32
2021-02-05;39
2021-02-06;21
2021-02-07;30
2021-02-08;35
2021-02-09;40
2021-02-10;36
2021-02-11;23
2021-02-12;22
2021-02-13;33
2021-02-14;21
2021-02-15;25
2021-02-16;20
2021-02-17;22
2021-02-18;31
2021-02-19;31
2021-02-20;24
2021-02-21;19
2021-02-22;28
2021-02-23;24
2021-02-24;32
2021-02-25;34
2021-02-26;26
2021-02-27;27
2021-02-28;22
2021-03-01;25
2021-03-02;37
2021-03-03;28
2021-03-04;29
2021-03-05;23
2021-03-06;40
2021-03-07;22
2021-03-08;23
2021-03-09;32
2021-03-10;30
2021-03-11;29
2021-03-12;16
2021-03-13;31
2021-03-14;25
2021-03-15;25
2021-03-16;34
2021-03-17;29
2021-03-18;26
2021-03-19;18
2021-03-20;21
2021-03-21;31
2021-03-22;42
2021-03-23;24
2021-03-24;29
2021-03-25;39
2021-03-26;31
2021-03-27;39
2021-03-28;33
2021-03-29;51
2021-03-30;35
2021-03-31;45
2021-04-01;32
2021-04-02;29
