"Ugenummer","Målgruppe","Dækning førstegangsvaccinerede (kumulativt i %)","Dækning færdigvaccinerede (kumulativt i %)"
2021-W01,5. Udvalgte patienter med særligt øget risiko,1.18,0.00
2021-W01,6. Udvalgte pårørende til personer med særligt øget risiko,0.00,0.00
2021-W01,7. Personer fra årgang 1937-1941,0.22,0.00
2021-W01,8. Personer fra årgang 1942-1946,0.16,0.00
2021-W01,9. Personer fra årgang 1947-1956,0.15,0.00
2021-W01,10A. Personer fra årgang 1957-1961,0.16,0.00
2021-W01,10B. Personer fra årgang 1962-1966,0.14,0.00
2021-W01,10C. Personer fra årgang 1967-1971,0.11,0.00
2021-W01,Resterende,0.04,0.00
2021-W02,1. Plejehjemsbeboere,81.69,0.68
2021-W02,"2. Borgere > 65, praktisk hjælp og personlig pleje",39.63,0.00
2021-W02,3. Borgere fra årgang 1936 og derunder (85 år og ældre),0.86,0.00
2021-W02,4. Personale i sundhedsvæsenet og dele af socialvæsenet,29.97,0.13
2021-W02,5. Udvalgte patienter med særligt øget risiko,5.47,0.00
2021-W02,6. Udvalgte pårørende til personer med særligt øget risiko,0.00,0.00
2021-W02,7. Personer fra årgang 1937-1941,0.38,0.00
2021-W02,8. Personer fra årgang 1942-1946,0.26,0.00
2021-W02,9. Personer fra årgang 1947-1956,0.21,0.00
2021-W02,10A. Personer fra årgang 1957-1961,0.21,0.00
2021-W02,10B. Personer fra årgang 1962-1966,0.18,0.00
2021-W02,10C. Personer fra årgang 1967-1971,0.15,0.00
2021-W02,Resterende,0.06,0.00
2021-W03,1. Plejehjemsbeboere,83.53,28.24
2021-W03,"2. Borgere > 65, praktisk hjælp og personlig pleje",44.86,0.25
2021-W03,3. Borgere fra årgang 1936 og derunder (85 år og ældre),1.07,0.14
2021-W03,4. Personale i sundhedsvæsenet og dele af socialvæsenet,31.54,4.79
2021-W03,5. Udvalgte patienter med særligt øget risiko,6.17,0.12
2021-W03,7. Personer fra årgang 1937-1941,0.48,0.06
2021-W03,8. Personer fra årgang 1942-1946,0.32,0.04
2021-W03,9. Personer fra årgang 1947-1956,0.24,0.04
2021-W03,10A. Personer fra årgang 1957-1961,0.24,0.03
2021-W03,10B. Personer fra årgang 1962-1966,0.20,0.04
2021-W03,10C. Personer fra årgang 1967-1971,0.17,0.03
2021-W03,Resterende,0.06,0.01
2021-W04,1. Plejehjemsbeboere,85.02,68.99
2021-W04,"2. Borgere > 65, praktisk hjælp og personlig pleje",45.10,5.41
2021-W04,3. Borgere fra årgang 1936 og derunder (85 år og ældre),1.11,0.42
2021-W04,4. Personale i sundhedsvæsenet og dele af socialvæsenet,32.31,16.47
2021-W04,5. Udvalgte patienter med særligt øget risiko,6.49,0.90
2021-W04,7. Personer fra årgang 1937-1941,0.50,0.18
2021-W04,8. Personer fra årgang 1942-1946,0.34,0.13
2021-W04,9. Personer fra årgang 1947-1956,0.26,0.11
2021-W04,10A. Personer fra årgang 1957-1961,0.26,0.12
2021-W04,10B. Personer fra årgang 1962-1966,0.22,0.11
2021-W04,10C. Personer fra årgang 1967-1971,0.18,0.09
2021-W04,Resterende,0.07,0.03
2021-W05,1. Plejehjemsbeboere,85.58,77.23
2021-W05,"2. Borgere > 65, praktisk hjælp og personlig pleje",50.91,30.32
2021-W05,3. Borgere fra årgang 1936 og derunder (85 år og ældre),4.40,0.71
2021-W05,4. Personale i sundhedsvæsenet og dele af socialvæsenet,33.10,24.23
2021-W05,5. Udvalgte patienter med særligt øget risiko,6.68,4.46
2021-W05,6. Udvalgte pårørende til personer med særligt øget risiko,0.00,0.00
2021-W05,7. Personer fra årgang 1937-1941,0.55,0.33
2021-W05,8. Personer fra årgang 1942-1946,0.37,0.22
2021-W05,9. Personer fra årgang 1947-1956,0.28,0.18
2021-W05,10A. Personer fra årgang 1957-1961,0.28,0.18
2021-W05,10B. Personer fra årgang 1962-1966,0.23,0.16
2021-W05,10C. Personer fra årgang 1967-1971,0.20,0.13
2021-W05,Resterende,0.08,0.05
2021-W06,1. Plejehjemsbeboere,86.55,78.55
2021-W06,"2. Borgere > 65, praktisk hjælp og personlig pleje",55.20,43.17
2021-W06,3. Borgere fra årgang 1936 og derunder (85 år og ældre),21.06,1.00
2021-W06,4. Personale i sundhedsvæsenet og dele af socialvæsenet,39.50,29.49
2021-W06,5. Udvalgte patienter med særligt øget risiko,7.11,5.53
2021-W06,7. Personer fra årgang 1937-1941,0.62,0.44
2021-W06,8. Personer fra årgang 1942-1946,0.42,0.28
2021-W06,9. Personer fra årgang 1947-1956,0.31,0.21
2021-W06,10A. Personer fra årgang 1957-1961,0.29,0.21
2021-W06,10B. Personer fra årgang 1962-1966,0.25,0.18
2021-W06,10C. Personer fra årgang 1967-1971,0.21,0.15
2021-W06,Resterende,0.08,0.06
2021-W07,1. Plejehjemsbeboere,88.28,79.34
2021-W07,"2. Borgere > 65, praktisk hjælp og personlig pleje",67.39,43.88
2021-W07,3. Borgere fra årgang 1936 og derunder (85 år og ældre),62.39,1.03
2021-W07,4. Personale i sundhedsvæsenet og dele af socialvæsenet,48.53,30.80
2021-W07,5. Udvalgte patienter med særligt øget risiko,10.61,6.32
2021-W07,6. Udvalgte pårørende til personer med særligt øget risiko,0.00,0.00
2021-W07,7. Personer fra årgang 1937-1941,0.72,0.46
2021-W07,8. Personer fra årgang 1942-1946,0.47,0.31
2021-W07,9. Personer fra årgang 1947-1956,0.34,0.23
2021-W07,10A. Personer fra årgang 1957-1961,0.33,0.23
2021-W07,10B. Personer fra årgang 1962-1966,0.28,0.19
2021-W07,10C. Personer fra årgang 1967-1971,0.23,0.16
2021-W07,Resterende,0.09,0.06
2021-W08,1. Plejehjemsbeboere,90.47,82.81
2021-W08,"2. Borgere > 65, praktisk hjælp og personlig pleje",72.08,48.49
2021-W08,3. Borgere fra årgang 1936 og derunder (85 år og ældre),79.95,1.12
2021-W08,4. Personale i sundhedsvæsenet og dele af socialvæsenet,64.80,32.15
2021-W08,5. Udvalgte patienter med særligt øget risiko,26.72,6.53
2021-W08,6. Udvalgte pårørende til personer med særligt øget risiko,0.00,0.00
2021-W08,7. Personer fra årgang 1937-1941,0.91,0.53
2021-W08,8. Personer fra årgang 1942-1946,0.54,0.35
2021-W08,9. Personer fra årgang 1947-1956,0.40,0.26
2021-W08,10A. Personer fra årgang 1957-1961,0.37,0.26
2021-W08,10B. Personer fra årgang 1962-1966,0.32,0.21
2021-W08,10C. Personer fra årgang 1967-1971,0.26,0.18
2021-W08,Resterende,0.10,0.07
2021-W09,1. Plejehjemsbeboere,91.17,83.81
2021-W09,"2. Borgere > 65, praktisk hjælp og personlig pleje",75.44,53.05
2021-W09,3. Borgere fra årgang 1936 og derunder (85 år og ældre),86.12,13.15
2021-W09,4. Personale i sundhedsvæsenet og dele af socialvæsenet,82.40,33.15
2021-W09,5. Udvalgte patienter med særligt øget risiko,46.32,6.93
2021-W09,6. Udvalgte pårørende til personer med særligt øget risiko,4.63,0.00
2021-W09,7. Personer fra årgang 1937-1941,1.10,0.60
2021-W09,8. Personer fra årgang 1942-1946,0.63,0.40
2021-W09,9. Personer fra årgang 1947-1956,0.46,0.29
2021-W09,10A. Personer fra årgang 1957-1961,0.43,0.28
2021-W09,10B. Personer fra årgang 1962-1966,0.38,0.23
2021-W09,10C. Personer fra årgang 1967-1971,0.30,0.20
2021-W09,Resterende,0.12,0.07
2021-W10,1. Plejehjemsbeboere,92.09,85.90
2021-W10,"2. Borgere > 65, praktisk hjælp og personlig pleje",79.31,63.89
2021-W10,3. Borgere fra årgang 1936 og derunder (85 år og ældre),89.29,50.61
2021-W10,4. Personale i sundhedsvæsenet og dele af socialvæsenet,89.33,34.43
2021-W10,5. Udvalgte patienter med særligt øget risiko,53.21,9.86
2021-W10,6. Udvalgte pårørende til personer med særligt øget risiko,7.57,0.00
2021-W10,7. Personer fra årgang 1937-1941,1.68,0.69
2021-W10,8. Personer fra årgang 1942-1946,0.80,0.45
2021-W10,9. Personer fra årgang 1947-1956,0.56,0.32
2021-W10,10A. Personer fra årgang 1957-1961,0.52,0.31
2021-W10,10B. Personer fra årgang 1962-1966,0.45,0.26
2021-W10,10C. Personer fra årgang 1967-1971,0.36,0.22
2021-W10,Resterende,0.14,0.08
2021-W11,1. Plejehjemsbeboere,92.66,86.98
2021-W11,"2. Borgere > 65, praktisk hjælp og personlig pleje",82.59,69.47
2021-W11,3. Borgere fra årgang 1936 og derunder (85 år og ældre),91.25,75.47
2021-W11,4. Personale i sundhedsvæsenet og dele af socialvæsenet,90.19,35.76
2021-W11,5. Udvalgte patienter med særligt øget risiko,62.22,19.97
2021-W11,6. Udvalgte pårørende til personer med særligt øget risiko,10.03,0.00
2021-W11,7. Personer fra årgang 1937-1941,16.87,0.85
2021-W11,8. Personer fra årgang 1942-1946,1.04,0.51
2021-W11,9. Personer fra årgang 1947-1956,0.70,0.37
2021-W11,10A. Personer fra årgang 1957-1961,0.62,0.35
2021-W11,10B. Personer fra årgang 1962-1966,0.54,0.30
2021-W11,10C. Personer fra årgang 1967-1971,0.44,0.25
2021-W11,Resterende,0.17,0.09
2021-W12,1. Plejehjemsbeboere,93.42,88.72
2021-W12,"2. Borgere > 65, praktisk hjælp og personlig pleje",85.38,71.79
2021-W12,3. Borgere fra årgang 1936 og derunder (85 år og ældre),92.34,80.79
2021-W12,4. Personale i sundhedsvæsenet og dele af socialvæsenet,90.65,36.83
2021-W12,5. Udvalgte patienter med særligt øget risiko,68.29,36.50
2021-W12,6. Udvalgte pårørende til personer med særligt øget risiko,13.75,0.00
2021-W12,7. Personer fra årgang 1937-1941,42.17,0.92
2021-W12,8. Personer fra årgang 1942-1946,1.79,0.56
2021-W12,9. Personer fra årgang 1947-1956,0.84,0.41
2021-W12,10A. Personer fra årgang 1957-1961,0.66,0.38
2021-W12,10B. Personer fra årgang 1962-1966,0.59,0.33
2021-W12,10C. Personer fra årgang 1967-1971,0.47,0.27
2021-W12,Resterende,0.19,0.10
2021-W13,1. Plejehjemsbeboere,93.69,89.43
2021-W13,"2. Borgere > 65, praktisk hjælp og personlig pleje",86.87,74.31
2021-W13,3. Borgere fra årgang 1936 og derunder (85 år og ældre),93.08,85.61
2021-W13,4. Personale i sundhedsvæsenet og dele af socialvæsenet,90.92,38.20
2021-W13,5. Udvalgte patienter med særligt øget risiko,76.76,48.10
2021-W13,6. Udvalgte pårørende til personer med særligt øget risiko,16.74,5.11
2021-W13,7. Personer fra årgang 1937-1941,68.53,1.11
2021-W13,8. Personer fra årgang 1942-1946,13.32,0.63
2021-W13,9. Personer fra årgang 1947-1956,1.13,0.47
2021-W13,10A. Personer fra årgang 1957-1961,0.74,0.44
2021-W13,10B. Personer fra årgang 1962-1966,0.66,0.37
2021-W13,10C. Personer fra årgang 1967-1971,0.54,0.31
2021-W13,Resterende,0.21,0.12
2021-W14,1. Plejehjemsbeboere,93.96,90.44
2021-W14,"2. Borgere > 65, praktisk hjælp og personlig pleje",87.90,79.64
2021-W14,3. Borgere fra årgang 1936 og derunder (85 år og ældre),93.55,89.42
2021-W14,4. Personale i sundhedsvæsenet og dele af socialvæsenet,91.32,39.47
2021-W14,5. Udvalgte patienter med særligt øget risiko,80.80,57.18
2021-W14,6. Udvalgte pårørende til personer med særligt øget risiko,23.44,7.72
2021-W14,7. Personer fra årgang 1937-1941,83.83,5.99
2021-W14,8. Personer fra årgang 1942-1946,39.50,0.88
2021-W14,9. Personer fra årgang 1947-1956,3.75,0.60
2021-W14,10A. Personer fra årgang 1957-1961,0.83,0.56
2021-W14,10B. Personer fra årgang 1962-1966,0.73,0.48
2021-W14,10C. Personer fra årgang 1967-1971,0.60,0.39
2021-W14,Resterende,0.23,0.15
2021-W15,1. Plejehjemsbeboere,94.49,91.22
2021-W15,"2. Borgere > 65, praktisk hjælp og personlig pleje",88.75,83.34
2021-W15,3. Borgere fra årgang 1936 og derunder (85 år og ældre),93.99,91.23
2021-W15,4. Personale i sundhedsvæsenet og dele af socialvæsenet,91.61,40.22
2021-W15,5. Udvalgte patienter med særligt øget risiko,83.95,65.06
2021-W15,6. Udvalgte pårørende til personer med særligt øget risiko,55.57,11.34
2021-W15,7. Personer fra årgang 1937-1941,90.58,26.45
2021-W15,8. Personer fra årgang 1942-1946,80.01,1.15
2021-W15,9. Personer fra årgang 1947-1956,18.12,0.74
2021-W15,10A. Personer fra årgang 1957-1961,0.97,0.63
2021-W15,10B. Personer fra årgang 1962-1966,0.83,0.55
2021-W15,10C. Personer fra årgang 1967-1971,0.67,0.44
2021-W15,Resterende,0.26,0.18
2021-W16,1. Plejehjemsbeboere,94.80,91.62
2021-W16,"2. Borgere > 65, praktisk hjælp og personlig pleje",89.35,85.01
2021-W16,3. Borgere fra årgang 1936 og derunder (85 år og ældre),94.29,92.13
2021-W16,4. Personale i sundhedsvæsenet og dele af socialvæsenet,91.86,40.56
2021-W16,5. Udvalgte patienter med særligt øget risiko,86.18,73.44
2021-W16,6. Udvalgte pårørende til personer med særligt øget risiko,74.77,14.57
2021-W16,7. Personer fra årgang 1937-1941,92.34,54.80
2021-W16,8. Personer fra årgang 1942-1946,88.87,6.72
2021-W16,9. Personer fra årgang 1947-1956,40.04,0.96
2021-W16,10A. Personer fra årgang 1957-1961,1.10,0.67
2021-W16,10B. Personer fra årgang 1962-1966,0.94,0.58
2021-W16,10C. Personer fra årgang 1967-1971,0.76,0.47
2021-W16,Resterende,0.29,0.19
2021-W17,1. Plejehjemsbeboere,95.02,91.88
2021-W17,"2. Borgere > 65, praktisk hjælp og personlig pleje",89.88,86.02
2021-W17,3. Borgere fra årgang 1936 og derunder (85 år og ældre),94.61,92.67
2021-W17,4. Personale i sundhedsvæsenet og dele af socialvæsenet,92.19,43.04
2021-W17,5. Udvalgte patienter med særligt øget risiko,88.44,78.29
2021-W17,6. Udvalgte pårørende til personer med særligt øget risiko,81.67,18.86
2021-W17,7. Personer fra årgang 1937-1941,93.79,73.87
2021-W17,8. Personer fra årgang 1942-1946,92.63,24.81
2021-W17,9. Personer fra årgang 1947-1956,62.31,1.70
2021-W17,10A. Personer fra årgang 1957-1961,3.25,0.76
2021-W17,10B. Personer fra årgang 1962-1966,1.06,0.66
2021-W17,10C. Personer fra årgang 1967-1971,0.85,0.54
2021-W17,Resterende,0.32,0.21
2021-W18,1. Plejehjemsbeboere,95.21,92.45
2021-W18,"2. Borgere > 65, praktisk hjælp og personlig pleje",90.52,86.95
2021-W18,3. Borgere fra årgang 1936 og derunder (85 år og ældre),94.86,93.12
2021-W18,4. Personale i sundhedsvæsenet og dele af socialvæsenet,93.50,49.55
2021-W18,5. Udvalgte patienter med særligt øget risiko,89.95,82.15
2021-W18,6. Udvalgte pårørende til personer med særligt øget risiko,84.71,45.97
2021-W18,7. Personer fra årgang 1937-1941,94.52,85.30
2021-W18,8. Personer fra årgang 1942-1946,93.66,67.26
2021-W18,9. Personer fra årgang 1947-1956,77.52,11.89
2021-W18,10A. Personer fra årgang 1957-1961,18.10,0.83
2021-W18,10B. Personer fra årgang 1962-1966,1.37,0.72
2021-W18,10C. Personer fra årgang 1967-1971,0.97,0.59
2021-W18,Resterende,0.35,0.23
2021-W19,1. Plejehjemsbeboere,95.37,92.77
2021-W19,"2. Borgere > 65, praktisk hjælp og personlig pleje",90.95,87.60
2021-W19,3. Borgere fra årgang 1936 og derunder (85 år og ældre),95.03,93.49
2021-W19,4. Personale i sundhedsvæsenet og dele af socialvæsenet,95.02,58.24
2021-W19,5. Udvalgte patienter med særligt øget risiko,90.94,84.42
2021-W19,6. Udvalgte pårørende til personer med særligt øget risiko,86.49,66.04
2021-W19,7. Personer fra årgang 1937-1941,95.15,90.57
2021-W19,8. Personer fra årgang 1942-1946,94.69,83.79
2021-W19,9. Personer fra årgang 1947-1956,87.52,29.41
2021-W19,10A. Personer fra årgang 1957-1961,42.65,0.95
2021-W19,10B. Personer fra årgang 1962-1966,7.63,0.83
2021-W19,10C. Personer fra årgang 1967-1971,1.16,0.67
2021-W19,Resterende,0.40,0.26
2021-W20,1. Plejehjemsbeboere,95.52,93.04
2021-W20,"2. Borgere > 65, praktisk hjælp og personlig pleje",91.41,88.18
2021-W20,3. Borgere fra årgang 1936 og derunder (85 år og ældre),95.20,93.83
2021-W20,4. Personale i sundhedsvæsenet og dele af socialvæsenet,96.99,72.83
2021-W20,5. Udvalgte patienter med særligt øget risiko,91.89,86.43
2021-W20,6. Udvalgte pårørende til personer med særligt øget risiko,89.15,76.22
2021-W20,7. Personer fra årgang 1937-1941,95.59,92.47
2021-W20,8. Personer fra årgang 1942-1946,95.36,90.61
2021-W20,9. Personer fra årgang 1947-1956,91.53,43.16
2021-W20,10A. Personer fra årgang 1957-1961,65.79,1.05
2021-W20,10B. Personer fra årgang 1962-1966,32.52,0.91
2021-W20,10C. Personer fra årgang 1967-1971,7.49,0.74
2021-W20,Resterende,0.46,0.28
2021-W21,1. Plejehjemsbeboere,95.52,93.04
2021-W21,"2. Borgere > 65, praktisk hjælp og personlig pleje",91.41,88.18
2021-W21,3. Borgere fra årgang 1936 og derunder (85 år og ældre),95.20,93.83
2021-W21,4. Personale i sundhedsvæsenet og dele af socialvæsenet,97.12,74.05
2021-W21,5. Udvalgte patienter med særligt øget risiko,91.94,86.55
2021-W21,6. Udvalgte pårørende til personer med særligt øget risiko,89.15,76.22
2021-W21,7. Personer fra årgang 1937-1941,95.63,92.56
2021-W21,8. Personer fra årgang 1942-1946,95.40,90.87
2021-W21,9. Personer fra årgang 1947-1956,91.77,44.09
2021-W21,10A. Personer fra årgang 1957-1961,67.35,1.05
2021-W21,10B. Personer fra årgang 1962-1966,35.80,0.91
2021-W21,10C. Personer fra årgang 1967-1971,9.01,0.74
2021-W21,Resterende,0.47,0.28
