"Målgruppe","Ansættelsessted","Bopælsregion","Population","Antal førstevaccinerede","Antal færdigvaccinerede","Førstegangs vaccinerede dækning (%)","Færdigvaccinerede dækning (%)"
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Praktiserende speciallæger,Nordjylland,152,137,106,90.1,69.7
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Praktiserende speciallæger,Sjælland,309,304,164,98.4,53.1
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Praktiserende speciallæger,Syddanmark,375,354,138,94.4,36.8
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Tandlægepraksis,Hovedstaden,3039,3009,1934,99.0,63.6
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Tandlægepraksis,Midtjylland,2390,2318,720,97.0,30.1
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Tandlægepraksis,Nordjylland,644,581,452,90.2,70.2
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Tandlægepraksis,Sjælland,1351,1337,738,99.0,54.6
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Tandlægepraksis,Syddanmark,1625,1560,674,96.0,41.5
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Øvrige sundhedsvæsen,Hovedstaden,5202,5086,3581,97.8,68.8
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Øvrige sundhedsvæsen,Midtjylland,2380,2228,1180,93.6,49.6
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Øvrige sundhedsvæsen,Nordjylland,1444,1361,1009,94.3,69.9
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Øvrige sundhedsvæsen,Sjælland,1755,1722,1263,98.1,72.0
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Øvrige sundhedsvæsen,Syddanmark,3551,3410,2243,96.0,63.2
5. Udvalgte patienter med særligt øget risiko,,Hovedstaden,70153,64187,61681,91.5,87.9
5. Udvalgte patienter med særligt øget risiko,,Midtjylland,61429,56509,51128,92.0,83.2
5. Udvalgte patienter med særligt øget risiko,,Nordjylland,17791,16514,15817,92.8,88.9
5. Udvalgte patienter med særligt øget risiko,,Sjælland,38577,35699,33442,92.5,86.7
5. Udvalgte patienter med særligt øget risiko,,Syddanmark,53708,49274,47093,91.7,87.7
6. Udvalgte pårørende til personer med særligt øget risiko,,Hovedstaden,635,569,502,89.6,79.1
6. Udvalgte pårørende til personer med særligt øget risiko,,Midtjylland,560,505,407,90.2,72.7
6. Udvalgte pårørende til personer med særligt øget risiko,,Nordjylland,287,265,238,92.3,82.9
6. Udvalgte pårørende til personer med særligt øget risiko,,Sjælland,444,415,382,93.5,86.0
6. Udvalgte pårørende til personer med særligt øget risiko,,Syddanmark,147,135,112,91.8,76.2
7. Personer fra årgang 1937-1941,,Hovedstaden,33890,32299,31677,95.3,93.5
7. Personer fra årgang 1937-1941,,Midtjylland,27541,26560,25847,96.4,93.8
7. Personer fra årgang 1937-1941,,Nordjylland,15219,14586,14338,95.8,94.2
7. Personer fra årgang 1937-1941,,Sjælland,20711,19646,18358,94.9,88.6
7. Personer fra årgang 1937-1941,,Syddanmark,30096,28806,27753,95.7,92.2
8. Personer fra årgang 1942-1946,,Hovedstaden,62183,59188,57652,95.2,92.7
8. Personer fra årgang 1942-1946,,Midtjylland,48181,46289,44763,96.1,92.9
8. Personer fra årgang 1942-1946,,Nordjylland,26602,25429,24582,95.6,92.4
8. Personer fra årgang 1942-1946,,Sjælland,38394,36453,33087,94.9,86.2
8. Personer fra årgang 1942-1946,,Syddanmark,51959,49521,46491,95.3,89.5
9. Personer fra årgang 1947-1956,,Hovedstaden,142091,131291,86686,92.4,61.0
9. Personer fra årgang 1947-1956,,Midtjylland,121020,113179,49391,93.5,40.8
9. Personer fra årgang 1947-1956,,Nordjylland,62999,57968,25641,92.0,40.7
9. Personer fra årgang 1947-1956,,Sjælland,87844,79637,33157,90.7,37.7
9. Personer fra årgang 1947-1956,,Syddanmark,124381,111939,42457,90.0,34.1
10A. Personer fra årgang 1957-1961,,Hovedstaden,79811,67541,1124,84.6,1.4
10A. Personer fra årgang 1957-1961,,Midtjylland,63091,35025,594,55.5,0.9
10A. Personer fra årgang 1957-1961,,Nordjylland,30930,13706,237,44.3,0.8
10A. Personer fra årgang 1957-1961,,Sjælland,45727,36021,412,78.8,0.9
10A. Personer fra årgang 1957-1961,,Syddanmark,63563,38395,611,60.4,1.0
10B. Personer fra årgang 1962-1966,,Hovedstaden,103144,69918,1050,67.8,1.0
10B. Personer fra årgang 1962-1966,,Midtjylland,75985,12201,603,16.1,0.8
10B. Personer fra årgang 1962-1966,,Nordjylland,35730,1303,272,3.6,0.8
10B. Personer fra årgang 1962-1966,,Sjælland,56221,24162,483,43.0,0.9
10B. Personer fra årgang 1962-1966,,Syddanmark,76771,16941,769,22.1,1.0
10C. Personer fra årgang 1967-1971,,Hovedstaden,105557,21034,870,19.9,0.8
10C. Personer fra årgang 1967-1971,,Midtjylland,74867,3081,430,4.1,0.6
10C. Personer fra årgang 1967-1971,,Nordjylland,32922,943,198,2.9,0.6
10C. Personer fra årgang 1967-1971,,Sjælland,53404,4346,389,8.1,0.7
10C. Personer fra årgang 1967-1971,,Syddanmark,72528,1181,638,1.6,0.9
Andre_vaccinerede,,Hovedstaden,0,2,0,0.0,0.0
Andre_vaccinerede,,Midtjylland,0,0,0,0.0,0.0
Andre_vaccinerede,,Nordjylland,0,0,0,0.0,0.0
Andre_vaccinerede,,Sjælland,0,5,0,0.0,0.0
Andre_vaccinerede,,Syddanmark,0,0,0,0.0,0.0
Resterende,,Hovedstaden,1112661,5657,2962,0.5,0.3
Resterende,,Midtjylland,748145,2411,1604,0.3,0.2
Resterende,,Nordjylland,312652,1441,931,0.5,0.3
Resterende,,Sjælland,424645,2839,1468,0.7,0.3
Resterende,,Syddanmark,645798,2967,2186,0.5,0.3
