"Kommune";"Dato";"Bekræftede tilfælde"
746;2020-05-02;1
751;2020-05-02;6
756;2020-05-02;1
779;2020-05-02;1
791;2020-05-02;2
810;2020-05-02;1
820;2020-05-02;1
101;2020-05-03;21
147;2020-05-03;9
151;2020-05-03;2
157;2020-05-03;3
159;2020-05-03;2
163;2020-05-03;1
165;2020-05-03;1
167;2020-05-03;3
169;2020-05-03;3
173;2020-05-03;1
175;2020-05-03;1
217;2020-05-03;2
223;2020-05-03;1
250;2020-05-03;1
253;2020-05-03;1
259;2020-05-03;1
326;2020-05-03;1
329;2020-05-03;1
340;2020-05-03;2
350;2020-05-03;2
360;2020-05-03;1
370;2020-05-03;2
376;2020-05-03;1
461;2020-05-03;5
657;2020-05-03;1
661;2020-05-03;1
710;2020-05-03;1
751;2020-05-03;5
756;2020-05-03;1
791;2020-05-03;1
810;2020-05-03;1
849;2020-05-03;1
101;2020-05-04;24
147;2020-05-04;8
151;2020-05-04;1
153;2020-05-04;1
157;2020-05-04;1
159;2020-05-04;6
161;2020-05-04;1
163;2020-05-04;2
165;2020-05-04;2
167;2020-05-04;4
169;2020-05-04;4
175;2020-05-04;3
183;2020-05-04;5
187;2020-05-04;2
210;2020-05-04;1
217;2020-05-04;5
219;2020-05-04;1
230;2020-05-04;4
240;2020-05-04;3
253;2020-05-04;1
259;2020-05-04;5
265;2020-05-04;2
306;2020-05-04;1
316;2020-05-04;1
320;2020-05-04;1
329;2020-05-04;3
330;2020-05-04;10
340;2020-05-04;1
350;2020-05-04;2
360;2020-05-04;1
370;2020-05-04;1
376;2020-05-04;1
540;2020-05-04;2
573;2020-05-04;1
621;2020-05-04;1
657;2020-05-04;2
665;2020-05-04;1
751;2020-05-04;1
756;2020-05-04;2
760;2020-05-04;1
791;2020-05-04;1
101;2020-05-05;26
147;2020-05-05;8
151;2020-05-05;5
153;2020-05-05;1
157;2020-05-05;2
159;2020-05-05;2
161;2020-05-05;2
163;2020-05-05;3
167;2020-05-05;5
169;2020-05-05;3
173;2020-05-05;2
175;2020-05-05;1
183;2020-05-05;1
185;2020-05-05;1
217;2020-05-05;2
240;2020-05-05;3
250;2020-05-05;2
253;2020-05-05;3
259;2020-05-05;1
260;2020-05-05;3
265;2020-05-05;2
316;2020-05-05;3
320;2020-05-05;1
326;2020-05-05;4
329;2020-05-05;2
330;2020-05-05;10
340;2020-05-05;1
360;2020-05-05;1
370;2020-05-05;4
376;2020-05-05;2
390;2020-05-05;2
461;2020-05-05;2
550;2020-05-05;1
561;2020-05-05;2
657;2020-05-05;3
661;2020-05-05;1
730;2020-05-05;2
751;2020-05-05;1
791;2020-05-05;1
820;2020-05-05;1
860;2020-05-05;1
101;2020-05-06;30
147;2020-05-06;6
151;2020-05-06;6
153;2020-05-06;1
157;2020-05-06;1
161;2020-05-06;4
163;2020-05-06;1
167;2020-05-06;5
169;2020-05-06;5
173;2020-05-06;1
175;2020-05-06;1
183;2020-05-06;2
185;2020-05-06;2
190;2020-05-06;2
210;2020-05-06;1
217;2020-05-06;5
223;2020-05-06;1
230;2020-05-06;3
240;2020-05-06;1
250;2020-05-06;4
253;2020-05-06;1
259;2020-05-06;1
260;2020-05-06;1
265;2020-05-06;1
306;2020-05-06;2
316;2020-05-06;2
329;2020-05-06;2
330;2020-05-06;5
336;2020-05-06;1
340;2020-05-06;1
350;2020-05-06;3
370;2020-05-06;2
376;2020-05-06;1
561;2020-05-06;1
621;2020-05-06;1
657;2020-05-06;1
661;2020-05-06;2
751;2020-05-06;3
101;2020-05-07;20
147;2020-05-07;4
151;2020-05-07;1
153;2020-05-07;3
157;2020-05-07;3
159;2020-05-07;1
161;2020-05-07;4
163;2020-05-07;3
165;2020-05-07;1
167;2020-05-07;7
169;2020-05-07;7
175;2020-05-07;1
183;2020-05-07;3
190;2020-05-07;2
210;2020-05-07;2
217;2020-05-07;2
219;2020-05-07;1
223;2020-05-07;1
240;2020-05-07;8
250;2020-05-07;1
253;2020-05-07;2
259;2020-05-07;1
265;2020-05-07;5
270;2020-05-07;1
306;2020-05-07;2
316;2020-05-07;10
329;2020-05-07;1
330;2020-05-07;3
340;2020-05-07;2
370;2020-05-07;3
390;2020-05-07;3
575;2020-05-07;1
607;2020-05-07;1
621;2020-05-07;1
657;2020-05-07;4
661;2020-05-07;2
710;2020-05-07;1
751;2020-05-07;3
851;2020-05-07;1
101;2020-05-08;13
147;2020-05-08;4
151;2020-05-08;3
153;2020-05-08;1
155;2020-05-08;1
157;2020-05-08;1
159;2020-05-08;3
163;2020-05-08;2
165;2020-05-08;1
167;2020-05-08;3
173;2020-05-08;1
183;2020-05-08;3
187;2020-05-08;1
217;2020-05-08;2
219;2020-05-08;1
223;2020-05-08;1
230;2020-05-08;5
240;2020-05-08;3
253;2020-05-08;1
260;2020-05-08;1
265;2020-05-08;3
270;2020-05-08;2
330;2020-05-08;3
370;2020-05-08;1
390;2020-05-08;1
461;2020-05-08;2
580;2020-05-08;1
657;2020-05-08;2
751;2020-05-08;2
791;2020-05-08;1
101;2020-05-09;13
147;2020-05-09;3
151;2020-05-09;1
153;2020-05-09;1
157;2020-05-09;4
159;2020-05-09;2
161;2020-05-09;3
163;2020-05-09;4
165;2020-05-09;1
167;2020-05-09;1
169;2020-05-09;2
175;2020-05-09;2
190;2020-05-09;2
210;2020-05-09;4
217;2020-05-09;2
230;2020-05-09;1
240;2020-05-09;1
250;2020-05-09;1
259;2020-05-09;1
265;2020-05-09;2
316;2020-05-09;3
329;2020-05-09;3
370;2020-05-09;1
376;2020-05-09;1
657;2020-05-09;1
730;2020-05-09;1
756;2020-05-09;1
760;2020-05-09;1
860;2020-05-09;1
101;2020-05-10;11
147;2020-05-10;3
151;2020-05-10;2
153;2020-05-10;2
157;2020-05-10;3
159;2020-05-10;1
161;2020-05-10;1
163;2020-05-10;3
165;2020-05-10;1
169;2020-05-10;1
190;2020-05-10;3
201;2020-05-10;1
210;2020-05-10;1
217;2020-05-10;1
219;2020-05-10;2
223;2020-05-10;1
250;2020-05-10;1
259;2020-05-10;1
265;2020-05-10;3
306;2020-05-10;1
340;2020-05-10;1
370;2020-05-10;2
461;2020-05-10;2
621;2020-05-10;1
630;2020-05-10;1
661;2020-05-10;1
751;2020-05-10;1
756;2020-05-10;1
851;2020-05-10;4
101;2020-05-11;12
147;2020-05-11;3
153;2020-05-11;4
157;2020-05-11;2
159;2020-05-11;1
161;2020-05-11;4
163;2020-05-11;1
165;2020-05-11;1
167;2020-05-11;1
175;2020-05-11;2
190;2020-05-11;1
210;2020-05-11;1
217;2020-05-11;4
219;2020-05-11;1
223;2020-05-11;1
230;2020-05-11;3
240;2020-05-11;2
250;2020-05-11;3
259;2020-05-11;2
260;2020-05-11;1
270;2020-05-11;2
316;2020-05-11;1
329;2020-05-11;2
330;2020-05-11;1
336;2020-05-11;2
350;2020-05-11;1
370;2020-05-11;1
376;2020-05-11;1
390;2020-05-11;1
461;2020-05-11;6
479;2020-05-11;1
530;2020-05-11;1
615;2020-05-11;1
621;2020-05-11;1
630;2020-05-11;3
661;2020-05-11;1
730;2020-05-11;1
860;2020-05-11;1
101;2020-05-12;11
147;2020-05-12;4
153;2020-05-12;1
157;2020-05-12;1
159;2020-05-12;1
169;2020-05-12;1
173;2020-05-12;1
175;2020-05-12;1
183;2020-05-12;2
210;2020-05-12;2
217;2020-05-12;5
230;2020-05-12;1
240;2020-05-12;3
253;2020-05-12;1
259;2020-05-12;2
260;2020-05-12;1
265;2020-05-12;5
320;2020-05-12;1
350;2020-05-12;1
400;2020-05-12;1
461;2020-05-12;2
492;2020-05-12;2
607;2020-05-12;1
630;2020-05-12;4
657;2020-05-12;1
860;2020-05-12;1
101;2020-05-13;10
147;2020-05-13;2
151;2020-05-13;1
153;2020-05-13;1
157;2020-05-13;3
159;2020-05-13;1
165;2020-05-13;1
167;2020-05-13;4
175;2020-05-13;1
183;2020-05-13;1
185;2020-05-13;1
190;2020-05-13;2
201;2020-05-13;1
210;2020-05-13;2
217;2020-05-13;3
219;2020-05-13;1
230;2020-05-13;1
240;2020-05-13;2
250;2020-05-13;1
259;2020-05-13;3
260;2020-05-13;1
306;2020-05-13;1
316;2020-05-13;2
330;2020-05-13;2
370;2020-05-13;2
376;2020-05-13;2
390;2020-05-13;1
461;2020-05-13;4
630;2020-05-13;2
661;2020-05-13;2
751;2020-05-13;1
766;2020-05-13;1
860;2020-05-13;1
101;2020-05-14;10
147;2020-05-14;2
153;2020-05-14;2
161;2020-05-14;1
163;2020-05-14;3
165;2020-05-14;1
167;2020-05-14;3
169;2020-05-14;2
183;2020-05-14;1
187;2020-05-14;2
210;2020-05-14;1
217;2020-05-14;3
219;2020-05-14;1
230;2020-05-14;2
240;2020-05-14;1
259;2020-05-14;1
265;2020-05-14;2
316;2020-05-14;1
326;2020-05-14;3
330;2020-05-14;1
340;2020-05-14;2
370;2020-05-14;1
376;2020-05-14;1
390;2020-05-14;2
461;2020-05-14;3
607;2020-05-14;1
615;2020-05-14;1
621;2020-05-14;1
630;2020-05-14;3
740;2020-05-14;1
751;2020-05-14;2
101;2020-05-15;19
147;2020-05-15;1
151;2020-05-15;1
153;2020-05-15;9
159;2020-05-15;3
161;2020-05-15;4
165;2020-05-15;3
169;2020-05-15;3
175;2020-05-15;1
185;2020-05-15;1
210;2020-05-15;3
217;2020-05-15;3
219;2020-05-15;2
230;2020-05-15;3
240;2020-05-15;1
250;2020-05-15;1
259;2020-05-15;2
265;2020-05-15;2
306;2020-05-15;2
316;2020-05-15;1
320;2020-05-15;1
326;2020-05-15;2
330;2020-05-15;2
370;2020-05-15;1
376;2020-05-15;1
461;2020-05-15;8
621;2020-05-15;2
630;2020-05-15;2
661;2020-05-15;1
740;2020-05-15;2
751;2020-05-15;1
851;2020-05-15;1
101;2020-05-16;8
153;2020-05-16;3
165;2020-05-16;1
167;2020-05-16;1
169;2020-05-16;2
190;2020-05-16;2
240;2020-05-16;1
265;2020-05-16;1
269;2020-05-16;1
326;2020-05-16;1
329;2020-05-16;1
370;2020-05-16;1
376;2020-05-16;1
390;2020-05-16;2
479;2020-05-16;1
573;2020-05-16;1
621;2020-05-16;1
751;2020-05-16;4
860;2020-05-16;1
101;2020-05-17;13
153;2020-05-17;2
159;2020-05-17;2
161;2020-05-17;1
163;2020-05-17;1
167;2020-05-17;1
187;2020-05-17;1
190;2020-05-17;3
210;2020-05-17;3
217;2020-05-17;1
219;2020-05-17;2
240;2020-05-17;1
259;2020-05-17;1
265;2020-05-17;1
316;2020-05-17;1
329;2020-05-17;1
330;2020-05-17;3
461;2020-05-17;1
561;2020-05-17;1
573;2020-05-17;1
630;2020-05-17;1
657;2020-05-17;1
661;2020-05-17;2
710;2020-05-17;1
751;2020-05-17;2
779;2020-05-17;1
791;2020-05-17;1
101;2020-05-18;26
151;2020-05-18;2
153;2020-05-18;1
157;2020-05-18;1
161;2020-05-18;2
163;2020-05-18;1
167;2020-05-18;1
169;2020-05-18;2
175;2020-05-18;3
185;2020-05-18;1
190;2020-05-18;1
210;2020-05-18;3
217;2020-05-18;1
219;2020-05-18;4
230;2020-05-18;2
240;2020-05-18;2
259;2020-05-18;1
265;2020-05-18;2
269;2020-05-18;1
270;2020-05-18;1
316;2020-05-18;1
370;2020-05-18;2
390;2020-05-18;1
461;2020-05-18;6
561;2020-05-18;1
580;2020-05-18;2
630;2020-05-18;1
671;2020-05-18;1
751;2020-05-18;3
756;2020-05-18;2
766;2020-05-18;1
810;2020-05-18;1
101;2020-05-19;16
147;2020-05-19;3
151;2020-05-19;1
153;2020-05-19;2
157;2020-05-19;1
159;2020-05-19;1
161;2020-05-19;1
167;2020-05-19;1
169;2020-05-19;2
173;2020-05-19;1
187;2020-05-19;1
190;2020-05-19;2
210;2020-05-19;1
217;2020-05-19;3
219;2020-05-19;2
230;2020-05-19;1
240;2020-05-19;1
250;2020-05-19;1
265;2020-05-19;2
306;2020-05-19;1
326;2020-05-19;1
370;2020-05-19;2
376;2020-05-19;1
390;2020-05-19;1
461;2020-05-19;2
480;2020-05-19;1
561;2020-05-19;1
657;2020-05-19;1
740;2020-05-19;2
751;2020-05-19;1
791;2020-05-19;1
851;2020-05-19;1
860;2020-05-19;1
101;2020-05-20;8
147;2020-05-20;3
151;2020-05-20;1
153;2020-05-20;1
165;2020-05-20;1
167;2020-05-20;3
169;2020-05-20;3
173;2020-05-20;1
175;2020-05-20;1
183;2020-05-20;1
185;2020-05-20;1
190;2020-05-20;4
201;2020-05-20;1
210;2020-05-20;4
217;2020-05-20;8
219;2020-05-20;3
223;2020-05-20;1
230;2020-05-20;2
250;2020-05-20;2
259;2020-05-20;1
260;2020-05-20;1
265;2020-05-20;3
269;2020-05-20;1
316;2020-05-20;1
326;2020-05-20;1
329;2020-05-20;1
330;2020-05-20;1
370;2020-05-20;1
376;2020-05-20;2
420;2020-05-20;1
461;2020-05-20;2
630;2020-05-20;1
813;2020-05-20;1
101;2020-05-21;10
151;2020-05-21;2
165;2020-05-21;2
175;2020-05-21;1
183;2020-05-21;1
210;2020-05-21;1
217;2020-05-21;4
219;2020-05-21;1
230;2020-05-21;1
259;2020-05-21;1
260;2020-05-21;1
265;2020-05-21;1
306;2020-05-21;1
370;2020-05-21;2
751;2020-05-21;1
851;2020-05-21;1
101;2020-05-22;11
151;2020-05-22;1
157;2020-05-22;1
159;2020-05-22;1
161;2020-05-22;2
167;2020-05-22;6
169;2020-05-22;5
183;2020-05-22;3
185;2020-05-22;3
187;2020-05-22;2
190;2020-05-22;1
210;2020-05-22;1
217;2020-05-22;1
219;2020-05-22;4
240;2020-05-22;1
250;2020-05-22;1
265;2020-05-22;4
270;2020-05-22;4
316;2020-05-22;1
320;2020-05-22;2
329;2020-05-22;2
330;2020-05-22;2
370;2020-05-22;2
376;2020-05-22;1
461;2020-05-22;3
630;2020-05-22;1
661;2020-05-22;2
766;2020-05-22;1
851;2020-05-22;2
101;2020-05-23;6
147;2020-05-23;1
151;2020-05-23;2
153;2020-05-23;1
157;2020-05-23;1
159;2020-05-23;1
161;2020-05-23;2
167;2020-05-23;1
183;2020-05-23;1
190;2020-05-23;1
210;2020-05-23;1
217;2020-05-23;6
250;2020-05-23;2
259;2020-05-23;1
265;2020-05-23;1
270;2020-05-23;2
330;2020-05-23;1
370;2020-05-23;1
707;2020-05-23;1
740;2020-05-23;1
101;2020-05-24;7
151;2020-05-24;1
153;2020-05-24;2
159;2020-05-24;2
167;2020-05-24;1
169;2020-05-24;2
173;2020-05-24;2
175;2020-05-24;1
210;2020-05-24;1
217;2020-05-24;2
219;2020-05-24;1
230;2020-05-24;2
250;2020-05-24;3
259;2020-05-24;1
260;2020-05-24;1
265;2020-05-24;1
316;2020-05-24;1
330;2020-05-24;1
376;2020-05-24;1
440;2020-05-24;1
101;2020-05-25;5
153;2020-05-25;1
157;2020-05-25;1
159;2020-05-25;2
161;2020-05-25;1
163;2020-05-25;1
167;2020-05-25;1
169;2020-05-25;1
173;2020-05-25;1
183;2020-05-25;4
187;2020-05-25;2
210;2020-05-25;3
217;2020-05-25;9
219;2020-05-25;3
230;2020-05-25;1
250;2020-05-25;4
259;2020-05-25;1
260;2020-05-25;2
269;2020-05-25;1
270;2020-05-25;1
330;2020-05-25;1
370;2020-05-25;1
376;2020-05-25;1
580;2020-05-25;1
621;2020-05-25;1
751;2020-05-25;1
810;2020-05-25;1
101;2020-05-26;20
153;2020-05-26;3
157;2020-05-26;2
159;2020-05-26;4
163;2020-05-26;1
165;2020-05-26;1
167;2020-05-26;2
169;2020-05-26;1
187;2020-05-26;2
210;2020-05-26;2
217;2020-05-26;3
230;2020-05-26;1
253;2020-05-26;1
259;2020-05-26;1
260;2020-05-26;1
270;2020-05-26;1
316;2020-05-26;1
320;2020-05-26;1
330;2020-05-26;2
370;2020-05-26;1
563;2020-05-26;1
575;2020-05-26;1
607;2020-05-26;2
621;2020-05-26;2
630;2020-05-26;1
751;2020-05-26;2
810;2020-05-26;1
813;2020-05-26;1
101;2020-05-27;6
147;2020-05-27;1
153;2020-05-27;4
155;2020-05-27;1
159;2020-05-27;2
165;2020-05-27;1
169;2020-05-27;2
183;2020-05-27;8
187;2020-05-27;3
217;2020-05-27;2
219;2020-05-27;4
240;2020-05-27;1
250;2020-05-27;2
259;2020-05-27;2
260;2020-05-27;3
265;2020-05-27;1
269;2020-05-27;1
270;2020-05-27;1
329;2020-05-27;2
330;2020-05-27;1
376;2020-05-27;1
727;2020-05-27;1
751;2020-05-27;1
101;2020-05-28;7
153;2020-05-28;2
159;2020-05-28;1
167;2020-05-28;1
169;2020-05-28;4
183;2020-05-28;1
187;2020-05-28;1
190;2020-05-28;1
201;2020-05-28;1
217;2020-05-28;3
219;2020-05-28;4
250;2020-05-28;1
259;2020-05-28;1
260;2020-05-28;1
265;2020-05-28;1
306;2020-05-28;1
330;2020-05-28;2
350;2020-05-28;1
370;2020-05-28;1
440;2020-05-28;1
461;2020-05-28;1
101;2020-05-29;6
153;2020-05-29;1
157;2020-05-29;1
159;2020-05-29;1
175;2020-05-29;1
183;2020-05-29;4
210;2020-05-29;2
217;2020-05-29;7
240;2020-05-29;1
250;2020-05-29;3
259;2020-05-29;1
265;2020-05-29;2
269;2020-05-29;4
330;2020-05-29;2
390;2020-05-29;1
400;2020-05-29;1
461;2020-05-29;2
101;2020-05-30;3
163;2020-05-30;1
183;2020-05-30;1
187;2020-05-30;2
190;2020-05-30;1
201;2020-05-30;1
219;2020-05-30;1
230;2020-05-30;1
250;2020-05-30;1
260;2020-05-30;2
269;2020-05-30;1
360;2020-05-30;1
370;2020-05-30;1
461;2020-05-30;1
101;2020-05-31;6
173;2020-05-31;1
210;2020-05-31;1
240;2020-05-31;1
250;2020-05-31;1
269;2020-05-31;1
306;2020-05-31;1
147;2020-06-01;2
153;2020-06-01;1
167;2020-06-01;1
175;2020-06-01;2
183;2020-06-01;1
190;2020-06-01;1
210;2020-06-01;1
230;2020-06-01;2
259;2020-06-01;1
260;2020-06-01;1
270;2020-06-01;1
306;2020-06-01;1
329;2020-06-01;1
461;2020-06-01;1
707;2020-06-01;1
730;2020-06-01;1
740;2020-06-01;1
101;2020-06-02;6
147;2020-06-02;1
151;2020-06-02;1
153;2020-06-02;4
161;2020-06-02;1
163;2020-06-02;3
169;2020-06-02;2
183;2020-06-02;2
187;2020-06-02;1
210;2020-06-02;1
217;2020-06-02;3
219;2020-06-02;2
240;2020-06-02;1
250;2020-06-02;1
259;2020-06-02;1
265;2020-06-02;1
269;2020-06-02;3
306;2020-06-02;2
329;2020-06-02;1
330;2020-06-02;1
350;2020-06-02;2
400;2020-06-02;1
461;2020-06-02;3
751;2020-06-02;2
101;2020-06-03;8
151;2020-06-03;1
153;2020-06-03;1
157;2020-06-03;1
159;2020-06-03;1
161;2020-06-03;1
163;2020-06-03;3
169;2020-06-03;1
173;2020-06-03;1
183;2020-06-03;6
187;2020-06-03;1
190;2020-06-03;2
210;2020-06-03;1
217;2020-06-03;2
250;2020-06-03;2
253;2020-06-03;3
259;2020-06-03;2
265;2020-06-03;1
269;2020-06-03;6
270;2020-06-03;1
306;2020-06-03;1
316;2020-06-03;1
330;2020-06-03;3
350;2020-06-03;1
430;2020-06-03;1
101;2020-06-04;8
147;2020-06-04;1
151;2020-06-04;2
153;2020-06-04;4
161;2020-06-04;1
163;2020-06-04;3
175;2020-06-04;1
183;2020-06-04;2
210;2020-06-04;1
217;2020-06-04;3
250;2020-06-04;1
259;2020-06-04;1
265;2020-06-04;1
269;2020-06-04;1
270;2020-06-04;2
330;2020-06-04;2
350;2020-06-04;1
461;2020-06-04;2
621;2020-06-04;1
630;2020-06-04;1
751;2020-06-04;5
101;2020-06-05;7
147;2020-06-05;1
151;2020-06-05;1
153;2020-06-05;2
159;2020-06-05;2
163;2020-06-05;6
173;2020-06-05;1
175;2020-06-05;1
190;2020-06-05;1
210;2020-06-05;2
219;2020-06-05;2
250;2020-06-05;1
253;2020-06-05;1
259;2020-06-05;1
260;2020-06-05;1
269;2020-06-05;2
461;2020-06-05;1
561;2020-06-05;1
101;2020-06-06;2
157;2020-06-06;1
163;2020-06-06;4
169;2020-06-06;1
210;2020-06-06;1
217;2020-06-06;1
219;2020-06-06;2
240;2020-06-06;1
259;2020-06-06;1
265;2020-06-06;1
430;2020-06-06;1
561;2020-06-06;1
710;2020-06-06;1
101;2020-06-07;5
151;2020-06-07;1
153;2020-06-07;2
157;2020-06-07;2
163;2020-06-07;1
173;2020-06-07;1
190;2020-06-07;1
219;2020-06-07;1
101;2020-06-08;5
147;2020-06-08;4
153;2020-06-08;2
157;2020-06-08;1
159;2020-06-08;3
163;2020-06-08;1
169;2020-06-08;2
173;2020-06-08;3
217;2020-06-08;1
219;2020-06-08;1
223;2020-06-08;1
240;2020-06-08;1
250;2020-06-08;1
259;2020-06-08;2
270;2020-06-08;2
461;2020-06-08;6
573;2020-06-08;1
607;2020-06-08;1
751;2020-06-08;2
779;2020-06-08;1
860;2020-06-08;1
101;2020-06-09;9
147;2020-06-09;1
151;2020-06-09;1
153;2020-06-09;1
167;2020-06-09;1
169;2020-06-09;1
173;2020-06-09;1
185;2020-06-09;1
201;2020-06-09;1
250;2020-06-09;1
253;2020-06-09;3
260;2020-06-09;1
270;2020-06-09;1
320;2020-06-09;1
336;2020-06-09;1
350;2020-06-09;1
400;2020-06-09;1
461;2020-06-09;2
657;2020-06-09;1
101;2020-06-10;18
147;2020-06-10;2
151;2020-06-10;1
153;2020-06-10;3
159;2020-06-10;1
161;2020-06-10;1
163;2020-06-10;2
167;2020-06-10;1
169;2020-06-10;1
173;2020-06-10;2
183;2020-06-10;3
185;2020-06-10;1
187;2020-06-10;1
217;2020-06-10;1
240;2020-06-10;1
253;2020-06-10;3
259;2020-06-10;3
265;2020-06-10;2
269;2020-06-10;7
306;2020-06-10;1
329;2020-06-10;1
330;2020-06-10;3
350;2020-06-10;2
360;2020-06-10;1
370;2020-06-10;3
461;2020-06-10;3
740;2020-06-10;1
751;2020-06-10;1
779;2020-06-10;1
813;2020-06-10;1
860;2020-06-10;8
101;2020-06-11;11
151;2020-06-11;1
163;2020-06-11;2
167;2020-06-11;2
169;2020-06-11;1
173;2020-06-11;2
185;2020-06-11;1
210;2020-06-11;1
217;2020-06-11;2
230;2020-06-11;4
240;2020-06-11;1
250;2020-06-11;4
259;2020-06-11;3
260;2020-06-11;2
265;2020-06-11;5
336;2020-06-11;1
400;2020-06-11;2
751;2020-06-11;1
860;2020-06-11;2
101;2020-06-12;6
153;2020-06-12;2
161;2020-06-12;2
163;2020-06-12;1
167;2020-06-12;2
217;2020-06-12;1
219;2020-06-12;1
250;2020-06-12;4
253;2020-06-12;1
260;2020-06-12;2
269;2020-06-12;1
270;2020-06-12;3
350;2020-06-12;1
370;2020-06-12;1
510;2020-06-12;1
706;2020-06-12;2
751;2020-06-12;1
779;2020-06-12;1
813;2020-06-12;2
860;2020-06-12;21
101;2020-06-13;2
147;2020-06-13;1
153;2020-06-13;1
163;2020-06-13;5
173;2020-06-13;1
175;2020-06-13;1
185;2020-06-13;1
210;2020-06-13;1
217;2020-06-13;1
219;2020-06-13;1
240;2020-06-13;1
250;2020-06-13;3
269;2020-06-13;1
320;2020-06-13;1
326;2020-06-13;1
336;2020-06-13;2
370;2020-06-13;1
746;2020-06-13;1
779;2020-06-13;1
101;2020-06-14;3
147;2020-06-14;1
153;2020-06-14;2
169;2020-06-14;1
316;2020-06-14;1
320;2020-06-14;1
400;2020-06-14;1
813;2020-06-14;3
860;2020-06-14;5
101;2020-06-15;8
147;2020-06-15;1
151;2020-06-15;1
153;2020-06-15;1
163;2020-06-15;2
167;2020-06-15;1
169;2020-06-15;2
173;2020-06-15;1
185;2020-06-15;2
190;2020-06-15;1
217;2020-06-15;5
219;2020-06-15;1
230;2020-06-15;2
250;2020-06-15;3
253;2020-06-15;1
259;2020-06-15;1
265;2020-06-15;2
270;2020-06-15;1
615;2020-06-15;1
813;2020-06-15;1
860;2020-06-15;2
101;2020-06-16;8
151;2020-06-16;1
157;2020-06-16;1
163;2020-06-16;1
169;2020-06-16;2
173;2020-06-16;1
185;2020-06-16;1
217;2020-06-16;5
219;2020-06-16;1
230;2020-06-16;1
240;2020-06-16;2
250;2020-06-16;1
253;2020-06-16;1
259;2020-06-16;2
270;2020-06-16;1
316;2020-06-16;1
320;2020-06-16;2
370;2020-06-16;1
621;2020-06-16;1
671;2020-06-16;1
751;2020-06-16;3
756;2020-06-16;1
860;2020-06-16;7
101;2020-06-17;8
147;2020-06-17;6
151;2020-06-17;2
153;2020-06-17;1
157;2020-06-17;3
159;2020-06-17;2
161;2020-06-17;2
165;2020-06-17;1
169;2020-06-17;2
173;2020-06-17;2
175;2020-06-17;2
185;2020-06-17;1
190;2020-06-17;1
217;2020-06-17;1
219;2020-06-17;1
223;2020-06-17;2
230;2020-06-17;1
240;2020-06-17;2
250;2020-06-17;1
253;2020-06-17;1
259;2020-06-17;7
265;2020-06-17;1
269;2020-06-17;3
420;2020-06-17;1
430;2020-06-17;1
615;2020-06-17;1
779;2020-06-17;1
791;2020-06-17;1
810;2020-06-17;1
813;2020-06-17;1
840;2020-06-17;1
851;2020-06-17;1
860;2020-06-17;12
101;2020-06-18;8
147;2020-06-18;1
153;2020-06-18;1
157;2020-06-18;3
173;2020-06-18;2
185;2020-06-18;1
190;2020-06-18;4
217;2020-06-18;10
219;2020-06-18;1
230;2020-06-18;1
250;2020-06-18;2
259;2020-06-18;1
265;2020-06-18;2
269;2020-06-18;1
329;2020-06-18;1
376;2020-06-18;1
630;2020-06-18;1
779;2020-06-18;1
851;2020-06-18;1
860;2020-06-18;1
101;2020-06-19;7
157;2020-06-19;1
161;2020-06-19;1
163;2020-06-19;1
167;2020-06-19;3
169;2020-06-19;1
173;2020-06-19;1
183;2020-06-19;3
187;2020-06-19;1
190;2020-06-19;1
201;2020-06-19;1
230;2020-06-19;1
240;2020-06-19;1
253;2020-06-19;2
259;2020-06-19;7
320;2020-06-19;1
330;2020-06-19;1
360;2020-06-19;1
376;2020-06-19;3
400;2020-06-19;1
751;2020-06-19;2
860;2020-06-19;1
101;2020-06-20;8
147;2020-06-20;1
151;2020-06-20;1
157;2020-06-20;3
163;2020-06-20;1
169;2020-06-20;1
173;2020-06-20;3
190;2020-06-20;2
210;2020-06-20;1
217;2020-06-20;3
219;2020-06-20;1
230;2020-06-20;3
250;2020-06-20;1
259;2020-06-20;1
260;2020-06-20;1
265;2020-06-20;1
320;2020-06-20;1
370;2020-06-20;1
751;2020-06-20;2
810;2020-06-20;1
860;2020-06-20;1
101;2020-06-21;14
147;2020-06-21;2
151;2020-06-21;1
165;2020-06-21;1
167;2020-06-21;1
173;2020-06-21;1
183;2020-06-21;2
185;2020-06-21;1
217;2020-06-21;1
250;2020-06-21;1
316;2020-06-21;1
400;2020-06-21;1
630;2020-06-21;1
751;2020-06-21;1
813;2020-06-21;2
851;2020-06-21;1
101;2020-06-22;13
147;2020-06-22;2
159;2020-06-22;1
161;2020-06-22;1
163;2020-06-22;1
165;2020-06-22;3
167;2020-06-22;1
169;2020-06-22;4
173;2020-06-22;1
175;2020-06-22;1
185;2020-06-22;2
187;2020-06-22;2
190;2020-06-22;2
219;2020-06-22;3
230;2020-06-22;1
240;2020-06-22;1
250;2020-06-22;1
259;2020-06-22;2
615;2020-06-22;1
813;2020-06-22;1
860;2020-06-22;2
101;2020-06-23;3
151;2020-06-23;1
169;2020-06-23;2
217;2020-06-23;2
230;2020-06-23;1
350;2020-06-23;1
450;2020-06-23;1
540;2020-06-23;1
751;2020-06-23;3
756;2020-06-23;1
849;2020-06-23;2
851;2020-06-23;1
860;2020-06-23;1
101;2020-06-24;3
147;2020-06-24;2
151;2020-06-24;1
157;2020-06-24;1
